query	reference	label	q_domain	r_domain	q_phylum	r_phylum	q_genus	r_genus	q_species	r_species
GCA_000069185.1	GCF_001217125.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus
GCF_001531965.1	GCF_018148415.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia cenocepacia	s__Burkholderia cenocepacia
GCF_001531965.1	GCF_900446215.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia cenocepacia	s__Burkholderia cenocepacia
GCF_018148415.1	GCF_900446215.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia cenocepacia	s__Burkholderia cenocepacia
GCF_900581095.1	GCF_900584965.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava
GCF_900581095.1	GCF_900584575.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava
GCF_900581095.1	GCF_019104025.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava
GCF_900581095.1	GCF_001642795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava
GCF_900584965.1	GCF_900584575.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava
GCF_900584965.1	GCF_019104025.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava
GCF_900584965.1	GCF_001642795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava
GCF_900584575.1	GCF_019104025.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava
GCF_900584575.1	GCF_001642795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava
GCF_019104025.1	GCF_001642795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava
GCF_003626185.1	GCF_009379655.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Moraxella	g__Moraxella	s__Moraxella catarrhalis	s__Moraxella catarrhalis
GCF_003626185.1	GCF_001632285.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Moraxella	g__Moraxella	s__Moraxella catarrhalis	s__Moraxella catarrhalis
GCF_009379655.1	GCF_001632285.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Moraxella	g__Moraxella	s__Moraxella catarrhalis	s__Moraxella catarrhalis
GCA_900466725.1	GCF_009649785.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Agrobacterium	g__Agrobacterium	s__Agrobacterium fabacearum	s__Agrobacterium fabacearum
GCA_900466725.1	GCF_001427205.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Agrobacterium	g__Agrobacterium	s__Agrobacterium fabacearum	s__Agrobacterium fabacearum
GCF_009649785.1	GCF_001427205.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Agrobacterium	g__Agrobacterium	s__Agrobacterium fabacearum	s__Agrobacterium fabacearum
GCF_000020105.1	GCF_900453795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae
GCF_000020105.1	GCF_001126045.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae
GCF_000020105.1	GCF_003315235.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae
GCF_000020105.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae
GCF_900453795.1	GCF_001126045.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae
GCF_900453795.1	GCF_003315235.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae
GCF_900453795.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae
GCF_001126045.1	GCF_003315235.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae
GCF_001126045.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae
GCF_003315235.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae
GCF_013106915.1	GCF_013107095.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Rhodophyticola	g__Rhodophyticola	s__Rhodophyticola sp007827395	s__Rhodophyticola sp007827395
GCF_001568935.1	GCF_900156205.1	high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__Leptospira	g__Leptospira	s__Leptospira interrogans	s__Leptospira interrogans
GCF_001568935.1	GCF_019173465.1	high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__Leptospira	g__Leptospira	s__Leptospira interrogans	s__Leptospira interrogans
GCF_900156205.1	GCF_019173465.1	high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__Leptospira	g__Leptospira	s__Leptospira interrogans	s__Leptospira interrogans
GCF_015751045.1	GCF_000321885.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Enterococcus_B	g__Enterococcus_B	s__Enterococcus_B lactis	s__Enterococcus_B lactis
GCF_015751045.1	GCF_018397615.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Enterococcus_B	g__Enterococcus_B	s__Enterococcus_B lactis	s__Enterococcus_B lactis
GCF_000321885.1	GCF_018397615.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Enterococcus_B	g__Enterococcus_B	s__Enterococcus_B lactis	s__Enterococcus_B lactis
GCF_000309115.1	GCF_000215005.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii
GCF_000309115.1	GCF_000222285.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii
GCF_000309115.1	GCA_900476825.2	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii
GCF_000309115.1	GCF_009759685.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii
GCF_000215005.1	GCF_000222285.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii
GCF_000215005.1	GCA_900476825.2	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii
GCF_000215005.1	GCF_009759685.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii
GCF_000222285.1	GCA_900476825.2	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii
GCF_000222285.1	GCF_009759685.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii
GCA_900476825.2	GCF_009759685.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii
GCF_002204955.1	GCF_001075365.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A
GCF_002204955.1	GCF_002204935.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A
GCF_002204955.1	GCF_900076845.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A
GCF_002204955.1	GCF_001729745.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A
GCF_001075365.1	GCF_002204935.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A
GCF_001075365.1	GCF_900076845.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A
GCF_001075365.1	GCF_001729745.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A
GCF_002204935.1	GCF_900076845.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A
GCF_002204935.1	GCF_001729745.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A
GCF_900076845.1	GCF_001729745.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A
GCF_011316825.1	GCA_900637675.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Streptococcus	g__Streptococcus	s__Streptococcus equi	s__Streptococcus equi
GCF_011316825.1	GCF_015689415.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Streptococcus	g__Streptococcus	s__Streptococcus equi	s__Streptococcus equi
GCA_900637675.1	GCF_015689415.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Streptococcus	g__Streptococcus	s__Streptococcus equi	s__Streptococcus equi
GCF_017876815.1	GCF_000473405.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Sinorhizobium	g__Sinorhizobium	s__Sinorhizobium meliloti	s__Sinorhizobium meliloti
GCF_017876815.1	GCF_004001905.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Sinorhizobium	g__Sinorhizobium	s__Sinorhizobium meliloti	s__Sinorhizobium meliloti
GCF_000473405.1	GCF_004001905.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Sinorhizobium	g__Sinorhizobium	s__Sinorhizobium meliloti	s__Sinorhizobium meliloti
GCF_002699855.1	GCF_001538045.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E amygdali	s__Pseudomonas_E amygdali
GCF_002699855.1	GCF_001400605.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E amygdali	s__Pseudomonas_E amygdali
GCF_001538045.1	GCF_001400605.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E amygdali	s__Pseudomonas_E amygdali
GCF_000959525.1	GCF_002981755.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia multivorans	s__Burkholderia multivorans
GCF_000959525.1	GCF_002980815.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia multivorans	s__Burkholderia multivorans
GCF_002981755.1	GCF_002980815.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia multivorans	s__Burkholderia multivorans
GCF_000008985.1	GCF_014672895.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Francisella	g__Francisella	s__Francisella tularensis	s__Francisella tularensis
GCF_000008985.1	GCA_009813475.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Francisella	g__Francisella	s__Francisella tularensis	s__Francisella tularensis
GCF_000008985.1	GCA_009814345.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Francisella	g__Francisella	s__Francisella tularensis	s__Francisella tularensis
GCF_000008985.1	GCA_009814645.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Francisella	g__Francisella	s__Francisella tularensis	s__Francisella tularensis
GCF_014672895.1	GCA_009813475.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Francisella	g__Francisella	s__Francisella tularensis	s__Francisella tularensis
GCF_014672895.1	GCA_009814345.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Francisella	g__Francisella	s__Francisella tularensis	s__Francisella tularensis
GCF_014672895.1	GCA_009814645.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Francisella	g__Francisella	s__Francisella tularensis	s__Francisella tularensis
GCA_009813475.1	GCA_009814345.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Francisella	g__Francisella	s__Francisella tularensis	s__Francisella tularensis
GCA_009813475.1	GCA_009814645.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Francisella	g__Francisella	s__Francisella tularensis	s__Francisella tularensis
GCA_009814345.1	GCA_009814645.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Francisella	g__Francisella	s__Francisella tularensis	s__Francisella tularensis
GCF_002554975.1	GCF_002200215.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Bacillus_A	g__Bacillus_A	s__Bacillus_A wiedmannii	s__Bacillus_A wiedmannii
GCF_002554975.1	GCF_001583695.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Bacillus_A	g__Bacillus_A	s__Bacillus_A wiedmannii	s__Bacillus_A wiedmannii
GCF_002200215.1	GCF_001583695.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Bacillus_A	g__Bacillus_A	s__Bacillus_A wiedmannii	s__Bacillus_A wiedmannii
GCF_003432975.1	GCA_015679705.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria meningitidis	s__Neisseria meningitidis
GCF_003432975.1	GCF_003494925.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria meningitidis	s__Neisseria meningitidis
GCF_003432975.1	GCF_000800415.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria meningitidis	s__Neisseria meningitidis
GCF_003432975.1	GCF_900638555.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria meningitidis	s__Neisseria meningitidis
GCA_015679705.1	GCF_003494925.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria meningitidis	s__Neisseria meningitidis
GCA_015679705.1	GCF_000800415.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria meningitidis	s__Neisseria meningitidis
GCA_015679705.1	GCF_900638555.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria meningitidis	s__Neisseria meningitidis
GCF_003494925.1	GCF_000800415.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria meningitidis	s__Neisseria meningitidis
GCF_003494925.1	GCF_900638555.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria meningitidis	s__Neisseria meningitidis
GCF_000800415.1	GCF_900638555.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria meningitidis	s__Neisseria meningitidis
GCF_002925905.1	GCF_007097185.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Klebsiella	g__Klebsiella	s__Klebsiella michiganensis	s__Klebsiella michiganensis
GCF_002925905.1	GCF_007097115.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Klebsiella	g__Klebsiella	s__Klebsiella michiganensis	s__Klebsiella michiganensis
GCF_007097185.1	GCF_007097115.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Klebsiella	g__Klebsiella	s__Klebsiella michiganensis	s__Klebsiella michiganensis
GCA_003687235.1	GCF_001069395.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Staphylococcus	g__Staphylococcus	s__Staphylococcus epidermidis	s__Staphylococcus epidermidis
GCA_003687235.1	GCF_001070155.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Staphylococcus	g__Staphylococcus	s__Staphylococcus epidermidis	s__Staphylococcus epidermidis
GCA_003687235.1	GCF_000011925.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Staphylococcus	g__Staphylococcus	s__Staphylococcus epidermidis	s__Staphylococcus epidermidis
GCA_003687235.1	GCF_006742205.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Staphylococcus	g__Staphylococcus	s__Staphylococcus epidermidis	s__Staphylococcus epidermidis
