query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate
GCA_000220865.1	GCF_000227275.1	96.6339	97.2778	0.9010	0.9321	0.05333	30	0.9941	18	1.224	0.8199	96.4526	97.8750	0.7584	5.14	AlfI:97.51,AloI:97.54,BcgI:97.18,FalI:96.78	3290	30	4083	426	102.66666666666667	ok	96.6339	gamma
GCA_000220865.1	GCF_000260655.1	97.3084	97.6101	0.7806	0.8124	0.04999	158	0.9530	145	1.781	0.8444	97.1735	97.8743	0.5930	3.79	AlfI:97.79,AloI:97.86,BcgI:97.52,FalI:97.27	3404	158	3813	114	19.620253164556964	ok	97.3084	gamma
GCA_000220865.1	GCF_001815675.1	96.9223	97.4007	0.8657	0.8624	0.05191	73	0.9800	62	1.434	0.8290	96.7311	97.8562	0.4157	1.66	AlfI:97.49,AloI:97.66,BcgI:97.33,FalI:97.24	3279	73	4008	266	42.61643835616438	ok	96.9223	gamma
GCA_000220865.1	GCF_014054945.1	96.8810	97.3936	0.9436	0.9621	0.05072	29	0.9957	14	1.375	0.8285	96.6742	97.8840	0.6423	2.81	AlfI:97.50,AloI:97.68,BcgI:97.34,FalI:97.04	3516	29	4235	733	113.41379310344827	ok	96.8810	gamma
GCA_000247545.1	GCF_000016385.1	95.5424	96.9950	0.7674	0.8841	0.09140	20	0.9841	19	0.709	0.8022	95.7623	98.0022	0.3407	1.06	AlfI:97.14,AloI:97.08,BcgI:96.81,FalI:97.15	1268	20	1690	265	59.75	ok	95.5424	gamma
GCA_000257205.1	GCF_001989995.2	97.0729	97.5125	0.7515	0.6405	0.05472	147	0.9916	22	1.392	0.8395	96.9034	97.8994	0.4130	1.35	AlfI:97.38,AloI:97.79,BcgI:97.60,FalI:97.46	3022	147	3453	80	18.64625850340136	ok	97.0729	gamma
GCA_000283635.1	GCA_900478025.1	94.9719	96.0034	0.8407	0.9072	0.09777	13	0.9912	12	1.392	0.7331	95.0788	97.0378	0.4851	0.82	AlfI:96.21,AloI:95.99,BcgI:95.73,FalI:96.05	1402	13	2069	457	104.38461538461539	ok	94.9719	gamma
GCA_000283635.1	GCF_002000985.1	97.2948	97.7823	0.8010	0.8428	0.06869	16	0.9908	15	1.044	0.8608	97.1188	98.1521	0.4198	2.65	AlfI:97.68,AloI:98.06,BcgI:98.08,FalI:97.66	1676	16	2024	459	101.75	ok	97.2948	gamma
GCA_000283635.1	GCF_003337175.1	95.6409	96.3755	0.6222	0.6054	0.10085	60	0.9505	59	1.565	0.7608	95.6377	97.0927	0.4820	0.72	AlfI:96.12,AloI:96.48,BcgI:96.60,FalI:96.34	1286	60	1695	59	19.866666666666667	ok	95.6409	gamma
GCA_000336895.1	GCF_014647415.1	94.8979	96.1884	0.8652	0.8599	0.05784	42	0.9936	22	1.107	0.7341	95.1813	97.3413	0.4856	1.50	AlfI:95.90,AloI:96.39,BcgI:96.18,FalI:96.21	3558	42	5337	388	82.85714285714286	ok	94.8979	gamma
GCA_000383735.1	GCA_905181965.1	98.3980	98.7216	0.3103	0.2842	0.06350	47	0.9856	15	0.554	0.9213	98.2866	98.8853	0.4637	1.74	AlfI:98.39,AloI:98.78,BcgI:98.85,FalI:98.64	1163	47	1205	98	22.914893617021278	ok	98.3980	gamma
GCA_000384495.1	GCA_003213625.1	95.7747	96.7112	0.6399	0.3759	0.21972	12	0.9956	1	1.107	0.7865	95.7771	97.5118	2.0366	2.40	AlfI:97.74,AloI:95.83,BcgI:95.71,FalI:96.94	271	12	330	61	19.75	ok	95.7747	gamma
GCA_000384495.1	GCA_902619825.1	95.7066	96.2307	0.5962	0.3429	0.24244	12	1.0000	0	2.239	0.7516	95.6065	96.8624	0.9450	0.56	AlfI:96.64,AloI:95.70,BcgI:95.71,FalI:96.40	252	12	309	54	18.166666666666668	ok	95.7066	gamma
GCA_000434835.1	GCA_900547225.1	96.3276	97.2393	0.5743	0.5831	0.15706	25	0.9842	6	0.866	0.8254	96.2806	97.8994	0.2431	0.06	AlfI:97.20,AloI:97.26,BcgI:97.44,FalI:97.22	482	25	528	73	15.96	ok	96.3276	gamma
GCA_000440235.1	GCA_002831545.1	95.0704	96.6205	0.6674	0.6873	0.09215	61	0.9876	16	0.761	0.7767	95.4681	97.6706	0.9227	3.53	AlfI:96.98,AloI:96.06,BcgI:96.27,FalI:96.77	1526	61	1927	92	21.852459016393443	ok	95.0704	gamma
GCA_000445185.1	GCA_003722315.1	96.7825	97.8312	0.5552	0.5417	0.08524	65	0.9941	6	0.516	0.8651	96.8243	98.3904	0.4848	0.85	AlfI:98.08,AloI:97.67,BcgI:97.59,FalI:97.84	1352	65	1339	61	16.43076923076923	ok	96.7825	gamma
GCA_000445185.1	GCF_000019085.1	95.9095	97.5967	0.4956	0.5659	0.09856	61	0.9882	10	0.428	0.8493	96.2816	98.4212	0.5980	0.73	AlfI:97.32,AloI:97.92,BcgI:97.44,FalI:97.66	1103	61	1173	66	14.754098360655737	ok	95.9095	gamma
GCA_000445185.1	GCF_000147695.2	96.3175	97.3821	0.5439	0.5426	0.09622	62	0.9947	5	0.689	0.8346	96.3695	98.0541	0.3220	0.19	AlfI:97.39,AloI:97.53,BcgI:97.21,FalI:97.41	1230	62	1314	72	16.112903225806452	ok	96.3175	gamma
GCA_000484975.1	GCA_013390905.1	96.4362	96.8208	0.6703	0.5669	0.15655	31	0.9882	5	2.305	0.7930	96.2295	97.3280	1.1260	2.18	AlfI:96.26,AloI:96.77,BcgI:95.98,FalI:97.11	515	31	604	55	14.548387096774194	ok	96.4362	gamma
GCA_000508865.1	GCF_000686665.1	96.8682	97.0997	0.3863	0.3876	0.12390	71	0.9882	7	2.701	0.8133	96.9066	97.2658	0.7740	1.98	AlfI:96.74,AloI:97.32,BcgI:96.55,FalI:97.30	962	71	823	31	9.267605633802816	ok	96.8682	gamma
GCA_000634735.1	GCA_902618795.1	95.8726	96.1432	0.4659	0.6628	0.16433	28	0.9680	15	4.097	0.7462	95.7141	96.5939	1.3374	2.10	AlfI:96.49,AloI:95.15,BcgI:95.17,FalI:96.31	563	28	676	56	17.214285714285715	ok	95.8726	gamma
GCA_000635495.1	GCA_003213375.1	95.7973	96.4135	0.4698	0.6846	0.15840	36	0.9439	27	1.833	0.7658	95.6699	97.1121	0.9133	0.71	AlfI:96.12,AloI:95.63,BcgI:96.39,FalI:96.54	565	36	689	38	13.61111111111111	ok	95.7973	gamma
GCA_000635495.1	GCA_902525075.1	96.1162	96.4810	0.6551	0.7533	0.13288	25	0.9763	16	2.623	0.7703	96.0527	96.8894	1.3864	3.39	AlfI:95.99,AloI:95.39,BcgI:95.99,FalI:96.77	756	25	927	138	27.4	ok	96.1162	gamma
GCA_000695745.1	GCF_900089835.1	98.1111	98.1734	0.2365	0.2002	0.06147	237	1.0000	0	4.046	0.8859	98.1249	98.1984	0.5787	1.64	AlfI:98.08,AloI:98.66,BcgI:98.14,FalI:98.21	3155	237	1832	20	6.810126582278481	ok	98.1111	gamma
GCA_000717735.1	GCF_000725545.1	97.2634	97.7891	0.8054	0.8455	0.02900	157	0.9945	47	1.014	0.8568	97.0734	98.2041	0.9581	30.36	AlfI:97.54,AloI:97.56,BcgI:97.81,FalI:98.50	8932	157	10743	306	54.99363057324841	ok	97.2634	gamma
GCA_000747625.2	GCA_000753945.1	98.0172	98.1953	0.1431	0.2688	0.10377	69	0.9633	19	1.729	0.8870	97.8654	98.3507	0.5367	1.35	AlfI:98.21,AloI:98.47,BcgI:97.93,FalI:98.40	915	69	657	18	8.231884057971014	ok	98.0172	gamma
GCA_000761495.1	GCA_002367455.1	96.0011	97.3611	0.5427	0.7167	0.06380	160	0.9484	107	0.605	0.8278	96.1982	98.1828	0.5270	1.50	AlfI:97.50,AloI:96.98,BcgI:97.26,FalI:97.42	2339	160	2883	67	13.28125	ok	96.0011	gamma
GCA_000761495.1	GCF_000487975.1	95.7924	97.1598	0.7083	0.8453	0.05995	66	0.9969	8	0.669	0.8130	96.0132	98.0388	0.2865	0.73	AlfI:97.19,AloI:97.35,BcgI:97.06,FalI:97.26	2777	66	3564	192	39.42424242424242	ok	95.7924	gamma
GCA_000761495.1	GCF_011058205.1	96.3803	97.3484	0.6282	0.7000	0.05897	124	0.9713	70	0.783	0.8269	96.4059	98.0075	0.1817	0.60	AlfI:97.45,AloI:97.37,BcgI:97.26,FalI:97.35	2796	124	3311	73	20.096774193548388	ok	96.3803	gamma
GCA_000761495.1	GCF_014769185.1	96.2727	97.5604	0.6829	0.7655	0.05543	93	0.9872	33	0.571	0.8424	96.3878	98.3240	0.2465	0.49	AlfI:97.65,AloI:97.40,BcgI:97.53,FalI:97.52	2864	93	3492	156	28.268817204301076	ok	96.2727	gamma
GCA_000761495.1	GCF_015602705.1	95.9633	97.1200	0.6646	0.8669	0.06169	59	0.9955	11	0.783	0.8099	96.0701	97.9334	0.1975	0.68	AlfI:97.24,AloI:97.08,BcgI:97.04,FalI:97.10	2550	59	3377	193	41.83050847457627	ok	95.9633	gamma
GCA_000814665.1	GCF_000238315.3	96.3544	96.8166	0.8831	0.9129	0.04682	47	0.9943	27	1.968	0.7892	96.2017	97.3343	0.2949	2.58	AlfI:96.89,AloI:96.73,BcgI:96.65,FalI:96.95	5038	47	6368	646	100.61702127659575	ok	96.3544	gamma
GCA_000814665.1	GCF_002289345.1	95.5109	96.0028	0.8142	0.8333	0.05510	101	0.9803	80	2.623	0.7264	95.4341	96.6661	0.5854	4.31	AlfI:96.15,AloI:95.58,BcgI:95.76,FalI:96.17	4459	101	6010	149	40.37623762376238	ok	95.5109	gamma
GCA_000814665.1	GCF_002850255.1	95.4700	96.4163	0.8601	0.8916	0.05170	47	0.9936	27	1.297	0.7587	95.4940	97.3418	0.3746	0.69	AlfI:96.35,AloI:96.73,BcgI:96.39,FalI:96.48	4602	47	6230	606	90.85106382978724	ok	95.4700	gamma
GCA_000814665.1	GCF_016695175.1	95.7436	96.4187	0.9017	0.9169	0.05017	44	0.9949	23	1.729	0.7588	95.6520	97.1780	0.4648	2.53	AlfI:96.59,AloI:96.12,BcgI:96.27,FalI:96.46	4840	44	6487	556	103.43181818181819	ok	95.7436	gamma
GCA_000824845.1	GCF_003952425.1	96.1251	96.5223	0.7618	0.7389	0.03402	196	0.9941	54	2.623	0.7617	95.9815	97.0515	0.3032	1.57	AlfI:96.62,AloI:96.32,BcgI:96.49,FalI:96.60	9529	196	12902	336	47.357142857142854	ok	96.1251	gamma
GCA_001067655.1	GCF_000227275.1	96.2333	96.6321	0.6823	0.7078	0.06478	214	0.9974	6	2.444	0.7701	96.1219	97.1167	1.3324	8.67	AlfI:96.77,AloI:97.40,BcgI:96.50,FalI:96.07	2902	214	3442	69	11.710280373831775	ok	96.2333	gamma
GCA_001067655.1	GCF_000260655.1	96.5170	96.7705	0.5887	0.6235	0.06575	240	0.9837	35	3.355	0.7808	96.4074	97.0929	0.9983	3.96	AlfI:96.80,AloI:97.33,BcgI:96.71,FalI:96.33	2914	240	3123	41	9.804166666666667	ok	96.5170	gamma
GCA_001067655.1	GCF_001809325.1	96.3150	96.7961	0.6368	0.6448	0.06433	212	0.9929	16	1.888	0.7829	96.2519	97.2778	1.3529	6.88	AlfI:96.94,AloI:97.37,BcgI:96.73,FalI:96.02	2931	212	3299	58	11.49056603773585	ok	96.3150	gamma
GCA_001067655.1	GCF_001815675.1	96.4607	96.8639	0.6593	0.6734	0.06304	213	0.9961	9	2.239	0.7882	96.2809	97.3604	1.0950	4.14	AlfI:96.86,AloI:97.33,BcgI:96.88,FalI:96.24	2910	213	3360	67	11.67605633802817	ok	96.4607	gamma
GCA_001264245.1	GCA_002282935.1	95.9486	96.6259	0.3107	0.3926	0.09018	142	0.8926	141	1.565	0.7732	95.8907	97.2832	1.4595	6.72	AlfI:96.25,AloI:95.48,BcgI:96.94,FalI:96.40	2725	142	1863	42	9.253521126760564	INCONSISTENT	95.9486	gamma
GCA_001264245.1	GCA_007095785.1	95.6554	96.5988	0.4297	0.4899	0.07923	163	0.9084	162	1.224	0.7714	95.6619	97.4594	1.3004	7.73	AlfI:96.28,AloI:95.61,BcgI:96.91,FalI:96.34	3109	163	2496	57	10.85276073619632	ok	95.6554	gamma
GCA_001264245.1	GCF_000010625.1	94.0579	96.4242	0.6899	0.6960	0.07004	112	0.9509	111	0.650	0.7581	94.9359	97.9116	1.1099	18.92	AlfI:95.90,AloI:95.81,BcgI:96.89,FalI:95.78	3904	112	3617	92	20.178571428571427	ok	94.0579	gamma
GCA_001264245.1	GCF_014696875.1	96.8355	97.3923	0.3075	0.3368	0.07627	167	0.8858	166	1.224	0.8303	96.7168	97.8218	1.5885	10.33	AlfI:97.76,AloI:96.17,BcgI:97.66,FalI:96.89	3354	167	1890	34	8.706586826347305	INCONSISTENT	96.8355	gamma
GCA_001264245.1	GCF_015206885.1	96.5509	97.2169	0.2871	0.3396	0.08245	155	0.8832	154	1.189	0.8174	96.4315	97.7721	1.1009	4.97	AlfI:97.14,AloI:96.36,BcgI:97.46,FalI:96.94	3133	155	1777	59	8.509677419354839	INCONSISTENT	96.5509	gamma
GCA_001411745.2	GCA_018448495.1	96.4179	97.1532	0.8508	0.8942	0.05784	26	0.9953	13	1.140	0.8132	96.3055	97.7840	1.2241	3.62	AlfI:97.27,AloI:96.04,BcgI:97.25,FalI:96.88	2796	26	3696	350	106	ok	96.4179	gamma
GCA_001411745.2	GCA_904846265.1	96.5103	97.2475	0.8396	0.8586	0.05684	41	0.9899	28	1.075	0.8202	96.3912	97.8626	0.9193	1.24	AlfI:97.30,AloI:96.38,BcgI:97.29,FalI:97.15	2805	41	3683	268	67.73170731707317	ok	96.5103	gamma
GCA_001411745.2	GCF_000586475.1	96.5057	97.2282	0.8422	0.8794	0.05705	42	0.9895	29	1.107	0.8188	96.3973	97.8238	1.1322	7.72	AlfI:97.43,AloI:96.30,BcgI:97.36,FalI:96.74	2809	42	3670	289	65.95238095238095	ok	96.5057	gamma
GCA_001411745.2	GCF_001435295.1	96.7171	97.3263	0.8553	0.8733	0.05528	25	0.9958	12	1.189	0.8261	96.5794	97.8387	0.8192	1.12	AlfI:97.36,AloI:96.56,BcgI:97.38,FalI:97.22	2877	25	3714	324	114.2	ok	96.7171	gamma
GCA_001411745.2	GCF_003148585.1	96.5973	97.2669	0.8312	0.9090	0.05686	43	0.9891	30	1.140	0.8217	96.4822	97.8231	0.9711	2.48	AlfI:97.35,AloI:96.38,BcgI:97.35,FalI:97.05	2770	43	3621	193	64.09302325581395	ok	96.5973	gamma
GCA_001512555.1	GCA_012518025.1	95.7311	96.5169	0.5300	0.5607	0.10892	89	0.9797	18	1.297	0.7653	95.9337	97.0692	0.3136	0.48	AlfI:96.63,AloI:96.32,BcgI:96.63,FalI:96.41	1309	89	1331	47	10.775280898876405	ok	95.7311	gamma
GCA_001543015.1	GCA_002317795.1	96.0529	97.0380	0.4506	0.4715	0.15770	35	0.9748	10	0.918	0.8086	96.0382	97.8075	1.2395	1.24	AlfI:97.02,AloI:97.50,BcgI:96.26,FalI:97.03	548	35	573	42	12.057142857142857	ok	96.0529	gamma
GCA_001610955.1	GCF_001908025.1	96.4804	97.3877	0.7926	0.7744	0.04733	109	0.9719	107	0.841	0.8293	96.4174	98.0532	0.3333	3.34	AlfI:97.24,AloI:97.19,BcgI:97.52,FalI:97.20	4189	109	5061	137	35.00917431192661	ok	96.4804	gamma
GCA_001627925.1	GCA_002457055.1	96.1301	96.3816	0.6682	0.7437	0.09657	65	0.9884	14	3.930	0.7568	96.0346	96.7362	0.8079	1.55	AlfI:96.29,AloI:95.79,BcgI:96.31,FalI:96.60	1342	65	1723	109	19.307692307692307	ok	96.1301	gamma
GCA_001704065.1	GCA_902609705.1	95.5662	96.6395	0.4199	0.5356	0.20101	29	0.9591	11	1.014	0.7806	95.6432	97.5488	1.5077	1.87	AlfI:95.90,AloI:97.41,BcgI:95.92,FalI:96.84	371	29	406	22	9.89655172413793	ok	95.5662	gamma
GCA_001704065.1	GCA_902618565.1	96.3307	97.0318	0.4473	0.5656	0.17966	25	0.9736	8	1.154	0.8085	96.3149	97.5769	0.8134	0.64	AlfI:96.40,AloI:96.97,BcgI:97.21,FalI:97.14	390	25	423	30	12.8	ok	96.3307	gamma
GCA_001704275.1	GCF_016917755.1	97.3994	97.9314	0.8004	0.8400	0.02574	69	0.9934	68	0.918	0.8668	97.1870	98.3376	0.7560	19.20	AlfI:97.90,AloI:97.81,BcgI:97.90,FalI:98.56	10864	69	12620	1317	148.8985507246377	ok	97.3994	gamma
GCA_001770325.1	GCA_016199545.1	96.7678	97.3108	0.4695	0.4172	0.04790	293	0.9784	76	1.336	0.8220	96.6252	97.7932	0.3264	1.05	AlfI:97.35,AloI:97.11,BcgI:97.34,FalI:97.02	4175	293	4866	57	12.761092150170649	ok	96.7678	gamma
GCA_001830835.1	GCA_018819165.1	97.5473	97.5473	0.2634	0.4032	0.09479	103	0.9540	39	inf	0.8403	97.4923	97.5866	0.5012	1.55	AlfI:97.78,AloI:97.89,BcgI:97.43,FalI:97.39	1225	103	1088	44	8.844660194174757	ok	97.5473	uniform
GCA_001896545.1	GCF_000328765.2	95.7132	96.5397	0.7033	0.6476	0.09499	56	0.9926	9	1.297	0.7712	95.7910	97.2306	0.4845	1.36	AlfI:96.87,AloI:96.64,BcgI:96.53,FalI:96.39	1411	56	1779	119	22.678571428571427	ok	95.7132	gamma
GCA_001919715.1	GCA_003225295.1	96.3468	96.6291	0.7234	0.3659	0.05226	232	0.9921	29	3.258	0.7708	96.2439	96.9898	0.0803	0.06	AlfI:96.62,AloI:96.70,BcgI:96.62,FalI:96.63	4127	232	5247	74	16.74137931034483	ok	96.3468	gamma
GCA_002067325.1	GCA_002495625.1	96.8728	97.2475	0.4440	0.3964	0.13002	57	0.9940	3	1.781	0.8211	96.7888	97.5655	0.2578	0.21	AlfI:97.35,AloI:97.41,BcgI:97.22,FalI:97.15	794	57	712	27	9.789473684210526	ok	96.8728	gamma
GCA_002082305.1	GCA_902513935.1	96.2027	96.5154	0.3057	0.4599	0.12368	67	0.9811	13	3.035	0.7662	96.1249	96.8889	0.4255	0.67	AlfI:96.32,AloI:96.74,BcgI:96.38,FalI:96.68	896	67	1013	41	11.08955223880597	ok	96.2027	gamma
GCA_002083405.1	GCA_002083565.1	96.3206	96.8489	0.5472	0.6828	0.06136	129	0.9694	80	1.729	0.7877	96.2089	97.4002	0.5834	2.16	AlfI:96.67,AloI:97.25,BcgI:96.83,FalI:96.91	2756	129	3614	100	20.62015503875969	ok	96.3206	gamma
GCA_002169115.2	GCA_902510965.1	97.8912	97.8912	0.2665	0.2081	0.23703	12	0.9918	1	inf	0.8684	97.8197	97.9386	1.3138	0.85	AlfI:97.46,AloI:98.77,BcgI:97.59,FalI:97.92	163	12	154	32	11.083333333333334	ok	97.8912	uniform
GCA_002243605.1	GCA_900450595.1	96.0688	98.3610	0.7846	0.7756	0.03818	52	0.9867	50	0.221	0.8976	96.8304	99.0926	0.5151	6.26	AlfI:98.40,AloI:98.41,BcgI:98.46,FalI:97.94	4381	52	4798	438	72.38461538461539	ok	96.0688	gamma
GCA_002243605.1	GCF_001277805.1	96.7074	98.4514	0.6324	0.8017	0.03976	113	0.9660	111	0.244	0.9036	97.0742	99.0738	0.4330	4.47	AlfI:98.50,AloI:98.11,BcgI:98.54,FalI:98.18	3524	113	4060	282	28.86725663716814	ok	96.7074	gamma
GCA_002243605.1	GCF_002809955.1	96.7699	98.5903	0.7319	0.8024	0.03551	102	0.9729	101	0.208	0.9127	97.2016	99.1841	0.3056	2.96	AlfI:98.62,AloI:98.47,BcgI:98.66,FalI:98.35	4150	102	4581	163	36.549019607843135	ok	96.7699	gamma
GCA_002254365.1	GCF_001458735.1	96.2346	96.7656	0.7043	0.6468	0.05557	176	0.9919	26	1.833	0.7818	96.0936	97.3594	0.2988	1.35	AlfI:96.55,AloI:96.70,BcgI:96.85,FalI:96.76	3583	176	4598	74	19.011363636363637	ok	96.2346	gamma
GCA_002256145.1	GCF_003063265.1	95.8472	96.8862	0.7502	0.7708	0.04500	131	0.9821	86	0.985	0.7905	95.8901	97.7411	0.4194	2.43	AlfI:97.00,AloI:96.94,BcgI:96.83,FalI:96.58	5104	131	6796	173	36.93893129770992	ok	95.8472	gamma
GCA_002282935.1	GCA_007095785.1	96.8218	97.1441	0.3542	0.3235	0.08517	153	0.9896	12	2.148	0.8125	96.7758	97.4166	0.4883	1.59	AlfI:96.81,AloI:96.84,BcgI:97.30,FalI:97.01	2442	153	1650	33	8.444444444444445	ok	96.8218	gamma
GCA_002282935.1	GCA_007096045.1	96.8066	96.9405	0.2255	0.2099	0.10606	124	0.9818	14	4.943	0.7970	96.8427	97.0092	0.7965	2.94	AlfI:97.03,AloI:96.76,BcgI:97.17,FalI:96.37	2242	124	1117	18	7.088709677419355	INCONSISTENT	96.8066	gamma
GCA_002282935.1	GCF_000010625.1	96.9093	97.3746	0.4214	0.3294	0.07575	166	0.9903	13	1.434	0.8292	96.7880	97.7634	0.6991	4.36	AlfI:97.38,AloI:97.48,BcgI:97.57,FalI:96.87	2721	166	1926	32	9.036144578313253	ok	96.9093	gamma
GCA_002282935.1	GCF_014696875.1	96.7761	96.9703	0.2399	0.2096	0.10185	131	0.9807	16	3.707	0.7992	96.7370	97.1395	0.9783	4.97	AlfI:96.97,AloI:96.30,BcgI:97.28,FalI:96.39	2312	131	1213	32	7.213740458015267	INCONSISTENT	96.7761	gamma
GCA_002291465.1	GCF_009741445.1	97.4711	97.7173	0.9663	0.8905	0.03574	35	0.9941	34	2.086	0.8518	97.2580	97.9871	0.3860	3.99	AlfI:97.76,AloI:98.02,BcgI:97.64,FalI:97.92	5845	35	7047	1031	164.62857142857143	ok	97.4711	gamma
GCA_002316805.1	GCA_002411365.1	95.7720	96.0058	0.7928	0.7279	0.09297	33	0.9893	15	4.741	0.7249	95.7447	96.3180	1.1881	1.71	AlfI:95.93,AloI:94.98,BcgI:96.08,FalI:96.17	1442	33	2028	221	43.121212121212125	ok	95.7720	gamma
GCA_002334985.1	GCA_003524565.1	96.6258	96.7532	0.4901	0.5439	0.06984	222	0.9722	53	5.791	0.7800	96.5941	96.8939	0.9482	3.22	AlfI:96.58,AloI:97.49,BcgI:96.84,FalI:96.54	2478	222	2705	26	9.346846846846846	ok	96.6258	gamma
GCA_002339125.1	GCF_003731635.1	95.6528	96.5050	0.7628	0.6785	0.05958	150	0.9905	28	1.336	0.7620	95.7069	97.2906	0.3492	0.70	AlfI:96.61,AloI:96.26,BcgI:96.48,FalI:96.43	3251	150	4405	94	20.48	ok	95.6528	gamma
GCA_002342665.1	GCA_002371695.1	98.6313	98.6313	0.3778	0.3943	0.05674	102	0.9488	70	inf	0.9156	98.3884	98.7221	0.1535	0.26	AlfI:98.56,AloI:98.52,BcgI:98.66,FalI:98.68	1485	102	1555	36	13.72549019607843	ok	98.6313	uniform
GCA_002348425.1	GCA_002712335.1	96.1896	96.1896	0.4393	0.3232	0.12981	92	0.9968	2	inf	0.7413	96.1539	96.2354	0.2748	0.12	AlfI:96.24,AloI:96.40,BcgI:96.13,FalI:96.17	973	92	979	19	7.836956521739131	ok	96.1896	uniform
GCA_002355995.1	GCF_000091545.1	94.2095	96.2742	0.8928	0.9013	0.10428	15	0.9877	14	0.739	0.7510	94.9080	97.6496	1.2574	9.30	AlfI:96.47,AloI:96.52,BcgI:96.95,FalI:95.69	1204	15	1748	269	75.66666666666667	ok	94.2095	gamma
GCA_002364755.1	GCA_003510825.1	96.7506	96.9904	0.5158	0.6574	0.04410	398	0.9258	359	3.165	0.7977	96.6266	97.2878	0.7790	8.46	AlfI:97.08,AloI:97.25,BcgI:96.81,FalI:97.59	5173	398	6343	48	12.261306532663317	ok	96.7506	gamma
GCA_002365025.1	GCA_900105215.1	97.2275	97.3074	0.6507	0.5930	0.05514	260	0.9978	6	6.320	0.8256	97.2026	97.3854	0.3778	2.28	AlfI:97.29,AloI:97.43,BcgI:97.05,FalI:97.42	3390	260	3688	56	11.592307692307692	ok	97.2275	gamma
GCA_002365025.1	GCF_900105615.1	97.1106	97.2857	0.6241	0.6250	0.05639	260	0.9974	7	3.355	0.8239	97.0475	97.4526	0.2886	1.07	AlfI:97.40,AloI:97.33,BcgI:97.11,FalI:97.31	3282	260	3607	51	11.196153846153846	ok	97.1106	gamma
