pairid	q_acc	r_acc	stratum	genus	species
GCF_001466915.1__GCF_900624915.1	GCF_001466915.1	GCF_900624915.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E azotoformans
GCF_002091515.1__GCF_003700185.1	GCF_002091515.1	GCF_003700185.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E azotoformans
GCF_002151265.1__GCF_900108215.1	GCF_002151265.1	GCF_900108215.1	97-100	g__Halomonas	s__Halomonas desiderata
GCA_018063715.1__GCF_003478795.1	GCA_018063715.1	GCF_003478795.1	97-100	g__Clostridium_Q	s__Clostridium_Q fessum
GCF_003480955.1__GCF_003481065.1	GCF_003480955.1	GCF_003481065.1	97-100	g__Clostridium_Q	s__Clostridium_Q fessum
GCA_018054245.1__GCA_902387235.1	GCA_018054245.1	GCA_902387235.1	97-100	g__Clostridium_Q	s__Clostridium_Q fessum
GCF_003203815.1__GCF_009362875.1	GCF_003203815.1	GCF_009362875.1	97-100	g__Lactobacillus	s__Lactobacillus helveticus
GCF_015698085.1__GCF_018967085.1	GCF_015698085.1	GCF_018967085.1	97-100	g__Lactobacillus	s__Lactobacillus helveticus
GCF_000015385.1__GCF_003203895.1	GCF_000015385.1	GCF_003203895.1	97-100	g__Lactobacillus	s__Lactobacillus helveticus
GCA_018896145.1__GCA_018900785.1	GCA_018896145.1	GCA_018900785.1	97-100	g__Propionicimonas	s__Propionicimonas sp013791955
GCA_018895735.1__GCA_018897705.1	GCA_018895735.1	GCA_018897705.1	97-100	g__Propionicimonas	s__Propionicimonas sp013791955
GCA_018896145.1__GCA_018896555.1	GCA_018896145.1	GCA_018896555.1	97-100	g__Propionicimonas	s__Propionicimonas sp013791955
GCA_004553245.1__GCA_900752965.1	GCA_004553245.1	GCA_900752965.1	97-100	g__Prevotella	s__Prevotella sp900547005
GCA_004553245.1__GCA_905211025.1	GCA_004553245.1	GCA_905211025.1	97-100	g__Prevotella	s__Prevotella sp900547005
GCA_900752965.1__GCA_905211025.1	GCA_900752965.1	GCA_905211025.1	97-100	g__Prevotella	s__Prevotella sp900547005
GCA_007859155.1__GCF_001618265.1	GCA_007859155.1	GCF_001618265.1	97-100	g__Waddlia	s__Waddlia chondrophila
GCF_000394035.1__GCF_001886115.1	GCF_000394035.1	GCF_001886115.1	97-100	g__Enterococcus_B	s__Enterococcus_B phoeniculicola
GCA_002282115.1__GCA_018819845.1	GCA_002282115.1	GCA_018819845.1	97-100	g__Thiobacillus	s__Thiobacillus sp002256995
GCA_016783025.1__GCA_016785045.1	GCA_016783025.1	GCA_016785045.1	97-100	g__Desulfacyla	s__Desulfacyla euxinica
GCA_002450435.1__GCA_002500965.1	GCA_002450435.1	GCA_002500965.1	97-100	g__UBA2963	s__UBA2963 sp002719715
GCA_001508735.1__GCF_000175295.2	GCA_001508735.1	GCF_000175295.2	97-100	g__Thermoanaerobacter	s__Thermoanaerobacter pseudethanolicus
GCA_003517665.1__GCF_000175815.1	GCA_003517665.1	GCF_000175815.1	97-100	g__Thermoanaerobacter	s__Thermoanaerobacter pseudethanolicus
GCA_003444495.1__GCF_000175815.1	GCA_003444495.1	GCF_000175815.1	97-100	g__Thermoanaerobacter	s__Thermoanaerobacter pseudethanolicus
GCA_900768985.1__GCA_905212115.1	GCA_900768985.1	GCA_905212115.1	97-100	g__Duodenibacillus	s__Duodenibacillus sp900544335
GCA_001788055.1__GCA_001789895.1	GCA_001788055.1	GCA_001789895.1	97-100	g__2-01-FULL-40-13	s__2-01-FULL-40-13 sp001789695
GCA_001788055.1__GCA_001789405.1	GCA_001788055.1	GCA_001789405.1	97-100	g__2-01-FULL-40-13	s__2-01-FULL-40-13 sp001789695
GCA_001787885.1__GCA_001789895.1	GCA_001787885.1	GCA_001789895.1	97-100	g__2-01-FULL-40-13	s__2-01-FULL-40-13 sp001789695
GCA_903898075.1__GCA_903914015.1	GCA_903898075.1	GCA_903914015.1	97-100	g__CAIWHF01	s__CAIWHF01 sp903912405
GCF_014696495.1__GCF_014696555.1	GCF_014696495.1	GCF_014696555.1	97-100	g__Aulosira	s__Aulosira anomala_A
GCF_014696495.1__GCF_014696565.1	GCF_014696495.1	GCF_014696565.1	97-100	g__Aulosira	s__Aulosira anomala_A
GCF_014696555.1__GCF_014696565.1	GCF_014696555.1	GCF_014696565.1	97-100	g__Aulosira	s__Aulosira anomala_A
GCA_905203745.1__GCF_902363175.1	GCA_905203745.1	GCF_902363175.1	97-100	g__Ligilactobacillus	s__Ligilactobacillus animalis
GCF_004800995.1__GCF_004801005.1	GCF_004800995.1	GCF_004801005.1	97-100	g__Ligilactobacillus	s__Ligilactobacillus animalis
GCF_000183825.1__GCF_009933595.1	GCF_000183825.1	GCF_009933595.1	97-100	g__Ligilactobacillus	s__Ligilactobacillus animalis
GCA_018678535.1__GCA_018679365.1	GCA_018678535.1	GCA_018679365.1	97-100	g__IGN2	s__IGN2 sp013042995
GCA_013041895.1__GCA_018679365.1	GCA_013041895.1	GCA_018679365.1	97-100	g__IGN2	s__IGN2 sp013042995
GCA_018678765.1__GCA_018679365.1	GCA_018678765.1	GCA_018679365.1	97-100	g__IGN2	s__IGN2 sp013042995
GCA_017518495.1__GCA_902803045.1	GCA_017518495.1	GCA_902803045.1	97-100	g__UBA1255	s__UBA1255 sp902782885
GCA_017392285.1__GCA_017413565.1	GCA_017392285.1	GCA_017413565.1	97-100	g__UBA1255	s__UBA1255 sp902782885
GCA_017413565.1__GCA_017518495.1	GCA_017413565.1	GCA_017518495.1	97-100	g__UBA1255	s__UBA1255 sp902782885
GCA_014872635.1__GCA_018370735.1	GCA_014872635.1	GCA_018370735.1	97-100	g__HGM12669	s__HGM12669 sp900761935
GCA_014872635.1__GCA_905212425.1	GCA_014872635.1	GCA_905212425.1	97-100	g__HGM12669	s__HGM12669 sp900761935
GCA_018370735.1__GCA_905212425.1	GCA_018370735.1	GCA_905212425.1	97-100	g__HGM12669	s__HGM12669 sp900761935
GCA_003516265.1__GCA_013373735.1	GCA_003516265.1	GCA_013373735.1	97-100	g__Ruegeria_B	s__Ruegeria_B pomeroyi
GCA_013373705.1__GCF_018972145.1	GCA_013373705.1	GCF_018972145.1	97-100	g__Ruegeria_B	s__Ruegeria_B pomeroyi
GCA_003516265.1__GCA_013373705.1	GCA_003516265.1	GCA_013373705.1	97-100	g__Ruegeria_B	s__Ruegeria_B pomeroyi
GCA_012964395.1__GCA_015663735.1	GCA_012964395.1	GCA_015663735.1	97-100	g__GCA-002718515	s__GCA-002718515 sp012965315
GCA_012964395.1__GCA_015664595.1	GCA_012964395.1	GCA_015664595.1	97-100	g__GCA-002718515	s__GCA-002718515 sp012965315
GCA_015663735.1__GCA_015664595.1	GCA_015663735.1	GCA_015664595.1	97-100	g__GCA-002718515	s__GCA-002718515 sp012965315
GCF_001974575.1__GCF_002875905.1	GCF_001974575.1	GCF_002875905.1	97-100	g__Vibrio	s__Vibrio sp002875705
GCF_002875885.1__GCF_002875905.1	GCF_002875885.1	GCF_002875905.1	97-100	g__Vibrio	s__Vibrio sp002875705
GCF_002875555.1__GCF_002876915.1	GCF_002875555.1	GCF_002876915.1	97-100	g__Vibrio	s__Vibrio sp002875705
GCA_903950175.1__GCA_903953075.1	GCA_903950175.1	GCA_903953075.1	97-100	g__Flavipsychrobacter	s__Flavipsychrobacter sp903824665
GCA_903950175.1__GCA_903951805.1	GCA_903950175.1	GCA_903951805.1	97-100	g__Flavipsychrobacter	s__Flavipsychrobacter sp903824665
GCA_903949315.1__GCA_903951805.1	GCA_903949315.1	GCA_903951805.1	97-100	g__Flavipsychrobacter	s__Flavipsychrobacter sp903824665
GCF_016837165.1__GCF_016837225.1	GCF_016837165.1	GCF_016837225.1	97-100	g__Cysteiniphilum	s__Cysteiniphilum marinum
GCF_016837205.1__GCF_016837235.1	GCF_016837205.1	GCF_016837235.1	97-100	g__Cysteiniphilum	s__Cysteiniphilum marinum
GCF_016837225.1__GCF_016837255.1	GCF_016837225.1	GCF_016837255.1	97-100	g__Cysteiniphilum	s__Cysteiniphilum marinum
GCA_018652825.1__GCA_018674535.1	GCA_018652825.1	GCA_018674535.1	97-100	g__MAG-121220-bin8	s__MAG-121220-bin8 sp905479415
GCA_018646725.1__GCA_018659035.1	GCA_018646725.1	GCA_018659035.1	97-100	g__MAG-121220-bin8	s__MAG-121220-bin8 sp905479415
GCA_018652825.1__GCA_018666015.1	GCA_018652825.1	GCA_018666015.1	97-100	g__MAG-121220-bin8	s__MAG-121220-bin8 sp905479415
GCA_900538285.1__GCA_905202535.1	GCA_900538285.1	GCA_905202535.1	97-100	g__Butyrivibrio_A	s__Butyrivibrio_A sp000431815
GCF_009862415.1__GCF_900090075.1	GCF_009862415.1	GCF_900090075.1	97-100	g__Streptomyces	s__Streptomyces griseus
GCF_000010605.1__GCF_009862415.1	GCF_000010605.1	GCF_009862415.1	97-100	g__Streptomyces	s__Streptomyces griseus
GCF_000010605.1__GCF_000717795.1	GCF_000010605.1	GCF_000717795.1	97-100	g__Streptomyces	s__Streptomyces griseus
GCA_017412285.1__GCA_017964845.1	GCA_017412285.1	GCA_017964845.1	97-100	g__UBA1715	s__UBA1715 sp002371705
GCA_017412285.1__GCA_017535565.1	GCA_017412285.1	GCA_017535565.1	97-100	g__UBA1715	s__UBA1715 sp002371705
GCA_017563205.1__GCA_017964845.1	GCA_017563205.1	GCA_017964845.1	97-100	g__UBA1715	s__UBA1715 sp002371705
GCA_016756895.1__GCA_016756955.1	GCA_016756895.1	GCA_016756955.1	97-100	g__QGON01	s__QGON01 sp016756855
GCA_903871835.1__GCA_903873465.1	GCA_903871835.1	GCA_903873465.1	97-100	g__JAAFJM01	s__JAAFJM01 sp903901345
GCA_001782635.1__GCA_001783815.1	GCA_001782635.1	GCA_001783815.1	97-100	g__GWA1-39-11	s__GWA1-39-11 sp001782235
GCA_001782345.1__GCA_001782715.1	GCA_001782345.1	GCA_001782715.1	97-100	g__GWA1-39-11	s__GWA1-39-11 sp001782235
GCA_001783815.1__GCA_001784035.1	GCA_001783815.1	GCA_001784035.1	97-100	g__GWA1-39-11	s__GWA1-39-11 sp001782235
GCA_018820225.1__GCA_018820785.1	GCA_018820225.1	GCA_018820785.1	97-100	g__JAHJRJ01	s__JAHJRJ01 sp018830765
GCF_001044155.1__GCF_900447205.1	GCF_001044155.1	GCF_900447205.1	97-100	g__Corynebacterium	s__Corynebacterium pilosum
GCA_002304695.1__GCA_002425115.1	GCA_002304695.1	GCA_002425115.1	97-100	g__UBA1020	s__UBA1020 sp002335175
GCA_002425115.1__GCA_002433925.1	GCA_002425115.1	GCA_002433925.1	97-100	g__UBA1020	s__UBA1020 sp002335175
GCA_002344735.1__GCA_002433925.1	GCA_002344735.1	GCA_002433925.1	97-100	g__UBA1020	s__UBA1020 sp002335175
GCA_002337535.1__GCA_002379435.1	GCA_002337535.1	GCA_002379435.1	97-100	g__Pelagibacterium	s__Pelagibacterium sp002337455
GCA_002337535.1__GCA_002384965.1	GCA_002337535.1	GCA_002384965.1	97-100	g__Pelagibacterium	s__Pelagibacterium sp002337455
GCA_002379435.1__GCA_002384965.1	GCA_002379435.1	GCA_002384965.1	97-100	g__Pelagibacterium	s__Pelagibacterium sp002337455
GCF_000526615.1__GCF_003722135.1	GCF_000526615.1	GCF_003722135.1	97-100	g__Paracoccus	s__Paracoccus pantotrophus
GCF_003633525.1__GCF_900115335.1	GCF_003633525.1	GCF_900115335.1	97-100	g__Paracoccus	s__Paracoccus pantotrophus
GCF_013414285.1__GCF_900115335.1	GCF_013414285.1	GCF_900115335.1	97-100	g__Paracoccus	s__Paracoccus pantotrophus
GCA_003701925.1__GCF_002939285.1	GCA_003701925.1	GCF_002939285.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E syringae_M
GCA_002905835.1__GCF_000452525.3	GCA_002905835.1	GCF_000452525.3	97-100	g__Pseudomonas_E	s__Pseudomonas_E syringae_M
GCF_001400655.1__GCF_003412715.1	GCF_001400655.1	GCF_003412715.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E syringae_M
GCF_002269425.1__GCF_013387095.1	GCF_002269425.1	GCF_013387095.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E reactans
GCF_013386305.1__GCF_013387025.1	GCF_013386305.1	GCF_013387025.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E reactans
GCF_013386305.1__GCF_013387095.1	GCF_013386305.1	GCF_013387095.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E reactans
GCF_002739945.1__GCF_013184205.1	GCF_002739945.1	GCF_013184205.1	97-100	g__Stenotrophomonas	s__Stenotrophomonas maltophilia_AK
GCF_003244795.1__GCF_017581785.1	GCF_003244795.1	GCF_017581785.1	97-100	g__Stenotrophomonas	s__Stenotrophomonas maltophilia_AK
GCF_000346445.1__GCF_014581725.1	GCF_000346445.1	GCF_014581725.1	97-100	g__Stenotrophomonas	s__Stenotrophomonas maltophilia_AK
GCA_002378165.1__GCA_002453105.1	GCA_002378165.1	GCA_002453105.1	97-100	g__Parvibaculum	s__Parvibaculum sp002480495
GCA_003447935.1__GCA_017643205.1	GCA_003447935.1	GCA_017643205.1	97-100	g__Parvibaculum	s__Parvibaculum sp002480495
GCA_002700265.1__GCA_017643205.1	GCA_002700265.1	GCA_017643205.1	97-100	g__Parvibaculum	s__Parvibaculum sp002480495
GCA_003577345.1__GCA_013360835.1	GCA_003577345.1	GCA_013360835.1	97-100	g__OLB14	s__OLB14 sp900696595
GCA_003577345.1__GCA_019187555.1	GCA_003577345.1	GCA_019187555.1	97-100	g__OLB14	s__OLB14 sp900696595
GCA_013360835.1__GCA_019187555.1	GCA_013360835.1	GCA_019187555.1	97-100	g__OLB14	s__OLB14 sp900696595
GCA_001822295.1__GCA_001822375.1	GCA_001822295.1	GCA_001822375.1	97-100	g__WO2-54-10	s__WO2-54-10 sp001820725
GCA_001822295.1__GCA_001822455.1	GCA_001822295.1	GCA_001822455.1	97-100	g__WO2-54-10	s__WO2-54-10 sp001820725
GCA_001822375.1__GCA_001822455.1	GCA_001822375.1	GCA_001822455.1	97-100	g__WO2-54-10	s__WO2-54-10 sp001820725
GCA_900757365.1__GCA_905205845.1	GCA_900757365.1	GCA_905205845.1	97-100	g__UBA737	s__UBA737 sp900549755
GCA_000340945.1__GCA_001552695.1	GCA_000340945.1	GCA_001552695.1	97-100	g__Nocardiopsis	s__Nocardiopsis alborubida
GCA_000340945.1__GCF_008638355.1	GCA_000340945.1	GCF_008638355.1	97-100	g__Nocardiopsis	s__Nocardiopsis alborubida
GCA_001552695.1__GCF_008638355.1	GCA_001552695.1	GCF_008638355.1	97-100	g__Nocardiopsis	s__Nocardiopsis alborubida
GCA_003140725.1__GCA_003153175.1	GCA_003140725.1	GCA_003153175.1	97-100	g__Sulfotelmatobacter	s__Sulfotelmatobacter sp003166855
GCA_002170155.1__GCA_902538015.1	GCA_002170155.1	GCA_902538015.1	97-100	g__GCA-2691145	s__GCA-2691145 sp002691145
GCA_002170155.1__GCA_902615335.1	GCA_002170155.1	GCA_902615335.1	97-100	g__GCA-2691145	s__GCA-2691145 sp002691145
GCA_902538015.1__GCA_902615335.1	GCA_902538015.1	GCA_902615335.1	97-100	g__GCA-2691145	s__GCA-2691145 sp002691145
GCF_014269235.1__GCF_900177505.1	GCF_014269235.1	GCF_900177505.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E putida_M
GCF_014269205.2__GCF_014269235.1	GCF_014269205.2	GCF_014269235.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E putida_M
GCF_002736045.1__GCF_014269205.2	GCF_002736045.1	GCF_014269205.2	97-100	g__Pseudomonas_E	s__Pseudomonas_E putida_M
GCA_903831435.1__GCA_903929145.1	GCA_903831435.1	GCA_903929145.1	97-100	g__Delta-02	s__Delta-02 sp903872255
GCF_003346865.1__GCF_004745775.1	GCF_003346865.1	GCF_004745775.1	97-100	g__DB6-IX	s__DB6-IX sp003612895
GCF_003206515.1__GCF_009687825.1	GCF_003206515.1	GCF_009687825.1	97-100	g__Deinococcus	s__Deinococcus actinosclerus
GCF_003206515.1__GCF_014647995.1	GCF_003206515.1	GCF_014647995.1	97-100	g__Deinococcus	s__Deinococcus actinosclerus
GCF_009687825.1__GCF_014647995.1	GCF_009687825.1	GCF_014647995.1	97-100	g__Deinococcus	s__Deinococcus actinosclerus
GCA_900761585.1__GCA_905187465.1	GCA_900761585.1	GCA_905187465.1	97-100	g__CAG-605	s__CAG-605 sp900545005
GCF_000023425.1__GCF_014142575.1	GCF_000023425.1	GCF_014142575.1	97-100	g__Ralstonia	s__Ralstonia pickettii_B
GCF_014142545.1__GCF_014142725.1	GCF_014142545.1	GCF_014142725.1	97-100	g__Ralstonia	s__Ralstonia pickettii_B
GCA_000485415.1__GCF_018603815.1	GCA_000485415.1	GCF_018603815.1	97-100	g__Ralstonia	s__Ralstonia pickettii_B
GCF_001715725.1__GCF_001715775.1	GCF_001715725.1	GCF_001715775.1	97-100	g__Brochothrix	s__Brochothrix thermosphacta
GCF_001715715.1__GCF_900332065.1	GCF_001715715.1	GCF_900332065.1	97-100	g__Brochothrix	s__Brochothrix thermosphacta
GCF_001715655.1__GCF_900332075.1	GCF_001715655.1	GCF_900332075.1	97-100	g__Brochothrix	s__Brochothrix thermosphacta
GCA_016707325.1__GCA_016715315.1	GCA_016707325.1	GCA_016715315.1	97-100	g__Rubrivivax	s__Rubrivivax sp016709385
GCA_016706525.1__GCA_016712915.1	GCA_016706525.1	GCA_016712915.1	97-100	g__Rubrivivax	s__Rubrivivax sp016709385
GCA_016707325.1__GCA_018063585.1	GCA_016707325.1	GCA_018063585.1	97-100	g__Rubrivivax	s__Rubrivivax sp016709385
GCA_017519255.1__GCA_017545145.1	GCA_017519255.1	GCA_017545145.1	97-100	g__Methanobrevibacter_A	s__Methanobrevibacter_A sp902770715
GCA_002453805.1__GCA_002453945.1	GCA_002453805.1	GCA_002453945.1	97-100	g__Microbacterium	s__Microbacterium maritypicum_A
GCA_002377845.1__GCF_004794385.1	GCA_002377845.1	GCF_004794385.1	97-100	g__Microbacterium	s__Microbacterium maritypicum_A
GCA_002453805.1__GCF_002356155.1	GCA_002453805.1	GCF_002356155.1	97-100	g__Microbacterium	s__Microbacterium maritypicum_A
GCA_903863915.1__GCA_903915755.1	GCA_903863915.1	GCA_903915755.1	97-100	g__CAIOJG01	s__CAIOJG01 sp903853785
GCF_000377165.1__GCF_000701285.1	GCF_000377165.1	GCF_000701285.1	97-100	g__Streptomyces	s__Streptomyces sp002797655
GCF_000514995.1__GCF_004217635.1	GCF_000514995.1	GCF_004217635.1	97-100	g__Streptomyces	s__Streptomyces sp002797655
GCF_000377125.1__GCF_000701285.1	GCF_000377125.1	GCF_000701285.1	97-100	g__Streptomyces	s__Streptomyces sp002797655
GCA_002380835.1__GCF_001534765.1	GCA_002380835.1	GCF_001534765.1	97-100	g__Kurthia	s__Kurthia gibsonii
GCA_002380835.1__GCF_003660425.1	GCA_002380835.1	GCF_003660425.1	97-100	g__Kurthia	s__Kurthia gibsonii
GCF_001534765.1__GCF_003660425.1	GCF_001534765.1	GCF_003660425.1	97-100	g__Kurthia	s__Kurthia gibsonii
GCA_018650665.1__GCA_018652185.1	GCA_018650665.1	GCA_018652185.1	97-100	g__JABIDS01	s__JABIDS01 sp018653485
GCF_005233685.1__GCF_900005935.1	GCF_005233685.1	GCF_900005935.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E sp900005815
GCF_003386595.1__GCF_900005935.1	GCF_003386595.1	GCF_900005935.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E sp900005815
GCF_000308175.1__GCF_900005935.1	GCF_000308175.1	GCF_900005935.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E sp900005815
GCA_904373315.1__GCA_905207275.1	GCA_904373315.1	GCA_905207275.1	97-100	g__Merdicola	s__Merdicola sp001915925
GCA_904373315.1__GCA_905214395.1	GCA_904373315.1	GCA_905214395.1	97-100	g__Merdicola	s__Merdicola sp001915925
GCA_905207275.1__GCA_905214395.1	GCA_905207275.1	GCA_905214395.1	97-100	g__Merdicola	s__Merdicola sp001915925
GCF_000819905.1__GCF_014634945.1	GCF_000819905.1	GCF_014634945.1	97-100	g__Salinicoccus	s__Salinicoccus roseus
GCF_000819905.1__GCF_002265785.1	GCF_000819905.1	GCF_002265785.1	97-100	g__Salinicoccus	s__Salinicoccus roseus
GCF_000819905.1__GCF_013359465.2	GCF_000819905.1	GCF_013359465.2	97-100	g__Salinicoccus	s__Salinicoccus roseus
GCF_001619755.1__GCF_001663585.1	GCF_001619755.1	GCF_001663585.1	97-100	g__Paenibacillus	s__Paenibacillus ottowii
GCF_001663585.1__GCF_007858415.1	GCF_001663585.1	GCF_007858415.1	97-100	g__Paenibacillus	s__Paenibacillus ottowii
GCA_010692785.1__GCF_001663585.1	GCA_010692785.1	GCF_001663585.1	97-100	g__Paenibacillus	s__Paenibacillus ottowii
GCA_005777985.1__GCA_018969345.1	GCA_005777985.1	GCA_018969345.1	97-100	g__F1-60-MAGs140	s__F1-60-MAGs140 sp005799065
GCA_016463945.1__GCF_002007905.1	GCA_016463945.1	GCF_002007905.1	97-100	g__Dehalococcoides	s__Dehalococcoides mccartyi
GCF_000830905.1__GCF_002007905.1	GCF_000830905.1	GCF_002007905.1	97-100	g__Dehalococcoides	s__Dehalococcoides mccartyi
GCA_001678055.1__GCF_001459095.1	GCA_001678055.1	GCF_001459095.1	97-100	g__Dehalococcoides	s__Dehalococcoides mccartyi
GCA_001889985.1__GCA_002204695.1	GCA_001889985.1	GCA_002204695.1	97-100	g__Micrarchaeum_A	s__Micrarchaeum_A acidiphilum_A
