query	reference
GCA_002378465.1	GCF_013488205.1
GCA_002385225.1	GCF_900162825.1
GCA_002385485.1	GCA_002433005.1
GCA_002385485.1	GCF_000160455.2
GCA_002410715.1	GCA_003519645.1
GCA_002433005.1	GCF_000160455.2
GCA_002433005.1	GCF_900107215.1
GCA_002449695.1	GCA_017463935.1
GCA_002498985.1	GCA_002685315.1
GCA_002684115.1	GCF_001469895.1
GCA_002684115.1	GCF_001550135.1
GCA_002684115.1	GCF_013349995.1
GCA_002684115.1	GCF_019134595.1
GCA_002692475.1	GCA_014654065.1
GCA_002716165.1	GCA_902564345.1
GCA_002716645.1	GCA_009392775.1
GCA_002719715.1	GCA_002725515.1
GCA_002720285.1	GCA_002730735.1
GCA_002894685.1	GCF_002894665.1
GCA_003021015.1	GCA_003022845.1
GCA_003028315.1	GCF_000813705.1
GCA_003028315.1	GCF_000952795.1
GCA_003028315.1	GCF_003044425.1
GCA_003028315.1	GCF_017753665.1
GCA_003052455.1	GCF_004519295.1
GCA_003070825.1	GCF_003053565.1
GCA_003086435.1	GCF_009729015.1
GCA_003139855.1	GCA_003158275.1
GCA_003210795.1	GCA_003211235.1
GCA_003211655.1	GCF_000011465.1
GCA_003278095.1	GCA_902517275.1
GCA_003488145.1	GCA_007713455.1
GCA_003488145.1	GCF_000495915.1
GCA_003488145.1	GCF_000935215.1
GCA_003488145.1	GCF_002929225.1
GCA_003488145.1	GCF_003935375.1
GCA_003518755.1	GCA_902787685.1
GCA_003520315.1	GCA_018433265.1
GCA_003556805.1	GCA_007695125.1
GCA_003585845.1	GCF_003293675.1
GCA_003609755.1	GCF_900009275.2
GCA_003663525.1	GCA_003663535.1
GCA_003670825.1	GCA_903958265.1
GCA_003722315.1	GCA_014896455.1
GCA_003722315.1	GCF_000019085.1
GCA_003722315.1	GCF_000147695.2
GCA_004570955.1	GCF_003387165.1
GCA_005788075.1	GCA_903928615.1
GCA_007713455.1	GCF_000495915.1
GCA_007713455.1	GCF_000935215.1
GCA_007713455.1	GCF_003935375.1
GCA_007713455.1	GCF_013409135.1
GCA_007845355.1	GCA_905370345.1
GCA_009392075.1	GCA_009392095.1
GCA_009705165.1	GCA_903852955.1
GCA_011009555.1	GCF_000316115.1
GCA_011053655.1	GCA_011372935.1
GCA_011754095.1	GCF_000821185.2
GCA_012103075.1	GCF_000017405.1
GCA_013205255.1	GCF_015840335.1
GCA_013333795.2	GCA_013333845.2
GCA_014204745.1	GCF_000717055.1
GCA_014204745.1	GCF_001611795.1
GCA_014649355.1	GCA_014649575.1
GCA_014649555.1	GCF_003501885.1
GCA_014649555.1	GCF_014649875.1
GCA_014652975.1	GCF_000786655.1
GCA_014801235.1	GCA_014801525.1
GCA_014801595.1	GCA_014802625.1
GCA_014896455.1	GCF_000147695.2
GCA_015062045.1	GCA_017399165.1
GCA_015066745.1	GCA_017848115.1
GCA_015068085.1	GCA_017408185.1
GCA_016280695.1	GCA_017420585.1
GCA_016290415.1	GCA_017428035.1
GCA_016744155.1	GCA_018067325.1
GCA_016777545.1	GCA_016778675.1
GCA_016777745.1	GCA_905182145.1
GCA_016783995.1	GCA_018894445.1
GCA_016882185.1	GCF_002688585.1
GCA_017392345.1	GCA_900313105.1
GCA_017392345.1	GCA_902787305.1
GCA_017399555.1	GCA_017622255.1
GCA_017429885.1	GCA_900320365.1
GCA_017531065.1	GCA_902800255.1
GCA_017646885.1	GCA_017652345.1
GCA_017996075.1	GCF_014352935.1
GCA_018224395.1	GCF_004171285.1
GCA_018363915.1	GCF_000163295.1
GCA_018363915.1	GCF_000311745.1
GCA_018366675.1	GCF_001813295.1
GCA_018366675.1	GCF_016648925.1
GCA_018372555.1	GCF_004794105.1
GCA_018375265.1	GCF_003048375.1
GCA_018375265.1	GCF_003048615.2
GCA_018448495.1	GCA_904846265.1
GCA_018448495.1	GCF_000586475.1
GCA_018448495.1	GCF_001435295.1
GCA_018448495.1	GCF_904846615.1
GCA_018656255.1	GCA_905182755.1
GCA_018691945.1	GCA_902512865.1
GCA_019117185.1	GCA_902834055.1
GCA_900105215.1	GCF_900105615.1
GCA_900109485.1	GCF_000280495.2
GCA_900109485.1	GCF_001658025.2
GCA_900316555.1	GCF_016680995.1
GCA_900317105.1	GCF_011065405.1
GCA_900321255.1	GCA_902775595.1
GCA_900450595.1	GCF_001277805.1
GCA_900450595.1	GCF_002809955.1
GCA_900458895.2	GCF_002901995.1
GCA_900478025.1	GCF_002000985.1
GCA_900541125.1	GCA_900544645.1
GCA_900543945.1	GCA_902364645.1
GCA_900543945.1	GCF_003465825.1
GCA_900544385.1	GCA_900547855.1
GCA_900546775.1	GCA_900764955.1
GCA_900556425.1	GCA_900756605.1
GCA_900557255.1	GCF_015074785.1
GCA_900557355.1	GCF_000172175.1
GCA_900751995.1	GCF_001487165.1
GCA_900757205.1	GCA_900764955.1
GCA_900757715.1	GCF_000024945.1
GCA_900759445.1	GCF_000735435.1
GCA_900760795.1	GCF_000012825.1
GCA_900760795.1	GCF_000382445.1
GCA_900764695.1	GCA_902363805.1
GCA_900764695.1	GCF_000153885.1
GCA_900764955.1	GCA_902363875.1
GCA_902510755.1	GCA_902512585.1
GCA_902530595.1	GCA_902581005.1
GCA_902549785.1	GCA_902562645.1
GCA_902570525.1	GCA_902595115.1
GCA_902612325.1	GCA_902616725.1
GCA_903871865.1	GCA_903894125.1
GCA_904846265.1	GCF_000586475.1
GCA_904846265.1	GCF_001435295.1
GCA_904846265.1	GCF_904846185.1
GCA_905612275.1	GCA_905616385.1
GCA_910589675.1	GCF_000159355.1
GCF_000007825.1	GCF_000021305.1
GCF_000007825.1	GCF_001595725.1
GCF_000007825.1	GCF_002119445.1
GCF_000007825.1	GCF_002200015.1
GCF_000007825.1	GCF_006384875.1
GCF_000008305.1	GCF_000701525.1
GCF_000008685.2	GCF_000181875.2
GCF_000021305.1	GCF_001595725.1
GCF_000021305.1	GCF_002119445.1
GCF_000021305.1	GCF_002200015.1
GCF_000021305.1	GCF_006384875.1
GCF_000022325.1	GCF_000166775.1
GCF_000023245.1	GCF_002354875.1
GCF_000024945.1	GCF_902810435.1
GCF_000091545.1	GCF_001535545.1
GCF_000146185.1	GCF_009680455.1
GCF_000152265.2	GCF_002078355.1
GCF_000156195.1	GCF_009193325.2
GCF_000157935.1	GCF_015074785.1
GCF_000160455.2	GCF_900107215.1
GCF_000163295.1	GCF_000311745.1
GCF_000166295.1	GCF_002933295.1
GCF_000166295.1	GCF_900188315.1
GCF_000175635.1	GCF_013408445.1
GCF_000196255.1	GCF_003025615.1
GCF_000227275.1	GCF_000260655.1
GCF_000227275.1	GCF_001815675.1
GCF_000227275.1	GCF_014054945.1
GCF_000230735.2	GCF_000337115.1
GCF_000231035.2	GCF_000430445.1
GCF_000235625.1	GCF_002933295.1
GCF_000245735.1	GCF_000280055.1
GCF_000260655.1	GCF_001815675.1
GCF_000260655.1	GCF_014054945.1
GCF_000272405.2	GCF_900089855.1
GCF_000275725.1	GCF_014651775.1
GCF_000280495.2	GCF_001658025.2
GCF_000284075.1	GCF_001951015.1
GCF_000308475.2	GCF_001613425.1
GCF_000308575.1	GCF_001612985.1
GCF_000312025.1	GCF_001517665.2
GCF_000316035.1	GCF_017874615.1
GCF_000336775.1	GCF_000336815.1
GCF_000337795.1	GCF_000337835.1
GCF_000350485.1	GCF_000621505.1
GCF_000350545.1	GCF_000421285.1
GCF_000376585.1	GCF_004171285.1
GCF_000376585.1	GCF_018141665.1
GCF_000377505.1	GCF_000426545.1
GCF_000383595.1	GCF_014873495.1
GCF_000419765.1	GCF_015353075.1
GCF_000419765.1	GCF_900099775.1
GCF_000421265.1	GCF_002844275.1
GCF_000421605.1	GCF_000734015.1
GCF_000424105.1	GCF_900103815.1
GCF_000426885.1	GCF_002014975.1
GCF_000445105.1	GCF_001598335.1
GCF_000473265.1	GCF_000739085.1
GCF_000487975.1	GCF_011058205.1
GCF_000487975.1	GCF_014769185.1
GCF_000487975.1	GCF_015602705.1
GCF_000493015.1	GCF_003634515.1
GCF_000495915.1	GCF_000935215.1
GCF_000495915.1	GCF_002929225.1
GCF_000495915.1	GCF_013409135.1
GCF_000513215.1	GCF_006715005.1
GCF_000513215.1	GCF_017299535.1
GCF_000577275.2	GCF_900110205.1
GCF_000586475.1	GCF_001435295.1
GCF_000586475.1	GCF_003148585.1
GCF_000622145.1	GCF_003285265.1
GCF_000633595.2	GCF_000968375.1
GCF_000686565.1	GCF_001999985.1
GCF_000686565.1	GCF_900198625.1
GCF_000696305.2	GCF_001636015.1
GCF_000711795.1	GCF_002811245.1
GCF_000717595.1	GCF_001418135.1
GCF_000719115.1	GCF_900100275.1
GCF_000720805.1	GCF_000721105.1
GCF_000738675.1	GCF_017299535.1
GCF_000764665.1	GCF_000819955.1
GCF_000813705.1	GCF_000952795.1
GCF_000813705.1	GCF_003044425.1
GCF_000816845.1	GCF_015353075.1
GCF_000825685.1	GCF_000828125.2
GCF_000931445.1	GCF_001013905.1
GCF_000935215.1	GCF_002929225.1
GCF_000935215.1	GCF_014764705.1
GCF_000952795.1	GCF_003044425.1
GCF_000956595.1	GCF_009497655.1
GCF_000981585.1	GCF_016772475.1
GCF_001025195.1	GCF_001042615.1
GCF_001044235.1	GCF_001044255.1
GCF_001277805.1	GCF_002809955.1
GCF_001418475.1	GCF_001419765.1
GCF_001418645.1	GCF_001419765.1
GCF_001419765.1	GCF_900290235.1
GCF_001420285.1	GCF_001507325.1
GCF_001420285.1	GCF_012952015.1
GCF_001435295.1	GCF_904846615.1
GCF_001444505.1	GCF_900101915.1
GCF_001457655.1	GCF_002989035.1
GCF_001457655.1	GCF_004802395.1
GCF_001457655.1	GCF_900475755.1
GCF_001457655.1	GCF_900475885.1
GCF_001465295.1	GCF_002221505.1
GCF_001469895.1	GCF_001550135.1
GCF_001469895.1	GCF_013349995.1
GCF_001469895.1	GCF_019134595.1
GCF_001507325.1	GCF_012952015.1
GCF_001514115.1	GCF_014650275.1
GCF_001521715.1	GCF_002208095.1
GCF_001521715.1	GCF_003634515.1
GCF_001521715.1	GCF_007035645.1
GCF_001521715.1	GCF_008364625.1
GCF_001550135.1	GCF_013349995.1
GCF_001571325.1	GCF_001598795.1
GCF_001595725.1	GCF_002200015.1
GCF_001595725.1	GCF_006384875.1
GCF_001612805.1	GCF_001612905.1
GCF_001612845.1	GCF_001613005.1
GCF_001618065.1	GCF_003351665.1
GCF_001728805.1	GCF_002982115.1
GCF_001815675.1	GCF_014054945.1
GCF_001870205.1	GCF_002026305.1
GCF_001886855.1	GCF_005222125.1
GCF_001908275.1	GCF_004001025.1
GCF_001908275.1	GCF_017874615.1
GCF_001999985.1	GCF_900198625.1
GCF_002000985.1	GCF_003337175.1
GCF_002020355.1	GCF_002085925.2
GCF_002020355.1	GCF_009296265.1
GCF_002085925.2	GCF_009296265.1
GCF_002119445.1	GCF_002200015.1
GCF_002119445.1	GCF_006384875.1
GCF_002149035.1	GCF_900113865.1
GCF_002154555.1	GCF_014673495.1
GCF_002197815.1	GCF_003052605.1
GCF_002200015.1	GCF_006384875.1
GCF_002208095.1	GCF_007035645.1
GCF_002220655.1	GCF_016742975.1
GCF_002803095.1	GCF_015712065.1
GCF_002813755.1	GCF_013394305.1
GCF_002836945.1	GCF_002836975.1
GCF_002843305.1	GCF_900114215.1
GCF_002921135.1	GCF_900635775.1
GCF_002929225.1	GCF_003935375.1
GCF_002929225.1	GCF_013409135.1
GCF_002939985.1	GCF_003064105.1
GCF_002982115.1	GCF_003049665.1
GCF_002989035.1	GCF_004802395.1
GCF_002989035.1	GCF_900475885.1
GCF_003044645.1	GCF_003351665.1
GCF_003044645.1	GCF_900654165.1
GCF_003112595.1	GCF_014651155.1
GCF_003144325.1	GCF_011046025.1
GCF_003148585.1	GCF_014897815.1
GCF_003148585.1	GCF_016107535.1
GCF_003148585.1	GCF_904846075.1
GCF_003264365.1	GCF_003857035.1
GCF_003264365.1	GCF_018070325.1
GCF_003264365.1	GCF_900091575.1
GCF_003293675.1	GCF_003397705.1
GCF_003351665.1	GCF_900654165.1
GCF_003474435.1	GCF_013304825.1
GCF_003501885.1	GCF_014649875.1
GCF_003634515.1	GCF_007035645.1
GCF_003635025.1	GCF_900112555.1
GCF_003675955.1	GCF_017874715.1
GCF_003732545.1	GCF_003788635.1
GCF_003851725.1	GCF_012396155.1
GCF_003856975.1	GCF_900177615.1
GCF_003856975.1	GCF_900177795.1
GCF_003857035.1	GCF_900091575.1
GCF_003935375.1	GCF_013409135.1
GCF_003935375.1	GCF_900114065.1
GCF_003957375.1	GCF_013394305.1
GCF_004001025.1	GCF_017874615.1
GCF_004171285.1	GCF_013096535.2
GCF_004171285.1	GCF_018141665.1
GCF_004802395.1	GCF_900475885.1
GCF_005405925.1	GCF_018069625.1
GCF_005981925.1	GCF_014650755.1
GCF_006402735.1	GCF_010998615.1
GCF_006402735.1	GCF_013116825.1
GCF_006402735.1	GCF_900101905.1
GCF_006402735.1	GCF_900106535.1
GCF_007035645.1	GCF_008364625.1
GCF_008520265.1	GCF_009829085.1
GCF_010998615.1	GCF_013116825.1
GCF_010998615.1	GCF_900101905.1
GCF_010998615.1	GCF_900106535.1
GCF_011058205.1	GCF_014769185.1
GCF_011058205.1	GCF_015602705.1
GCF_011758745.1	GCF_011758765.1
GCF_013116825.1	GCF_900101905.1
GCF_013116825.1	GCF_900106535.1
GCF_013349995.1	GCF_019134595.1
GCF_013409135.1	GCF_014764705.1
GCF_013409935.1	GCF_014648055.1
GCF_013460135.1	GCF_902713415.1
GCF_014174215.1	GCF_014174375.1
GCF_014174375.1	GCF_014174395.1
GCF_014764705.1	GCF_900114065.1
GCF_014769185.1	GCF_015602705.1
GCF_014897815.1	GCF_016107535.1
GCF_014897815.1	GCF_904846075.1
GCF_014897815.1	GCF_904846185.1
GCF_014897815.1	GCF_904846525.1
GCF_015712065.1	GCF_900102635.1
GCF_015712065.1	GCF_900106015.1
GCF_016107535.1	GCF_904846075.1
GCF_016107535.1	GCF_904846185.1
GCF_016107535.1	GCF_904846525.1
GCF_018070325.1	GCF_900091575.1
GCF_900002405.1	GCF_900098745.1
GCF_900101905.1	GCF_900106535.1
GCF_900102635.1	GCF_900106015.1
GCF_900110115.1	GCF_900141995.1
GCF_900112765.1	GCF_900116555.1
GCF_900129865.1	GCF_900166595.1
GCF_900177615.1	GCF_900177795.1
GCF_900239185.1	GCF_900239495.1
GCF_904846075.1	GCF_904846185.1
GCF_904846075.1	GCF_904846525.1
GCF_904846185.1	GCF_904846615.1
GCF_904846525.1	GCF_904846615.1
