pairid	q_acc	r_acc	band	split	anim_ani	af_tier	stratum	query	reference	ani	ani_uniform	af_query	af_reference	std_err	ani_cal	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95	skani_ani	skani_align_frac	fastani_ani	fastani_mapped	fastani_total
GCA_003241705.1__GCA_009996505.1	GCA_003241705.1	GCA_009996505.1	95-97	train	96.56	strict		QFPQ01000235.1	JAACZW010000001.1	97.517	98.0543	0.6295	0.7155	0.03088	96.796	478	0.9955	27	0.807	0.876	97.3325	98.4234	0.2262	1.67	AlfI:98.09,AloI:98.23,BcgI:98.00,FalI:98.13	6825	478	8072	124	13.3787	ok	97.517	gamma	97.4255	97.02	71.51	96.7562	787	1168
GCA_003241705.1__GCF_018403535.1	GCA_003241705.1	GCF_018403535.1	95-97	train	96.75	strict		QFPQ01000235.1	NZ_BOUK01000001.1	97.5972	98.1689	0.6489	0.6741	0.02944	96.8436	482	0.9971	18	0.689	0.8839	97.4294	98.5276	0.1158	0.26	AlfI:98.16,AloI:98.17,BcgI:98.16,FalI:98.27	7108	482	8294	133	13.7469	ok	97.5972	gamma	97.5204	97.01	68.83	96.8593	824	1168
GCA_003281865.1__GCA_902559135.1	GCA_003281865.1	GCA_902559135.1	95-97	test	95.81	strict		QCAT01000001.1	CACEGK010000001.1	95.42	96.2503	0.7313	0.7345	0.14697	95.0896	33	0.9815	10	1.434	0.7528	95.4669	97.0726	2.1928	7.52	AlfI:95.69,AloI:96.52,BcgI:94.50,FalI:96.69	616	33	848	60	17.0909	ok	95.42	gamma	95.8159	94.84	79.21	95.2491	351	429
GCA_003316735.1__GCF_000585195.1	GCA_003316735.1	GCF_000585195.1	95-97	train	96.13	strict		PDKI01000010.1	NZ_JARV01000001.1	96.497	96.7487	0.853	0.8339	0.10297	96.305	28	0.9906	10	3.165	0.7924	96.4255	97.0178	2.8344	4.16	AlfI:96.64,AloI:96.89,BcgI:94.06,FalI:96.83	1153	28	1424	207	38.7143	ok	96.497	gamma	96.6852	95.67	81.42	95.8302	634	718
GCA_003316735.1__GCF_000648635.1	GCA_003316735.1	GCF_000648635.1	95-97	train	96.04	strict		PDKI01000010.1	NZ_JATO01000001.1	96.3153	96.6537	0.8721	0.8856	0.10396	96.3638	29	0.9917	9	2.516	0.7857	96.2896	96.9615	2.3575	2.92	AlfI:96.85,AloI:96.93,BcgI:94.57,FalI:96.69	1140	29	1450	207	37.8966	ok	96.3153	gamma	96.5494	95.7	82.2	95.6735	637	718
GCA_003445605.1__GCA_012521055.1	GCA_003445605.1	GCA_012521055.1	95-97	train	95.74	strict		DMDC01000040.1	JAAYNC010000153.1	96.7622	97.1153	0.5181	0.3256	0.10844	94.6206	87	0.9928	4	1.968	0.8108	96.7496	97.3784	0.5084	0.88	AlfI:97.24,AloI:96.76,BcgI:97.27,FalI:96.96	960	87	1040	15	7.29885	ok	96.7622	gamma	97.0297	95.34	45.44	94.6964	240	298
GCA_003445875.1__GCF_000803025.1	GCA_003445875.1	GCF_000803025.1	95-97	train	95.11	strict		DMCE01000009.1	NZ_JSCE01000001.1	97.0385	97.2989	0.5097	0.202	0.13147	94.443	43	0.9864	3	2.211	0.8251	97.0458	97.489	0.9181	2.28	AlfI:96.98,AloI:97.89,BcgI:96.99,FalI:97.55	622	43	657	14	6.06977	ok	97.0385	gamma	97.3922	95.4	30.63	95.071	225	240
GCA_003446955.1__GCA_017528775.1	GCA_003446955.1	GCA_017528775.1	95-97	train	95.43	verylow-AF		DMAY01000236.1	JAFXOK010000188.1			0	0			0	0	0					0		-	3	0	0	0	0	BELOW_DETECTION		none	71.5642					
GCA_003455175.1__GCA_902773985.1	GCA_003455175.1	GCA_902773985.1	95-97	train	96.49	strict		DMRZ01000169.1	CACYGS010000001.1	97.2387	98.424	0.5974	0.4569	0.06822	96.395	110	0.9902	8	0.282	0.902	97.423	98.8687	0.2657	0.93	AlfI:98.33,AloI:98.57,BcgI:98.53,FalI:98.30	1253	110	1391	30	8.37273	ok	97.2387	gamma	97.6519	97.21	54.47	96.9086	363	461
GCA_003483435.1__GCA_018265295.1	GCA_003483435.1	GCA_018265295.1	95-97	test	96.76	strict		DMWC01000104.1	JABLZL010000071.1	97.1026	97.9231	0.7311	0.7083	0.05325	96.8526	175	0.9886	25	0.65	0.8676	96.9497	98.4611	0.6304	3.93	AlfI:97.59,AloI:97.84,BcgI:97.95,FalI:98.22	2543	175	3051	68	13.4057	ok	97.1026	gamma	97.1069	96.69	67.95	96.5232	415	523
GCA_003526165.1__GCF_900104195.1	GCA_003526165.1	GCF_900104195.1	95-97	train	95.49	strict		DQBV01000266.1	NZ_FNJE01000043.1	96.2471	96.7315	0.6627	0.5473	0.10024	95.0958	92	0.9985	1	1.911	0.7861	96.1407	97.2431	0.3515	0.6	AlfI:96.64,AloI:96.85,BcgI:96.50,FalI:96.82	1168	92	1499	21	8.43478	ok	96.2471	gamma	96.3904	95.35	53.58	95.3177	462	545
GCA_003535915.1__GCF_018618775.1	GCA_003535915.1	GCF_018618775.1	95-97	train	95.44	strict		DPZE01000002.1	NZ_JACSMW010000001.1	95.4833	97.0932	0.9344	0.9311	0.05946	96.5995	27	0.9945	15	0.613	0.8076	95.8416	98.089	0.7204	4.13	AlfI:96.67,AloI:97.39,BcgI:97.02,FalI:97.26	2777	27	3852	396	101.37	ok	95.4833	gamma	95.9947	95.48	87.33	95.5749	928	971
GCA_003535915.1__GCF_018618835.1	GCA_003535915.1	GCF_018618835.1	95-97	train	95.32	strict		DPZE01000002.1	NZ_JACSMV010000001.1	95.68	97.191	0.871	0.8283	0.06014	96.359	42	0.9884	30	0.613	0.8148	95.9636	98.1319	0.5622	3.89	AlfI:96.88,AloI:97.42,BcgI:97.07,FalI:97.44	2670	42	3607	323	61.8571	ok	95.68	gamma	96.1207	95.24	81.9	95.3436	902	971
GCA_003537795.1__GCA_900544035.1	GCA_003537795.1	GCA_900544035.1	95-97	train	95.14	strict		DPQP01000011.1	UQTP01000001.1	94.586	95.8525	0.8287	0.8081	0.17041	95.0042	29	0.9735	12	1.189	0.7263	94.8578	97.0279	2.6414	5.1	AlfI:95.51,AloI:96.63,BcgI:93.99,FalI:96.15	504	29	734	84	16.2069	ok	94.586	gamma	95.2496	94.56	80.05	95.1493	351	406
GCA_004213165.1__GCF_001632025.1	GCA_004213165.1	GCF_001632025.1	95-97	train	96.99	strict		SHAR01000001.1	NZ_LVHQ01000001.1	97.6437	97.7934	0.9048	0.5692	0.05796	96.82	95	0.9981	4	2.781	0.859	97.5921	97.9057	0.4365	1.56	AlfI:97.89,AloI:97.45,BcgI:97.85,FalI:97.61	2166	95	2555	89	22.6947	ok	97.6437	gamma	97.7556	96.84	59	96.9344	444	453
GCA_004214085.1__GCA_018647415.1	GCA_004214085.1	GCA_018647415.1	95-97	train	96.96	strict		SGYV01000001.1	JABGTB010000008.1	96.9326	97.1173	0.8529	0.6463	0.13726	96.1919	30	1	0	3.165	0.8158	97.0164	97.1997	0.4916	0.28	AlfI:97.09,AloI:97.28,BcgI:96.79,FalI:97.16	549	30	664	54	17.1667	ok	96.9326	gamma	97.3722	96.65	70.95	96.6515	228	238
GCA_004214085.1__GCA_018655425.1	GCA_004214085.1	GCA_018655425.1	95-97	train	96.98	strict		SGYV01000001.1	JABIJS010000032.1	97.0856	97.0856	0.8522	0.6086	0.13745	96.0983	35	0.9897	5	inf	0.8136	97.0982	97.0875	0.1552	0.04	AlfI:96.98,AloI:97.14,BcgI:97.02,FalI:97.11	555	35	663	54	14.7714	ok	97.0856	uniform	97.4516	96.61	67.49	96.6613	227	238
GCA_004376705.1__GCA_019057855.1	GCA_004376705.1	GCA_019057855.1	95-97	test	96.53	low-AF		SOJD01000118.1	JAHLWN010000248.1	98.3619	98.5227	0.2566	0.1974	0.09876	95.173	49	0.9852	4	1.352	0.9094	98.18	98.6679	0.7346	1.4	AlfI:98.23,AloI:98.87,BcgI:98.14,FalI:98.58	712	49	613	15	6.42857	ok	98.3619	gamma	98.4974	95.86	37.3	95.3256	390	733
GCA_004553245.1__GCA_905211025.1	GCA_004553245.1	GCA_905211025.1	95-97	train	95.94	low-AF		SFMA01000172.1	CAJLZB010000001.1	97.054	97.5813	0.5385	0.6232	0.05981	95.8567	122	0.9806	41	1.14	0.8434	96.9071	97.9973	0.3009	0.95	AlfI:97.67,AloI:97.55,BcgI:97.62,FalI:97.37	2558	122	2812	60	17.9672	ok	97.054	gamma	97.0726	96.24	59.96	96.1135	569	886
GCA_004557765.1__GCA_905203325.1	GCA_004557765.1	GCA_905203325.1	95-97	train	95.55	strict		SFFT01000118.1	CAJKVG010000001.1	96.0488	96.981	0.7337	0.755	0.07993	95.9126	107	0.9916	11	1.014	0.7996	96.0309	97.7578	0.21	0.23	AlfI:96.98,AloI:97.12,BcgI:96.91,FalI:97.05	1610	107	2125	53	13.1121	ok	96.0488	gamma	96.233	95.84	77.42	95.9912	406	499
GCA_004560015.1__GCA_015655785.1	GCA_004560015.1	GCA_015655785.1	95-97	train	96.1	strict		SFWG01000105.1	DVEZ01000012.1	96.1626	96.6594	0.671	0.6326	0.08692	95.2041	97	0.9959	5	1.968	0.776	96.0859	97.1778	0.6343	1.5	AlfI:96.76,AloI:96.99,BcgI:96.73,FalI:96.36	1733	97	1944	65	13.6082	ok	96.1626	gamma	96.2971	95.97	63.58	95.8675	403	481
GCA_004563465.1__GCA_018916745.1	GCA_004563465.1	GCA_018916745.1	95-97	train	95.62	strict		SFSR01000001.1	JAHLNG010000001.1	96.6267	97.1205	0.4262	0.4039	0.09862	94.5867	81	0.9949	3	1.52	0.8106	96.5582	97.5431	0.2915	0.37	AlfI:97.21,AloI:97.28,BcgI:96.99,FalI:97.14	1258	81	1263	26	8.17284	ok	96.6267	gamma	96.8124	95.08	56.69	95.4084	372	543
GCA_007096815.1__GCF_014218765.1	GCA_007096815.1	GCF_014218765.1	95-97	train	95.94	strict		SFAE01000001.1	NZ_JACEGC010000001.1	95.4473	96.6532	0.519	0.4711	0.0791	94.4374	174	0.9685	38	0.985	0.7755	95.5617	97.6454	0.9181	8.67	AlfI:96.16,AloI:96.65,BcgI:96.99,FalI:96.07	2740	174	2495	24	7.71839	ok	95.4473	gamma	95.7543	94.97	58.58	94.9547	1086	1402
GCA_007122115.1__GCF_000337715.1	GCA_007122115.1	GCF_000337715.1	95-97	train	95.55	strict		SKUJ01000130.1	NZ_AOHY01000001.1	96.2728	96.9652	0.8145	0.5297	0.05508	95.5886	288	0.9984	4	1.297	0.7951	96.2115	97.5882	0.6087	2.25	AlfI:96.45,AloI:97.06,BcgI:97.00,FalI:97.05	3476	288	4306	40	9.84375	ok	96.2728	gamma	96.3491	95.82	53.47	95.8209	601	645
GCA_007845265.1__GCA_015257495.1	GCA_007845265.1	GCA_015257495.1	95-97	train	95.71	strict		SDRM01000010.1	JABZKA010000010.1	95.602	96.587	0.8812	0.8698	0.15034	96.0154	24	0.9955	2	1.14	0.7703	95.6911	97.4367	1.302	1.07	AlfI:96.35,AloI:95.47,BcgI:96.69,FalI:96.78	499	24	690	63	19.5	ok	95.602	gamma	96.0539	95.8	86.69	95.6462	205	220
GCA_007845345.1__GCA_015257495.1	GCA_007845345.1	GCA_015257495.1	95-97	train	95.73	strict		SDRP01000010.1	JABZKA010000010.1	95.8529	96.861	0.7901	0.6044	0.16388	95.431	30	0.9967	1	1.014	0.7914	95.8686	97.7081	1.6811	1.04	AlfI:96.90,AloI:95.36,BcgI:96.89,FalI:97.04	400	30	532	25	11.1333	ok	95.8529	gamma	96.2781	95.87	64.29	95.7155	140	154
GCA_008033035.1__GCF_009740305.1	GCA_008033035.1	GCF_009740305.1	95-97	train	95.05	strict		CP032043.1	NZ_WADS01000001.1	95.4906	96.1543	0.8642	0.8605	0.12235	95.6135	29	0.9665	28	1.968	0.7432	95.3813	96.977	1.3135	4.85	AlfI:96.82,AloI:95.64,BcgI:95.50,FalI:96.09	914	29	1222	122	28.8966	ok	95.4906	gamma	95.6668	95.45	88.72	95.5003	482	544
GCA_008662055.1__GCF_003428235.1	GCA_008662055.1	GCF_003428235.1	95-97	test	95.45	strict		RPZO01000135.1	NZ_QVOJ01000001.1	95.8217	97.1273	0.734	0.6363	0.05703	95.6684	193	0.9945	14	0.709	0.8091	96.0229	97.9955	0.1619	0.33	AlfI:97.19,AloI:97.24,BcgI:97.08,FalI:97.14	2979	193	3955	61	14.0725	ok	95.8217	gamma	96.169	94.77	55.98	94.7218	559	669
