rank	pairid	q_acc	r_acc	anim_ani	ani	synteny_score	breakpoint_count	af_query	af_reference
46	GCF_014076795.1__GCF_014076835.1	GCF_014076795.1	GCF_014076835.1	99.8	99.8584	0.9929	28	0.9054	0.9145
47	GCF_000518465.1__GCF_900177285.1	GCF_000518465.1	GCF_900177285.1	98.91	99.1131	0.993	47	0.906	0.9139
48	GCF_009931375.1__GCF_013307145.1	GCF_009931375.1	GCF_013307145.1	99.96	99.9763	0.993	114	0.9737	0.9835
49	GCA_002425115.1__GCA_002433925.1	GCA_002425115.1	GCA_002433925.1	99.98	99.9999	0.9931	9	0.9728	0.9696
50	GCF_009707235.1__GCF_014493605.1	GCF_009707235.1	GCF_014493605.1	98.78	99.2983	0.9931	46	0.9298	0.9479
51	GCA_003534915.1__GCA_003545475.1	GCA_003534915.1	GCA_003545475.1	99.94	99.9865	0.9931	7	0.9486	0.9694
52	GCF_003385915.1__GCF_006539845.1	GCF_003385915.1	GCF_006539845.1	100.0	99.9999	0.9932	64	0.9616	0.9737
53	GCA_002377925.1__GCA_900299445.1	GCA_002377925.1	GCA_900299445.1	99.99	99.9963	0.9932	12	0.9251	0.907
54	GCF_002875555.1__GCF_002876915.1	GCF_002875555.1	GCF_002876915.1	99.99	99.998	0.9933	45	0.9341	0.9446
55	GCF_900475945.1__GCF_900625055.1	GCF_900475945.1	GCF_900625055.1	99.99	99.9862	0.9934	75	0.989	0.9911
56	GCF_003050685.1__GCF_017301795.1	GCF_003050685.1	GCF_017301795.1	99.4	99.437	0.9934	75	0.9475	0.9781
57	GCF_900706845.1__GCF_902385615.1	GCF_900706845.1	GCF_902385615.1	99.97	99.9807	0.9938	37	0.9732	0.9896
58	GCF_005887445.1__GCF_005887475.1	GCF_005887445.1	GCF_005887475.1	99.98	99.9953	0.9938	34	0.9247	0.922
59	GCA_000995905.1__GCA_001776705.1	GCA_000995905.1	GCA_001776705.1	99.9	99.997	0.9938	7	0.9429	0.909
60	GCA_018373895.1__GCF_002847745.1	GCA_018373895.1	GCF_002847745.1	99.31	99.5368	0.9938	8	0.9367	0.9419
61	GCA_018814585.1__GCA_018817105.1	GCA_018814585.1	GCA_018817105.1	99.95	99.9963	0.9939	11	0.9273	0.9606
62	GCA_903825025.1__GCA_903838545.1	GCA_903825025.1	GCA_903838545.1	99.99	99.9999	0.994	13	0.9143	0.9347
63	GCF_018912935.1__GCF_018913145.1	GCF_018912935.1	GCF_018913145.1	99.36	99.477	0.994	17	0.9386	0.9487
64	GCF_002368255.1__GCF_014697225.1	GCF_002368255.1	GCF_014697225.1	99.99	99.9982	0.994	63	0.9158	0.9808
65	GCA_002322835.1__GCA_002331685.1	GCA_002322835.1	GCA_002331685.1	99.66	99.7642	0.9941	45	0.9284	0.9194
66	GCF_000510915.2__GCF_900004755.1	GCF_000510915.2	GCF_900004755.1	99.46	99.5927	0.9942	64	0.9118	0.9148
67	GCA_018666605.1__GCA_018694235.1	GCA_018666605.1	GCA_018694235.1	99.98	99.9948	0.9943	135	0.922	0.9336
68	GCF_002931915.1__GCF_002932135.1	GCF_002931915.1	GCF_002932135.1	99.28	99.5601	0.9943	32	0.9214	0.9083
69	GCF_010868115.1__GCF_010868155.1	GCF_010868115.1	GCF_010868155.1	99.7	99.7837	0.9943	77	0.9494	0.9577
70	GCF_009665395.1__GCF_009763705.1	GCF_009665395.1	GCF_009763705.1	99.18	99.2545	0.9943	20	0.902	0.9351
71	GCF_014230485.1__GCF_900461245.1	GCF_014230485.1	GCF_900461245.1	99.74	99.8426	0.9944	15	0.926	0.9138
72	GCF_000428085.1__GCF_001752545.1	GCF_000428085.1	GCF_001752545.1	99.95	99.997	0.9944	12	0.9497	0.9498
73	GCF_000477935.1__GCF_000477955.1	GCF_000477935.1	GCF_000477955.1	99.97	99.9999	0.9945	24	0.9988	0.9984
74	GCF_001465255.1__GCF_005403365.1	GCF_001465255.1	GCF_005403365.1	99.64	99.6954	0.9945	40	0.9065	0.9598
75	GCA_001001885.1__GCA_001001955.1	GCA_001001885.1	GCA_001001955.1	99.93	99.9907	0.9945	6	0.9186	0.9715
76	GCF_009763885.1__GCF_900460255.1	GCF_009763885.1	GCF_900460255.1	99.17	99.1573	0.9946	19	0.912	0.9276
77	GCF_002250905.2__GCF_017909435.1	GCF_002250905.2	GCF_017909435.1	99.48	99.4902	0.9946	20	0.9234	0.96
78	GCF_002891115.1__GCF_009909265.1	GCF_002891115.1	GCF_009909265.1	99.82	99.9221	0.9947	94	0.9389	0.9616
79	GCF_001755835.1__GCF_902832905.1	GCF_001755835.1	GCF_902832905.1	99.24	99.4951	0.9948	87	0.9089	0.9197
80	GCF_001955615.1__GCF_001955625.1	GCF_001955615.1	GCF_001955625.1	99.65	99.7669	0.9948	18	0.9302	0.933
81	GCF_000010605.1__GCF_009862415.1	GCF_000010605.1	GCF_009862415.1	99.09	99.4106	0.9949	61	0.9259	0.9286
82	GCA_900753175.1__GCA_905212245.1	GCA_900753175.1	GCA_905212245.1	99.98	99.992	0.9951	4	0.9443	0.9431
83	GCF_000046685.1__GCF_000708945.1	GCF_000046685.1	GCF_000708945.1	99.82	99.8289	0.9951	9	0.9962	0.9911
84	GCF_004362605.1__GCF_902705945.1	GCF_004362605.1	GCF_902705945.1	99.22	99.2379	0.9952	38	0.9496	0.9646
85	GCA_903829375.1__GCA_903890005.1	GCA_903829375.1	GCA_903890005.1	99.92	99.9412	0.9952	45	0.9598	0.9548
86	GCA_018000135.1__GCA_018435005.1	GCA_018000135.1	GCA_018435005.1	99.99	99.9995	0.9954	33	0.9809	0.967
87	GCF_001422425.1__GCF_001422845.1	GCF_001422425.1	GCF_001422845.1	98.8	99.1311	0.9955	35	0.9113	0.9011
88	GCA_902387155.1__GCF_004352985.1	GCA_902387155.1	GCF_004352985.1	99.41	99.5945	0.9955	49	0.9166	0.9369
89	GCF_000023685.1__GCF_900489655.1	GCF_000023685.1	GCF_900489655.1	99.94	99.8589	0.9955	2	0.9979	0.9981
90	GCF_900489685.1__GCF_900489825.1	GCF_900489685.1	GCF_900489825.1	99.95	99.9421	0.9955	2	0.9979	0.9979
91	GCA_018895735.1__GCA_018897705.1	GCA_018895735.1	GCA_018897705.1	99.95	99.9562	0.9955	23	0.9603	0.964
92	GCF_002980215.1__GCF_014472375.1	GCF_002980215.1	GCF_014472375.1	99.4	99.5269	0.9956	51	0.9364	0.9331
93	GCF_001718335.1__GCF_016836745.1	GCF_001718335.1	GCF_016836745.1	98.79	99.0495	0.9956	79	0.9021	0.9213
94	GCA_002378245.1__GCA_002473045.1	GCA_002378245.1	GCA_002473045.1	99.99	99.9965	0.9956	29	0.9649	0.9774
95	GCF_001044155.1__GCF_900447205.1	GCF_001044155.1	GCF_900447205.1	99.96	99.9739	0.9956	21	0.9797	0.9736
96	GCF_000835205.1__GCF_001755835.1	GCF_000835205.1	GCF_001755835.1	99.28	99.4688	0.9958	72	0.9362	0.9471
97	GCF_018068205.1__GCF_018771265.1	GCF_018068205.1	GCF_018771265.1	99.51	99.6526	0.9958	15	0.9198	0.9268
98	GCF_000336235.1__GCF_018127865.1	GCF_000336235.1	GCF_018127865.1	99.99	99.9993	0.9958	21	0.9555	0.9543
99	GCF_002552175.1__GCF_002566505.1	GCF_002552175.1	GCF_002566505.1	99.79	99.8971	0.9958	15	0.9288	0.9429
100	GCF_001673235.1__GCF_002086345.1	GCF_001673235.1	GCF_002086345.1	99.42	99.5501	0.9958	37	0.9383	0.9121
101	GCA_002341545.1__GCA_002414985.1	GCA_002341545.1	GCA_002414985.1	99.99	99.9989	0.9959	13	0.9805	0.9867
102	GCF_000337255.1__GCF_000485535.1	GCF_000337255.1	GCF_000485535.1	99.97	99.9974	0.996	20	0.9794	0.9735
103	GCF_000509385.1__GCF_002204305.1	GCF_000509385.1	GCF_002204305.1	99.19	99.3853	0.996	30	0.9697	0.9302
104	GCF_001047325.1__GCF_001270485.1	GCF_001047325.1	GCF_001270485.1	99.68	99.8285	0.996	67	0.9075	0.9424
105	GCA_002386485.1__GCA_002451575.1	GCA_002386485.1	GCA_002451575.1	99.86	99.9392	0.9961	4	0.9856	0.9894
106	GCF_001499915.1__GCF_001500105.1	GCF_001499915.1	GCF_001500105.1	98.79	99.0843	0.9962	37	0.9434	0.9595
107	GCF_014696495.1__GCF_014696565.1	GCF_014696495.1	GCF_014696565.1	99.99	99.9987	0.9962	28	0.9774	0.9596
108	GCA_903945405.1__GCA_903951815.1	GCA_903945405.1	GCA_903951815.1	99.98	99.9965	0.9962	17	0.9629	0.9571
109	GCF_012295595.1__GCF_900111045.1	GCF_012295595.1	GCF_900111045.1	99.99	99.9999	0.9962	29	0.9884	0.9927
110	GCA_016706355.1__GCA_016719985.1	GCA_016706355.1	GCA_016719985.1	99.36	99.3979	0.9962	21	0.9026	0.9453
111	GCA_903881995.1__GCA_903918775.1	GCA_903881995.1	GCA_903918775.1	99.97	99.9916	0.9963	46	0.9567	0.9564
112	GCA_017984815.1__GCA_017993395.1	GCA_017984815.1	GCA_017993395.1	99.96	99.9856	0.9963	37	0.9168	0.9272
113	GCA_903835645.1__GCA_903913395.1	GCA_903835645.1	GCA_903913395.1	99.97	99.9955	0.9963	19	0.9541	0.9408
114	GCF_001297765.1__GCF_001297785.1	GCF_001297765.1	GCF_001297785.1	99.97	99.9916	0.9964	24	0.9818	0.9809
115	GCF_014841935.1__GCF_014842145.1	GCF_014841935.1	GCF_014842145.1	98.52	99.0417	0.9964	34	0.9513	0.9576
116	GCA_000999405.1__GCA_000999505.1	GCA_000999405.1	GCA_000999505.1	99.78	99.9919	0.9964	3	0.9626	0.958
117	GCF_001560305.1__GCF_001560515.1	GCF_001560305.1	GCF_001560515.1	99.91	99.9873	0.9964	5	0.9778	0.9875
118	GCA_003154505.1__GCA_003158325.1	GCA_003154505.1	GCA_003158325.1	99.71	99.9603	0.9964	23	0.9039	0.9015
119	GCF_001223385.1__GCF_902173195.1	GCF_001223385.1	GCF_902173195.1	99.5	99.5472	0.9965	15	0.9355	0.9402
120	GCF_002162115.1__GCF_016019785.1	GCF_002162115.1	GCF_016019785.1	99.84	99.9111	0.9965	14	0.9795	0.9817
121	GCF_013347125.1__GCF_014805345.1	GCF_013347125.1	GCF_014805345.1	99.96	99.9837	0.9965	36	0.9609	0.9638
122	GCF_000805375.1__GCF_900236745.1	GCF_000805375.1	GCF_900236745.1	98.86	99.1354	0.9965	38	0.954	0.9436
123	GCF_000317265.1__GCF_003990575.1	GCF_000317265.1	GCF_003990575.1	99.94	99.9825	0.9966	24	0.9633	0.9501
124	GCA_018383065.1__GCA_905199735.1	GCA_018383065.1	GCA_905199735.1	99.57	99.6133	0.9966	7	0.9336	0.947
125	GCF_000785495.1__GCF_006538965.1	GCF_000785495.1	GCF_006538965.1	99.99	99.9949	0.9966	36	0.9913	0.9938
126	GCF_900447255.1__GCF_900475655.1	GCF_900447255.1	GCF_900475655.1	99.93	99.9486	0.9967	14	0.9687	0.9987
127	GCF_001269685.1__GCF_900102295.1	GCF_001269685.1	GCF_900102295.1	98.72	99.0698	0.9967	38	0.9016	0.9379
128	GCF_000786255.1__GCF_003201175.1	GCF_000786255.1	GCF_003201175.1	99.12	99.2327	0.9967	21	0.9139	0.902
129	GCF_003850465.1__GCF_003850525.1	GCF_003850465.1	GCF_003850525.1	99.2	99.3512	0.9968	42	0.9622	0.9872
130	GCF_003990125.1__GCF_003990155.1	GCF_003990125.1	GCF_003990155.1	99.8	99.8394	0.9968	11	0.9514	0.9331
131	GCF_002076915.1__GCF_014646495.1	GCF_002076915.1	GCF_014646495.1	99.49	99.6829	0.9968	11	0.9471	0.9893
132	GCF_002215055.1__GCF_902386745.1	GCF_002215055.1	GCF_902386745.1	100.0	99.9999	0.9969	23	0.9979	0.9979
133	GCF_003855255.1__GCF_017052695.1	GCF_003855255.1	GCF_017052695.1	99.34	99.5271	0.9969	39	0.9155	0.9412
134	GCA_005792965.1__GCA_005805455.1	GCA_005792965.1	GCA_005805455.1	99.91	99.934	0.9969	6	0.9573	0.9621
135	GCA_008667915.1__GCA_008668315.1	GCA_008667915.1	GCA_008668315.1	99.86	99.9213	0.9969	13	0.9128	0.9024
136	GCF_004359605.1__GCF_004359635.1	GCF_004359605.1	GCF_004359635.1	99.55	99.5384	0.9969	6	0.9443	0.9288
137	GCA_000998635.1__GCA_003488405.1	GCA_000998635.1	GCA_003488405.1	99.65	99.9803	0.997	4	0.9494	0.9684
138	GCF_000632125.1__GCF_001598535.1	GCF_000632125.1	GCF_001598535.1	100.0	99.9993	0.997	26	0.9782	0.9655
139	GCF_001438685.1__GCF_002907065.1	GCF_001438685.1	GCF_002907065.1	99.85	99.983	0.997	3	0.9083	0.9271
140	GCF_000175995.1__GCF_001471395.2	GCF_000175995.1	GCF_001471395.2	99.97	99.9923	0.997	17	0.964	0.955
141	GCA_002490555.1__GCA_002491645.1	GCA_002490555.1	GCA_002491645.1	99.99	99.9986	0.997	14	0.9441	0.9371
142	GCF_001524825.1__GCF_002925705.1	GCF_001524825.1	GCF_002925705.1	99.31	99.5106	0.997	62	0.9435	0.9372
143	GCF_003086195.1__GCF_900076365.1	GCF_003086195.1	GCF_900076365.1	99.94	99.9768	0.997	21	0.9255	0.9075
144	GCF_001297765.1__GCF_001297845.1	GCF_001297765.1	GCF_001297845.1	99.97	99.9912	0.997	20	0.9827	0.9805
145	GCA_903833765.1__GCA_903903895.1	GCA_903833765.1	GCA_903903895.1	99.95	99.9559	0.9971	7	0.9384	0.9554
146	GCF_000741405.1__GCF_001005065.1	GCF_000741405.1	GCF_001005065.1	99.99	99.9982	0.9971	21	0.9804	0.9799
147	GCF_014223895.1__GCF_014223915.1	GCF_014223895.1	GCF_014223915.1	99.96	99.9743	0.9971	8	0.9611	0.951
148	GCF_001422425.1__GCF_001424745.1	GCF_001422425.1	GCF_001424745.1	98.84	99.1342	0.9971	23	0.9121	0.906
149	GCF_001526385.1__GCF_001532725.1	GCF_001526385.1	GCF_001532725.1	99.08	99.2796	0.9972	53	0.908	0.9283
150	GCF_005233685.1__GCF_900005935.1	GCF_005233685.1	GCF_900005935.1	99.72	99.7869	0.9972	31	0.9381	0.9548
151	GCF_002845395.1__GCF_002845485.1	GCF_002845395.1	GCF_002845485.1	99.99	99.9999	0.9972	5	0.9571	0.9558
152	GCF_000503935.1__GCF_009720185.1	GCF_000503935.1	GCF_009720185.1	99.0	99.1842	0.9972	27	0.9286	0.9229
153	GCA_905200605.1__GCF_007833235.1	GCA_905200605.1	GCF_007833235.1	99.13	99.3089	0.9972	10	0.9346	0.9049
154	GCA_902385445.1__GCF_003481635.1	GCA_902385445.1	GCF_003481635.1	99.97	99.9991	0.9972	10	0.9658	0.9614
155	GCA_018817105.1__GCA_018825025.1	GCA_018817105.1	GCA_018825025.1	99.98	99.9945	0.9972	5	0.961	0.9277
156	GCA_009697645.1__GCA_009705485.1	GCA_009697645.1	GCA_009705485.1	99.92	99.9908	0.9972	6	0.9354	0.9204
157	GCA_903846165.1__GCA_903875755.1	GCA_903846165.1	GCA_903875755.1	99.98	99.9968	0.9973	19	0.9569	0.9687
158	GCF_002157125.1__GCF_002157185.1	GCF_002157125.1	GCF_002157185.1	99.98	99.9865	0.9973	28	0.9738	0.9987
159	GCF_000364325.1__GCF_000468815.1	GCF_000364325.1	GCF_000468815.1	99.86	99.9576	0.9974	7	0.9742	0.974
160	GCF_011043685.1__GCF_012030475.1	GCF_011043685.1	GCF_012030475.1	99.2	99.3026	0.9974	21	0.9398	0.9584
161	GCA_018372155.1__GCF_003864435.1	GCA_018372155.1	GCF_003864435.1	99.44	99.5631	0.9974	26	0.9151	0.924
162	GCF_002037625.1__GCF_009648775.1	GCF_002037625.1	GCF_009648775.1	99.03	99.1401	0.9974	12	0.9526	0.9515
163	GCA_903893645.1__GCA_903895425.1	GCA_903893645.1	GCA_903895425.1	99.98	99.9954	0.9975	37	0.9714	0.9669
164	GCF_004920495.1__GCF_900640065.1	GCF_004920495.1	GCF_900640065.1	99.68	99.8437	0.9975	9	0.9169	0.9263
165	GCA_000998145.1__GCA_003449455.1	GCA_000998145.1	GCA_003449455.1	99.84	99.9916	0.9975	2	0.9601	0.9374
166	GCF_009495795.1__GCF_009495835.1	GCF_009495795.1	GCF_009495835.1	99.98	99.9983	0.9975	5	0.9251	0.9251
167	GCF_014268225.1__GCF_900591125.1	GCF_014268225.1	GCF_900591125.1	99.34	99.4578	0.9976	28	0.9488	0.9583
168	GCF_001637525.1__GCF_018729275.1	GCF_001637525.1	GCF_018729275.1	99.17	99.3224	0.9976	11	0.9445	0.9558
169	GCA_017306455.1__GCF_001423805.1	GCA_017306455.1	GCF_001423805.1	99.97	99.9987	0.9976	18	0.9901	0.9835
170	GCF_000341855.1__GCF_000348765.2	GCF_000341855.1	GCF_000348765.2	99.99	99.9956	0.9976	4	0.999	0.999
171	GCF_011751965.1__GCF_011751985.1	GCF_011751965.1	GCF_011751985.1	99.39	99.6731	0.9976	12	0.9815	0.9757
172	GCF_001901345.1__GCF_001901355.1	GCF_001901345.1	GCF_001901355.1	99.42	99.5769	0.9976	22	0.9435	0.9362
173	GCF_016918045.1__GCF_018362795.1	GCF_016918045.1	GCF_018362795.1	99.1	99.3981	0.9976	17	0.9458	0.9475
174	GCF_005670605.1__GCF_900101555.1	GCF_005670605.1	GCF_900101555.1	98.73	99.0061	0.9976	24	0.945	0.942
175	GCA_903820535.1__GCA_903864235.1	GCA_903820535.1	GCA_903864235.1	100.0	99.9995	0.9977	14	0.9771	0.9602
176	GCF_003667625.1__GCF_003667675.1	GCF_003667625.1	GCF_003667675.1	99.98	99.995	0.9977	10	0.9061	0.9081
177	GCA_903858805.1__GCA_903918775.1	GCA_903858805.1	GCA_903918775.1	99.97	99.9954	0.9977	28	0.9527	0.9428
178	GCF_002086345.1__GCF_002285715.1	GCF_002086345.1	GCF_002285715.1	99.38	99.5753	0.9977	20	0.9077	0.9466
179	GCA_001795465.1__GCA_003537935.1	GCA_001795465.1	GCA_003537935.1	99.93	99.993	0.9977	17	0.9727	0.9718
180	GCA_011801225.1__GCF_011801245.1	GCA_011801225.1	GCF_011801245.1	98.88	99.1175	0.9978	12	0.9675	0.9888
181	GCF_000526895.1__GCF_900445535.1	GCF_000526895.1	GCF_900445535.1	99.99	99.9999	0.9978	4	0.9635	0.9269
182	GCF_000723565.1__GCF_002079945.1	GCF_000723565.1	GCF_002079945.1	99.33	99.4125	0.9978	6	0.9536	0.9634
183	GCF_000803285.1__GCF_001510805.1	GCF_000803285.1	GCF_001510805.1	99.96	99.9809	0.9978	9	0.9824	0.9877
184	GCA_018814585.1__GCA_018825025.1	GCA_018814585.1	GCA_018825025.1	99.99	99.9947	0.9979	4	0.968	0.9682
185	GCF_007830535.1__GCF_007996985.1	GCF_007830535.1	GCF_007996985.1	99.99	99.998	0.9979	17	0.986	0.9862
186	GCF_009914495.1__GCF_009914515.1	GCF_009914495.1	GCF_009914515.1	99.98	99.9985	0.9979	23	0.978	0.9977
187	GCF_018847015.1__GCF_018847695.1	GCF_018847015.1	GCF_018847695.1	99.99	99.9992	0.9979	9	0.9993	0.9993
188	GCA_011772115.1__GCA_011777335.1	GCA_011772115.1	GCA_011777335.1	99.09	99.9023	0.998	17	0.933	0.9191
189	GCA_001897265.1__GCF_001423825.1	GCA_001897265.1	GCF_001423825.1	98.67	99.7764	0.998	14	0.9508	0.979
190	GCA_003712035.1__GCA_017641265.1	GCA_003712035.1	GCA_017641265.1	98.91	99.0812	0.998	15	0.9452	0.9273
191	GCF_000735425.1__GCF_902385615.1	GCF_000735425.1	GCF_902385615.1	99.99	99.9983	0.998	12	0.9823	0.9858
192	GCA_900752585.1__GCA_905197195.1	GCA_900752585.1	GCA_905197195.1	100.0	99.9993	0.9981	8	0.9425	0.9215
193	GCF_001527555.1__GCF_002223285.1	GCF_001527555.1	GCF_002223285.1	99.41	99.5453	0.9981	39	0.9528	0.9825
194	GCA_009773225.1__GCA_009773295.1	GCA_009773225.1	GCA_009773295.1	99.96	99.9995	0.9981	11	0.9402	0.9715
195	GCA_018653505.1__GCA_018697795.1	GCA_018653505.1	GCA_018697795.1	99.96	99.9758	0.9981	7	0.946	0.9274
196	GCF_000963495.1__GCF_016134935.2	GCF_000963495.1	GCF_016134935.2	99.48	99.5925	0.9981	22	0.9438	0.9519
197	GCF_003343265.1__GCF_003343285.1	GCF_003343265.1	GCF_003343285.1	99.99	99.9933	0.9981	11	0.9942	0.9942
198	GCA_903860385.1__GCA_903884195.1	GCA_903860385.1	GCA_903884195.1	99.96	99.988	0.9981	28	0.9498	0.9676
199	GCF_001888095.1__GCF_003722115.1	GCF_001888095.1	GCF_003722115.1	99.99	99.9999	0.9981	4	0.9822	0.9407
200	GCA_001783815.1__GCA_001784035.1	GCA_001783815.1	GCA_001784035.1	99.98	99.9999	0.9981	2	0.9544	0.9714
201	GCF_000773675.1__GCF_900445945.1	GCF_000773675.1	GCF_900445945.1	99.65	99.7409	0.9981	16	0.9669	0.9424
202	GCA_018670915.1__GCA_905480535.1	GCA_018670915.1	GCA_905480535.1	99.74	99.7593	0.9982	9	0.9037	0.9397
203	GCF_000958465.1__GCF_003076355.1	GCF_000958465.1	GCF_003076355.1	99.88	99.9006	0.9982	11	0.9437	0.9951
204	GCF_018709825.1__GCF_018847015.1	GCF_018709825.1	GCF_018847015.1	99.98	99.9943	0.9983	7	0.9577	0.9544
205	GCF_000510915.2__GCF_900105815.1	GCF_000510915.2	GCF_900105815.1	99.43	99.5873	0.9983	18	0.9219	0.9394
