pairid	q_acc	r_acc	anim_ani	anim_af_ref	K_est	q_contig_count	r_contig_count	q_ncbi_assembly_level	r_ncbi_assembly_level	syn2b_shared_tags	syn2b_observable_fraction	dd_major	s2b_major	dnadiff_inverted_fraction	syn2b_raw_inverted_fraction	q_species	r_species	q_genus	q_family	q_phylum	same_species	inverted
GCF_000785495.1__GCF_006538965.1	GCF_000785495.1	GCF_006538965.1	99.99	100.0	1.9911999999998908	1.0	35.0	Complete Genome	Contig	9912	0.9999	0.4891905048753505	0.4885	0.5108094951246495	0.5115	Nocardioides simplex	Nocardioides simplex	Nocardioides	Nocardioidaceae	Actinobacteriota	True	True
GCA_014133975.1__GCF_013096875.1	GCA_014133975.1	GCF_013096875.1	97.17	75.78	2.025999999999887	85.0	310.0	Scaffold	Contig	2565	0.9996	0.489151492475264	0.47368	0.489151492475264	0.47368	Geobacillus stearothermophilus	Geobacillus stearothermophilus	Geobacillus	Anoxybacillaceae	Firmicutes	True	True
GCF_003111765.1__GCF_003287775.1	GCF_003111765.1	GCF_003287775.1	99.99	99.95	2.144199999999874	1.0	87.0	Complete Genome	Scaffold	5721	0.9998	0.4884838620766279	0.49117	0.4884838620766279	0.49117	Actinomyces glycerinitolerans	Actinomyces glycerinitolerans	Actinomyces	Actinomycetaceae	Actinobacteriota	True	True
GCF_003111765.1__GCF_003287795.1	GCF_003111765.1	GCF_003287795.1	99.07	93.9	1.942399999999896	1.0	226.0	Complete Genome	Scaffold	4712	0.9998	0.4878119440221948	0.49194	0.5121880559778051	0.50806	Actinomyces glycerinitolerans	Actinomyces glycerinitolerans	Actinomyces	Actinomycetaceae	Actinobacteriota	True	True
GCF_000046685.1__GCF_000708945.1	GCF_000046685.1	GCF_000708945.1	99.82	98.03	1.974400000000073	1.0	27.0	Complete Genome	Scaffold	1624	0.9994	0.4868083961111999	0.492	0.4868083961111999	0.508	Bartonella quintana	Bartonella quintana	Bartonella	Rhizobiaceae_A	Proteobacteria	True	True
GCF_000195555.1__GCF_016604405.1	GCF_000195555.1	GCF_016604405.1	97.61	89.81	2.000799999999982	1.0	71.0	Complete Genome	Contig	834	0.9988	0.4854801274168591	0.48921	0.4854801274168591	0.48921	Francisella hispaniensis	Francisella hispaniensis	Francisella	Francisellaceae	Proteobacteria	True	True
GCF_000403375.2__GCF_900177265.1	GCF_000403375.2	GCF_900177265.1	97.84	93.86	1.0	40.0	101.0	Scaffold	Scaffold	4405	1.0	0.4840856563831436	0.49058	0.4840856563831436	0.49058	Paenibacillus_A barengoltzii	Paenibacillus_A barengoltzii	Paenibacillus_A	Paenibacillaceae	Firmicutes	True	True
GCF_000835205.1__GCF_902832905.1	GCF_000835205.1	GCF_902832905.1	99.25	92.16	2.3921999999998467	2.0	72.0	Complete Genome	Scaffold	13922	0.9999	0.4828140498621909	0.47881	0.5171859501378091	0.52119	Burkholderia plantarii	Burkholderia plantarii	Burkholderia	Burkholderiaceae	Proteobacteria	True	True
GCF_006348105.1__GCF_013363775.1	GCF_006348105.1	GCF_013363775.1	97.99	89.66	1.0	1.0	1.0	Contig	Chromosome	976	1.0	0.4822566792365632	0.48873	0.4822566792365632	0.51127	Campylobacter_D jejuni	Campylobacter_D jejuni	Campylobacter_D	Campylobacteraceae	Campylobacterota	True	True
GCA_016718615.1__GCA_018057805.1	GCA_016718615.1	GCA_018057805.1	99.8	99.1	2.778399999999804	5.0	78.0	Contig	Scaffold	5928	0.9997	0.4817288055787232	0.47874	0.5182711944212768	0.52126	PHOS-HE28 sp016704485	PHOS-HE28 sp016704485	PHOS-HE28	PHOS-HE28	Bacteroidota	True	True
GCF_000092965.1__GCF_018588165.1	GCF_000092965.1	GCF_018588165.1	97.09	82.81	2.094000000000001	1.0	142.0	Complete Genome	Scaffold	1094	0.999	0.4814790633666427	0.49543	0.5185209366333573	0.49543	Thermoanaerobacter thermocopriae	Thermoanaerobacter thermocopriae	Thermoanaerobacter	Thermoanaerobacteraceae	Firmicutes_A	True	True
GCA_003385625.1__GCA_003389245.1	GCA_003385625.1	GCA_003389245.1	99.99	100.0	2.2833999999998587	5.0	5.0	Contig	Contig	6417	0.9998	0.4795093753698837	0.47296	0.4795093753698837	0.47296	QQUY01 sp003385635	QQUY01 sp003385635	QQUY01	Pyrinomonadaceae	Acidobacteriota	True	True
GCA_015256235.1__GCA_905365325.1	GCA_015256235.1	GCA_905365325.1	98.61	93.87	2.2977000000000087	28.0	169.0	Contig	Contig	683	0.9981	0.4791921548586551	0.45827	0.5208078451413449	0.54173	Eubacterium_M brachy	Eubacterium_M brachy	Eubacterium_M	Anaerovoracaceae	Firmicutes_A	True	True
GCF_000046685.1__GCF_000708905.1	GCF_000046685.1	GCF_000708905.1	99.81	98.43	1.973800000000073	1.0	23.0	Complete Genome	Scaffold	1623	0.9994	0.4782599508763123	0.47197	0.5217400491236877	0.52803	Bartonella quintana	Bartonella quintana	Bartonella	Rhizobiaceae_A	Proteobacteria	True	True
GCF_002798925.1__GCF_013464125.1	GCF_002798925.1	GCF_013464125.1	99.93	96.97	1.0	7.0	68.0	Contig	Contig	10835	1.0	0.4780390684001613	0.47365	0.4780390684001613	0.47365	Stenotrophomonas maltophilia_Q	Stenotrophomonas maltophilia_Q	Stenotrophomonas	Xanthomonadaceae	Proteobacteria	True	True
GCF_000403375.2__GCF_900177285.1	GCF_000403375.2	GCF_900177285.1	97.58	90.46	1.0	40.0	108.0	Scaffold	Scaffold	4165	1.0	0.4774885723670569	0.46819	0.5225114276329431	0.53181	Paenibacillus_A barengoltzii	Paenibacillus_A barengoltzii	Paenibacillus_A	Paenibacillaceae	Firmicutes	True	True
GCA_003385575.1__GCA_003385625.1	GCA_003385575.1	GCA_003385625.1	99.99	100.0	2.2833999999998587	5.0	5.0	Scaffold	Contig	6417	0.9998	0.4770249199495445	0.47296	0.4770249199495445	0.47296	QQUY01 sp003385635	QQUY01 sp003385635	QQUY01	Pyrinomonadaceae	Acidobacteriota	True	True
GCA_001430845.1__GCA_003500185.1	GCA_001430845.1	GCA_003500185.1	99.97	99.06	1.0	1.0	70.0	Complete Genome	Scaffold	2314	1.0	0.4765794403614508	0.47234	0.5234205596385492	0.52766	Peribacter riflensis	Peribacter riflensis	Peribacter	Peribacteraceae	Patescibacteria	True	True
GCA_003150015.1__GCA_018367385.1	GCA_003150015.1	GCA_018367385.1	99.81	52.07	2.065000000000001	13.0	82.0	Scaffold	Contig	1065	0.999	0.4750736242372914	0.46385	0.4750736242372914	0.46385	Fimisoma sp900542295	Fimisoma sp900542295	Fimisoma	Anaerovoracaceae	Firmicutes_A	True	True
GCF_000965155.1__GCF_003664375.1	GCF_000965155.1	GCF_003664375.1	97.53	84.85	1.0	7.0	13.0	Contig	Contig	296	1.0	0.4750198347878844	0.47635	0.5249801652121155	0.52365	Rickettsia tamurae	Rickettsia tamurae	Rickettsia	Rickettsiaceae	Proteobacteria	True	True
GCF_004364395.1__GCF_004794975.1	GCF_004364395.1	GCF_004794975.1	98.91	84.81	1.0	4.0	110.0	Contig	Contig	10272	1.0	0.4749222141366298	0.47858	0.5250777858633702	0.52142	Streptomyces katrae_B	Streptomyces katrae_B	Streptomyces	Streptomycetaceae	Actinobacteriota	True	True
GCF_900475945.1__GCF_900625055.1	GCF_900475945.1	GCF_900625055.1	99.99	99.98	2.0055999999998892	1.0	55.0	Complete Genome	Contig	10056	0.9999	0.4740098313990889	0.46828	0.5259901686009111	0.53172	Pseudomonas_E mucidolens	Pseudomonas_E mucidolens	Pseudomonas_E	Pseudomonadaceae	Proteobacteria	True	True
GCF_004684865.1__GCF_004745855.1	GCF_004684865.1	GCF_004745855.1	97.9	83.95	2.05929999999999	22.0	63.0	Scaffold	Scaffold	963	0.9989	0.4738332280686423	0.47871	0.4738332280686423	0.47871	Staphylococcus petrasii	Staphylococcus petrasii	Staphylococcus	Staphylococcaceae	Firmicutes	True	True
GCF_003385915.1__GCF_006539845.1	GCF_003385915.1	GCF_006539845.1	100.0	99.99	2.807399999999801	74.0	158.0	Scaffold	Contig	9037	0.9998	0.4724075723714552	0.46321	0.5275924276285447	0.53679	Brevibacillus brevis	Brevibacillus brevis	Brevibacillus	Brevibacillaceae	Firmicutes	True	True
GCF_001294605.1__GCF_017615005.1	GCF_001294605.1	GCF_017615005.1	97.55	87.89	2.116599999999877	1.0	214.0	Complete Genome	Contig	5583	0.9998	0.4721653885771161	0.48075	0.5278346114228839	0.51925	Pseudonocardia alni	Pseudonocardia alni	Pseudonocardia	Pseudonocardiaceae	Actinobacteriota	True	True
GCF_000686105.1__GCF_900096675.1	GCF_000686105.1	GCF_900096675.1	99.01	89.82	1.0	4.0	160.0	Contig	Contig	4537	1.0	0.4718295989260515	0.45008	0.4718295989260515	0.45008	Robinsoniella peoriensis	Robinsoniella peoriensis	Robinsoniella	Lachnospiraceae	Firmicutes_A	True	True
GCF_008586805.1__GCF_900408065.1	GCF_008586805.1	GCF_900408065.1	97.29	88.97	1.0	1.0	113.0	Complete Genome	Contig	841	1.0	0.4700082315431261	0.44114	0.5299917684568739	0.55886	Haemophilus aegyptius	Haemophilus aegyptius	Haemophilus	Pasteurellaceae	Proteobacteria	True	True
GCF_000597945.1__GCF_902170435.1	GCF_000597945.1	GCF_902170435.1	98.92	87.51	2.0319999999998863	3.0	134.0	Complete Genome	Contig	3440	0.9997	0.4695613202560091	0.4686	0.4695613202560091	0.4686	Yersinia hibernica	Yersinia hibernica	Yersinia	Enterobacteriaceae	Proteobacteria	True	True
GCF_018618605.1__GCF_018618655.1	GCF_018618605.1	GCF_018618655.1	99.13	96.27	1.9467999999998955	27.0	34.0	Scaffold	Scaffold	3156	0.9997	0.4694144303912497	0.46926	0.5305855696087503	0.53074	Exiguobacterium_A oxidotolerans	Exiguobacterium_A oxidotolerans	Exiguobacterium_A	Exiguobacteraceae	Firmicutes	True	True
GCF_000210615.1__GCF_015547135.1	GCF_000210615.1	GCF_015547135.1	98.65	59.3	1.0	364.0	70.0	Chromosome	Scaffold	906	1.0	0.4691366350437972	0.4702	0.5308633649562028	0.5298	Faecalitalea cylindroides	Faecalitalea cylindroides	Faecalitalea	Erysipelotrichaceae	Firmicutes	True	True
GCF_000820525.2__GCF_016082235.1	GCF_000820525.2	GCF_016082235.1	99.2	91.81	2.212400000000011	8.0	144.0	Scaffold	Scaffold	433	0.9972	0.4687934478046685	0.48961	0.4687934478046685	0.51039	Spiroplasma poulsonii	Spiroplasma poulsonii	Spiroplasma	Mycoplasmataceae	Firmicutes	True	True
GCF_001660045.1__GCF_009870095.1	GCF_001660045.1	GCF_009870095.1	99.34	94.2	1.0	2.0	620.0	Complete Genome	Contig	10042	1.0	0.4677290419743071	0.46435	0.4677290419743071	0.46435	Streptomyces parvulus	Streptomyces parvulus	Streptomyces	Streptomycetaceae	Actinobacteriota	True	True
GCF_000010605.1__GCF_009862415.1	GCF_000010605.1	GCF_009862415.1	99.09	92.08	1.0	1.0	55.0	Complete Genome	Scaffold	9891	1.0	0.4667067197143686	0.45728	0.5332932802856314	0.54272	Streptomyces griseus	Streptomyces griseus	Streptomyces	Streptomycetaceae	Actinobacteriota	True	True
GCF_003124105.1__GCF_016082235.1	GCF_003124105.1	GCF_016082235.1	99.18	91.81	1.0	2.0	144.0	Contig	Scaffold	434	1.0	0.4658008613371004	0.49539	0.4658008613371004	0.50461	Spiroplasma poulsonii	Spiroplasma poulsonii	Spiroplasma	Mycoplasmataceae	Firmicutes	True	True
GCF_014893095.1__GCF_016106885.1	GCF_014893095.1	GCF_016106885.1	97.4	85.97	2.072799999999882	1.0	268.0	Complete Genome	Contig	3576	0.9997	0.4647052583359452	0.46197	0.5352947416640548	0.53803	Dickeya dianthicola	Dickeya dianthicola	Dickeya	Enterobacteriaceae	Proteobacteria	True	True
GCF_000785495.1__GCF_008933125.1	GCF_000785495.1	GCF_008933125.1	97.51	88.58	2.0949999999998794	1.0	22.0	Complete Genome	Contig	5475	0.9998	0.4642965686916264	0.46356	0.5357034313083736	0.53644	Nocardioides simplex	Nocardioides simplex	Nocardioides	Nocardioidaceae	Actinobacteriota	True	True
GCF_000744755.1__GCF_001587475.1	GCF_000744755.1	GCF_001587475.1	99.19	94.43	1.872799999999904	2.0	229.0	Contig	Scaffold	4364	0.9998	0.463460776903856	0.45234	0.463460776903856	0.45234	Geobacillus icigianus	Geobacillus icigianus	Geobacillus	Anoxybacillaceae	Firmicutes	True	True
GCF_002250075.1__GCF_002701205.1	GCF_002250075.1	GCF_002701205.1	98.7	89.61	2.0746000000000806	1.0	73.0	Complete Genome	Contig	1791	0.9994	0.4627510907669832	0.43104	0.5372489092330168	0.56896	Thermoanaerobacterium thermosaccharolyticum	Thermoanaerobacterium thermosaccharolyticum	Thermoanaerobacterium	Thermoanaerobacteraceae	Firmicutes_A	True	True
GCF_002813835.1__GCF_008107465.1	GCF_002813835.1	GCF_008107465.1	98.91	83.37	1.0	5.0	124.0	Chromosome	Contig	3172	1.0	0.4619809360961745	0.45744	0.5380190639038255	0.54256	Vibrio anguillarum	Vibrio anguillarum	Vibrio	Vibrionaceae	Proteobacteria	True	True
GCA_002169235.1__GCA_905479245.1	GCA_002169235.1	GCA_905479245.1	97.2	31.49	2.302399999999988	16.0	253.0	Contig	Contig	296	0.9956	0.4612293647489019	0.4527	0.4612293647489019	0.4527	UBA1275 sp002457365	UBA1275 sp002457365	UBA1275	Balneolaceae	Bacteroidota	True	True
GCF_000158315.2__GCF_003463295.1	GCF_000158315.2	GCF_003463295.1	98.77	85.92	1.0	49.0	123.0	Scaffold	Scaffold	2021	1.0	0.4611859548898598	0.47254	0.5388140451101402	0.52746	Fusobacterium_A ulcerans	Fusobacterium_A ulcerans	Fusobacterium_A	Fusobacteriaceae	Fusobacteriota	True	True
GCF_000597945.1__GCF_002188895.1	GCF_000597945.1	GCF_002188895.1	99.83	88.25	1.8645999999999048	3.0	128.0	Complete Genome	Scaffold	4323	0.9998	0.4607541652345069	0.46172	0.539245834765493	0.53828	Yersinia hibernica	Yersinia hibernica	Yersinia	Enterobacteriaceae	Proteobacteria	True	True
GCF_003363675.2__GCF_003436685.1	GCF_003363675.2	GCF_003436685.1	98.76	82.2	1.916799999999899	1.0	63.0	Complete Genome	Scaffold	4584	0.9998	0.4601584276722256	0.4555	0.5398415723277744	0.5445	Bacteroides intestinalis	Bacteroides intestinalis	Bacteroides	Bacteroidaceae	Bacteroidota	True	True
GCF_013294265.1__GCF_014230485.1	GCF_013294265.1	GCF_014230485.1	99.74	97.68	2.053999999999884	1.0	69.0	Contig	Contig	2635	0.9996	0.459835221180205	0.45123	0.540164778819795	0.54877	Clostridium_AO tetanomorphum	Clostridium_AO tetanomorphum	Clostridium_AO	Clostridiaceae	Firmicutes_A	True	True
GCA_002323055.1__GCA_002792255.1	GCA_002323055.1	GCA_002792255.1	99.98	96.92	2.0208000000000292	13.0	27.0	Scaffold	Scaffold	638	0.9984	0.4590948792207827	0.47179	0.4590948792207827	0.47179	UBA1547 sp001873625	UBA1547 sp001873625	UBA1547	UBA1547	Patescibacteria	True	True
GCF_000195555.1__GCF_001608445.1	GCF_000195555.1	GCF_001608445.1	98.01	92.58	1.0	1.0	95.0	Complete Genome	Contig	898	1.0	0.4588551086088493	0.42094	0.5411448913911506	0.57906	Francisella hispaniensis	Francisella hispaniensis	Francisella	Francisellaceae	Proteobacteria	True	True
GCF_002893785.1__GCF_009647615.1	GCF_002893785.1	GCF_009647615.1	98.19	92.12	2.035999999999886	1.0	234.0	Complete Genome	Contig	2590	0.9996	0.4584321317691114	0.47761	0.4584321317691114	0.47761	Laceyella sediminis	Laceyella sediminis	Laceyella	Thermoactinomycetaceae	Firmicutes	True	True
GCF_018618015.1__GCF_018618055.1	GCF_018618015.1	GCF_018618055.1	99.99	99.99	1.827199999999909	34.0	36.0	Scaffold	Scaffold	4136	0.9998	0.4578132955779292	0.43641	0.4578132955779292	0.43641	Exiguobacterium mexicanum	Exiguobacterium mexicanum	Exiguobacterium	Exiguobacteraceae	Firmicutes	True	True
GCF_000291475.1__GCF_004306995.1	GCF_000291475.1	GCF_004306995.1	97.62	86.13	1.0	71.0	66.0	Scaffold	Scaffold	2827	1.0	0.457117650049239	0.49416	0.542882349950761	0.50584	Bacillus_A nitratireducens	Bacillus_A nitratireducens	Bacillus_A	Bacillaceae_G	Firmicutes	True	True
GCA_016703055.1__GCA_017994455.1	GCA_016703055.1	GCA_017994455.1	98.77	96.56	1.0	5.0	200.0	Contig	Scaffold	3336	1.0	0.4570106740069872	0.46013	0.4570106740069872	0.46013	UBA10438 sp002426145	UBA10438 sp002426145	UBA10438	Kapabacteriaceae	Bacteroidota	True	True
GCA_017455865.1__GCA_017505365.1	GCA_017455865.1	GCA_017505365.1	98.47	89.1	2.065600000000014	6.0	53.0	Contig	Contig	592	0.9982	0.4560960778760207	0.41216	0.5439039221239793	0.58784	Enterousia sp015062495	Enterousia sp015062495	Enterousia	Rs-D84	Proteobacteria	True	True
GCA_018814845.1__GCA_018815065.1	GCA_018814845.1	GCA_018815065.1	99.96	99.4	1.8118999999999104	19.0	128.0	Contig	Contig	8119	0.9999	0.4560203305211617	0.45646	0.5439796694788382	0.54354	Oceanibaculum sp018823745	Oceanibaculum sp018823745	Oceanibaculum	Oceanibaculaceae	Proteobacteria	True	True
GCF_009176685.1__GCF_018130425.1	GCF_009176685.1	GCF_018130425.1	99.12	85.75	2.4080999999998447	1.0	100.0	Complete Genome	Contig	14081	0.9999	0.4537632236789487	0.44841	0.4537632236789487	0.44841	Bradyrhizobium ottawaense	Bradyrhizobium ottawaense	Bradyrhizobium	Xanthobacteraceae	Proteobacteria	True	True
GCA_007833955.1__GCF_000513535.1	GCA_007833955.1	GCF_000513535.1	98.78	95.94	1.898999999999901	3.0	103.0	Complete Genome	Contig	4495	0.9998	0.4523086877368016	0.45072	0.5476913122631983	0.54928	Planococcus glaciei	Planococcus glaciei	Planococcus	Planococcaceae	Firmicutes	True	True
GCF_003950055.1__GCF_004522685.1	GCF_003950055.1	GCF_004522685.1	99.12	90.52	1.0	1.0	63.0	Complete Genome	Scaffold	10647	1.0	0.4520708093155512	0.45139	0.5479291906844488	0.54861	Streptomyces sp000772045	Streptomyces sp000772045	Streptomyces	Streptomycetaceae	Actinobacteriota	True	True
GCF_001447335.1__GCF_001481395.1	GCF_001447335.1	GCF_001481395.1	98.94	92.2	2.036199999999886	1.0	69.0	Complete Genome	Scaffold	5181	0.9998	0.4517052844650818	0.45107	0.4517052844650818	0.45107	Aeromonas schubertii	Aeromonas schubertii	Aeromonas	Aeromonadaceae	Proteobacteria	True	True
GCF_004564155.1__GCF_900640145.1	GCF_004564155.1	GCF_900640145.1	98.7	87.66	1.9669999999998935	1.0	178.0	Complete Genome	Contig	1934	0.9995	0.4495730687938655	0.45553	0.5504269312061345	0.54447	Legionella_D israelensis	Legionella_D israelensis	Legionella_D	Legionellaceae	Proteobacteria	True	True
GCF_000394035.1__GCF_001886115.1	GCF_000394035.1	GCF_001886115.1	99.99	99.98	1.0	25.0	80.0	Scaffold	Scaffold	3200	1.0	0.4488290634322606	0.44125	0.4488290634322606	0.44125	Enterococcus_B phoeniculicola	Enterococcus_B phoeniculicola	Enterococcus_B	Enterococcaceae	Firmicutes	True	True
GCF_002368255.1__GCF_014697225.1	GCF_002368255.1	GCF_014697225.1	99.99	99.32	1.0	4.0	72.0	Complete Genome	Contig	9942	1.0	0.4486638957162556	0.45001	0.4486638957162556	0.45001	Leptolyngbya boryana	Leptolyngbya boryana	Leptolyngbya	Leptolyngbyaceae	Cyanobacteria	True	True
GCF_000317975.2__GCF_900005785.1	GCF_000317975.2	GCF_900005785.1	98.93	89.31	2.1034000000000828	1.0	160.0	Complete Genome	Contig	1839	0.9994	0.4471624007227722	0.44589	0.5528375992772278	0.55411	Carnobacterium maltaromaticum	Carnobacterium maltaromaticum	Carnobacterium	Carnobacteriaceae	Firmicutes	True	True
GCF_002078255.1__GCF_003041555.1	GCF_002078255.1	GCF_003041555.1	97.95	92.33	1.0	1.0	142.0	Complete Genome	Contig	962	1.0	0.4470756099374203	0.45218	0.5529243900625797	0.54782	Staphylococcus xylosus	Staphylococcus xylosus	Staphylococcus	Staphylococcaceae	Firmicutes	True	True
GCF_900177895.1__GCF_900182485.2	GCF_900177895.1	GCF_900182485.2	98.52	94.1	1.993300000000048	50.0	108.0	Scaffold	Contig	1419	0.9993	0.4464986309078314	0.45314	0.5535013690921686	0.54686	Kingella negevensis	Kingella negevensis	Kingella	Neisseriaceae	Proteobacteria	True	True
GCF_002334685.1__GCF_900119095.1	GCF_002334685.1	GCF_900119095.1	99.99	99.97	1.9853999999998917	1.0	144.0	Complete Genome	Scaffold	4927	0.9998	0.4462941591510392	0.44266	0.5537058408489608	0.55734	Desulfovibrio desulfuricans_A	Desulfovibrio desulfuricans_A	Desulfovibrio	Desulfovibrionaceae	Desulfobacterota_I	True	True
GCA_015256235.1__GCA_905373685.1	GCA_015256235.1	GCA_905373685.1	99.01	83.4	1.0	28.0	194.0	Contig	Contig	520	1.0	0.4445962684988445	0.46731	0.5554037315011555	0.53269	Eubacterium_M brachy	Eubacterium_M brachy	Eubacterium_M	Anaerovoracaceae	Firmicutes_A	True	True
GCA_900544035.1__GCA_905210325.1	GCA_900544035.1	GCA_905210325.1	97.28	93.52	2.4313999999999827	24.0	182.0	Contig	Contig	421	0.9966	0.4438197780730746	0.45131	0.4438197780730746	0.45131	CAG-605 sp000433255	CAG-605 sp000433255	CAG-605	UBA660	Firmicutes	True	True
