pairid	syn2b_raw_inverted_fraction	syn2b_inverted_fraction	syn2b_breakpoints	syn2b_breakpoint_density	syn2b_scj_distance	syn2b_scj_corrected	syn2b_shared_tags	syn2b_observable_fraction	q_species	r_species	same_species
GCF_003319235.1__GCF_902172305.2	1.0	0.0	3.0	0.00029	12.0	12.0	10269.0	1.0			
GCF_000188955.2__GCF_002761355.1	1.0	0.0	0.0	0.0	6.0	6.0	4475.0	1.0			
GCF_003319235.1__GCF_900636975.1	1.0	0.0	0.0	0.0	12.0	12.0	9104.0	1.0			
GCF_000188955.2__GCF_002946375.1	1.0	0.0	0.0	0.0	6.0	6.0	3563.0	1.0			
GCF_000188955.2__GCF_003031835.1	1.0	0.0	0.0	0.0	6.0	6.0	3511.0	1.0			
GCF_000188955.2__GCF_003031855.1	1.0	0.0	5.0	0.00139	16.0	16.0	3594.0	1.0			
GCF_000188955.2__GCF_003547975.1	1.0	0.0	0.0	0.0	12.0	12.0	3567.0	1.0			
GCF_000188955.2__GCF_003548295.1	1.0	0.0	0.0	0.0	6.0	6.0	3568.0	1.0			
GCF_000188955.2__GCF_003548335.1	1.0	0.0	3.0	0.00084	12.0	12.0	3568.0	1.0			
GCF_000188955.2__GCF_003548395.1	1.0	0.0	0.0	0.0	12.0	12.0	3567.0	1.0			
GCF_000188955.2__GCF_003548565.1	1.0	0.0	0.0	0.0	12.0	12.0	3569.0	1.0			
GCF_000188955.2__GCF_003549665.1	1.0	0.0	3.0	0.00084	18.0	18.0	3569.0	1.0			
GCF_003319235.1__GCF_900149285.1	1.0	0.0	3.0	0.00029	6.0	6.0	10408.0	1.0			
GCF_003319235.1__GCF_900070375.1	1.0	0.0	0.0	0.0	0.0	0.0	10272.0	1.0			
GCF_000188955.2__GCF_001890445.1	1.0	0.0	0.0	0.0	0.0	0.0	3490.0	1.0			
GCF_000188955.2__GCF_001620225.1	1.0	0.0	0.0	0.0	0.0	0.0	3474.0	1.0			
GCF_001482325.1__GCF_006364735.1	1.0	0.0	0.0	0.0	14.0	14.0	10279.0	1.0			
GCF_000188955.2__GCF_000483715.2	1.0	0.0	2.0	0.00058	10.0	10.0	3474.0	1.0			
GCF_000211015.1__GCF_003351525.1	1.0	0.0	0.0	0.0	6.0	6.0	1720.0	1.0			
GCF_002946375.1__GCF_009729935.1	1.0	0.0	0.0	0.0	6.0	6.0	3525.0	1.0			
GCF_002946375.1__GCF_004564195.1	1.0	0.0	0.0	0.0	16.0	16.0	3789.0	1.0			
GCF_000009505.1__GCF_008369645.1	1.0	0.0	0.0	0.0	0.0	0.0	5309.0	1.0			
GCF_001985985.1__GCF_016903095.1	1.0	0.0	0.0	0.0	0.0	0.0	6990.0	1.0			
GCF_000750475.1__GCF_008369645.1	1.0	0.0	0.0	0.0	0.0	0.0	5258.0	1.0			
GCF_000011885.1__GCF_000486725.2	1.0	0.0	0.0	0.0	6.0	6.0	5061.0	1.0			
GCF_000011885.1__GCF_000818115.1	1.0	0.0	0.0	0.0	0.0	0.0	5153.0	1.0			
GCF_002946375.1__GCF_003549275.1	1.0	0.0	0.0	0.0	0.0	0.0	5471.0	1.0			
GCF_002946375.1__GCF_003548545.1	1.0	0.0	0.0	0.0	6.0	6.0	5471.0	1.0			
GCF_000623295.1__GCF_008369645.1	1.0	0.0	0.0	0.0	0.0	0.0	5256.0	1.0			
GCF_000026565.1__GCF_000486725.2	1.0	0.0	0.0	0.0	6.0	6.0	5058.0	1.0			
GCF_002900325.1__GCF_014840915.2	1.0	0.0	0.0	0.0	6.0	6.0	3792.0	1.0			
GCF_000026565.1__GCF_000818115.1	1.0	0.0	0.0	0.0	0.0	0.0	5151.0	1.0			
GCF_002442855.1__GCF_013376775.1	1.0	0.0	3.0	0.00029	12.0	12.0	10375.0	1.0			
GCF_002900325.1__GCF_013161625.1	1.0	0.0	3.0	0.00146	34.0	34.0	2059.0	1.0			
GCF_000211055.1__GCF_003351525.1	1.0	0.0	0.0	0.0	6.0	6.0	1718.0	1.0			
GCF_002900325.1__GCF_003549275.1	1.0	0.0	0.0	0.0	30.0	30.0	3880.0	1.0			
GCF_000188955.2__GCF_003641285.1	1.0	0.0	0.0	0.0	6.0	6.0	4487.0	1.0			
GCF_000188955.2__GCF_003710205.1	1.0	0.0	0.0	0.0	0.0	0.0	3566.0	1.0			
GCF_000188955.2__GCF_003864055.1	1.0	0.0	2.0	0.00057	4.0	4.0	3535.0	1.0			
GCF_002761435.1__GCF_004564195.1	1.0	0.0	0.0	0.0	12.0	12.0	3482.0	1.0			
GCF_002753655.1__GCF_003319235.1	1.0	0.0	18.0	0.00208	40.0	40.0	8653.0	1.0			
GCF_002761435.1__GCF_003177255.1	1.0	0.0	3.0	0.00085	6.0	6.0	3518.0	1.0			
GCF_002761415.1__GCF_014840915.2	1.0	0.0	0.0	0.0	12.0	12.0	3502.0	1.0			
GCF_002761415.1__GCF_009729935.1	1.0	0.0	0.0	0.0	12.0	12.0	4072.0	1.0			
GCF_002761415.1__GCF_008244845.1	1.0	0.0	6.0	0.00172	22.0	22.0	3491.0	1.0			
GCF_002761415.1__GCF_008244825.1	1.0	0.0	6.0	0.00172	22.0	22.0	3488.0	1.0			
GCF_002761415.1__GCF_008244785.1	1.0	0.0	6.0	0.00172	22.0	22.0	3488.0	1.0			
GCF_002761415.1__GCF_004564195.1	1.0	0.0	3.0	0.00085	24.0	24.0	3517.0	1.0			
GCF_000271885.2__GCF_001305835.1	1.0	0.0	0.0	0.0	0.0	0.0	4085.0	1.0			
GCF_003319235.1__GCF_013305765.1	1.0	0.0	0.0	0.0	0.0	0.0	10268.0	1.0			
GCF_003319235.1__GCF_012935295.1	1.0	0.0	2.0	0.00019	4.0	4.0	10370.0	1.0			
GCF_000623195.2__GCF_008369645.1	1.0	0.0	0.0	0.0	0.0	0.0	5258.0	1.0			
GCF_003319235.1__GCF_009867055.1	1.0	0.0	6.0	0.00058	18.0	18.0	10362.0	1.0			
GCF_003319235.1__GCF_009676885.1	1.0	0.0	6.0	0.00047	12.0	12.0	12683.0	1.0			
GCF_002753655.1__GCF_006364735.1	1.0	0.0	0.0	0.0	6.0	6.0	8631.0	1.0			
GCF_000271905.2__GCF_000272815.2	1.0	0.0	0.0	0.0	6.0	6.0	4109.0	1.0			
GCF_002761435.1__GCF_004919205.1	1.0	0.0	3.0	0.00085	6.0	6.0	3518.0	1.0			
GCF_002761435.1__GCF_004941405.1	1.0	0.0	3.0	0.00085	6.0	6.0	3518.0	1.0			
GCF_000188955.2__GCF_016454185.1	1.0	0.0	3.0	0.00086	6.0	6.0	3469.0	1.0			
GCF_000188955.2__GCF_013358425.1	1.0	0.0	0.0	0.0	0.0	0.0	3516.0	1.0			
GCF_000188955.2__GCF_004328765.1	1.0	0.0	0.0	0.0	0.0	0.0	4087.0	1.0			
GCF_003319235.1__GCF_018279265.1	1.0	0.0	12.0	0.00131	32.0	32.0	9188.0	1.0			
GCF_000188955.2__GCF_007431545.1	1.0	0.0	2.0	0.00056	10.0	10.0	3587.0	1.0			
GCF_000188955.2__GCF_009729895.1	1.0	0.0	0.0	0.0	6.0	6.0	4192.0	1.0			
GCF_002777175.1__GCF_009729935.1	1.0	0.0	2.0	0.00057	16.0	16.0	3480.0	1.0			
GCF_000188955.2__GCF_011465695.1	1.0	0.0	0.0	0.0	0.0	0.0	3509.0	1.0			
GCF_000188955.2__GCF_011465815.1	1.0	0.0	0.0	0.0	0.0	0.0	3510.0	1.0			
GCF_003319235.1__GCF_016107485.1	1.0	0.0	0.0	0.0	0.0	0.0	10271.0	1.0			
GCF_002761435.1__GCF_006874805.1	1.0	0.0	3.0	0.00085	6.0	6.0	3518.0	1.0			
GCF_000188955.2__GCF_015052745.1	1.0	0.0	3.0	0.00086	18.0	18.0	3508.0	1.0			
GCF_002761435.1__GCF_014840915.2	1.0	0.0	0.0	0.0	6.0	6.0	3515.0	1.0			
GCF_002761435.1__GCF_014334155.1	1.0	0.0	0.0	0.0	6.0	6.0	3510.0	1.0			
GCF_002761435.1__GCF_009756475.1	1.0	0.0	3.0	0.00085	6.0	6.0	3518.0	1.0			
GCF_002761435.1__GCF_008244845.1	1.0	0.0	3.0	0.00086	6.0	6.0	3498.0	1.0			
GCF_002761435.1__GCF_008244825.1	1.0	0.0	3.0	0.00086	6.0	6.0	3495.0	1.0			
GCF_002761435.1__GCF_008244785.1	1.0	0.0	3.0	0.00086	6.0	6.0	3495.0	1.0			
GCF_001975645.1__GCF_011465815.1	1.0	0.0	0.0	0.0	6.0	6.0	4065.0	1.0			
GCF_003351525.1__GCF_003966485.1	1.0	0.0	0.0	0.0	10.0	10.0	1710.0	1.0			
GCF_001516245.2__GCF_002237425.1	1.0	0.0	10.0	0.00108	30.0	30.0	9235.0	1.0			
GCF_000524595.1__GCF_900149285.1	1.0	0.0	3.0	0.00029	18.0	18.0	10485.0	1.0			
GCF_000940935.2__GCF_001975645.1	1.0	0.0	0.0	0.0	0.0	0.0	4047.0	1.0			
GCF_000524595.1__GCF_015697665.1	1.0	0.0	8.0	0.00078	16.0	16.0	10205.0	1.0			
GCF_000524595.1__GCF_014854655.1	1.0	0.0	1.0	0.0001	10.0	10.0	10206.0	1.0			
GCF_001975325.1__GCF_009729935.1	1.0	0.0	2.0	0.00058	10.0	10.0	3458.0	1.0			
GCF_000524595.1__GCF_013343575.1	1.0	0.0	5.0	0.00048	16.0	16.0	10418.0	1.0			
GCF_003966525.1__GCF_015838875.1	1.0	0.0	0.0	0.0	20.0	20.0	1716.0	1.0			
GCF_000524595.1__GCF_013343475.1	1.0	0.0	2.0	0.00019	8.0	8.0	10425.0	1.0			
GCF_000940935.2__GCF_014840915.2	1.0	0.0	0.0	0.0	0.0	0.0	3776.0	1.0			
GCF_000524595.1__GCF_012935295.1	1.0	0.0	5.0	0.00048	34.0	34.0	10370.0	1.0			
GCF_000494385.3__GCF_006165245.1	1.0	0.0	0.0	0.0	0.0	0.0	5371.0	1.0			
GCF_000494385.3__GCF_006165225.1	1.0	0.0	0.0	0.0	0.0	0.0	5371.0	1.0			
GCF_003966525.1__GCF_015839235.1	1.0	0.0	0.0	0.0	30.0	30.0	1725.0	1.0			
GCF_003966525.1__GCF_900459835.1	1.0	0.0	0.0	0.0	6.0	6.0	1791.0	1.0			
GCF_000524595.1__GCF_007559085.1	1.0	0.0	6.0	0.00058	20.0	20.0	10361.0	1.0			
GCF_003966525.1__GCF_900476455.1	1.0	0.0	3.0	0.00173	18.0	18.0	1730.0	1.0			
GCF_000494385.3__GCF_006165185.1	1.0	0.0	3.0	0.00056	6.0	6.0	5378.0	1.0			
GCF_000494385.3__GCF_006165165.1	1.0	0.0	0.0	0.0	0.0	0.0	5371.0	1.0			
GCF_000940935.2__GCF_001975305.1	1.0	0.0	0.0	0.0	0.0	0.0	5168.0	1.0			
GCF_000524595.1__GCF_902172305.2	1.0	0.0	3.0	0.00029	12.0	12.0	10486.0	1.0			
GCF_000494385.3__GCF_006165105.1	1.0	0.0	0.0	0.0	0.0	0.0	5371.0	1.0			
GCF_000524595.1__GCF_902703185.1	1.0	0.0	3.0	0.00029	32.0	32.0	10459.0	1.0			
GCF_000940895.2__GCF_001975245.1	1.0	0.0	0.0	0.0	0.0	0.0	4020.0	1.0			
GCF_000940895.2__GCF_001975385.1	1.0	0.0	0.0	0.0	0.0	0.0	3642.0	1.0			
GCF_000940895.2__GCF_001975515.1	1.0	0.0	0.0	0.0	6.0	6.0	3621.0	1.0			
GCF_000940895.2__GCF_001975625.1	1.0	0.0	0.0	0.0	6.0	6.0	3988.0	1.0			
GCF_000940895.2__GCF_001975645.1	1.0	0.0	0.0	0.0	6.0	6.0	4061.0	1.0			
GCF_000940895.2__GCF_003177255.1	1.0	0.0	2.0	0.00049	4.0	4.0	4077.0	1.0			
GCF_000940895.2__GCF_003548545.1	1.0	0.0	0.0	0.0	12.0	12.0	3832.0	1.0			
GCF_000940895.2__GCF_003549275.1	1.0	0.0	0.0	0.0	12.0	12.0	3831.0	1.0			
GCF_000940895.2__GCF_004919205.1	1.0	0.0	2.0	0.00049	4.0	4.0	4079.0	1.0			
GCF_000940895.2__GCF_004941405.1	1.0	0.0	2.0	0.00049	4.0	4.0	4079.0	1.0			
GCF_000940895.2__GCF_006874805.1	1.0	0.0	2.0	0.00049	4.0	4.0	4079.0	1.0			
GCF_000940895.2__GCF_008244785.1	1.0	0.0	2.0	0.00049	4.0	4.0	4073.0	1.0			
GCF_000940895.2__GCF_008244825.1	1.0	0.0	2.0	0.00049	4.0	4.0	4073.0	1.0			
GCF_000940895.2__GCF_008244845.1	1.0	0.0	2.0	0.00049	4.0	4.0	4075.0	1.0			
GCF_000940895.2__GCF_009729935.1	1.0	0.0	2.0	0.00058	10.0	10.0	3475.0	1.0			
GCF_000940895.2__GCF_009756475.1	1.0	0.0	2.0	0.00049	4.0	4.0	4079.0	1.0			
GCF_000940895.2__GCF_014334155.1	1.0	0.0	2.0	0.00049	4.0	4.0	4079.0	1.0			
GCF_000494385.3__GCF_006165125.1	1.0	0.0	0.0	0.0	0.0	0.0	5377.0	1.0			
GCF_000524595.1__GCF_003429185.1	1.0	0.0	10.0	0.00096	48.0	48.0	10390.0	1.0			
GCF_003351525.1__GCF_003966505.1	1.0	0.0	3.0	0.00173	18.0	18.0	1730.0	1.0			
GCF_001975245.1__GCF_016025395.1	1.0	0.0	0.0	0.0	6.0	6.0	3787.0	1.0			
GCF_000524595.1__GCF_001516245.2	1.0	0.0	3.0	0.00029	20.0	20.0	10284.0	1.0			
GCF_008253725.1__GCF_900476455.1	1.0	0.0	0.0	0.0	20.0	20.0	1716.0	1.0			
GCF_001975245.1__GCF_011466595.1	1.0	0.0	0.0	0.0	0.0	0.0	4021.0	1.0			
GCF_000524595.1__GCF_001482325.1	1.0	0.0	6.0	0.00058	42.0	42.0	10275.0	1.0			
GCF_001975245.1__GCF_009184685.1	1.0	0.0	0.0	0.0	6.0	6.0	3475.0	1.0			
GCF_001975245.1__GCF_007431545.1	1.0	0.0	2.0	0.00053	22.0	22.0	3743.0	1.0			
GCF_000484195.3__GCF_006165225.1	1.0	0.0	0.0	0.0	0.0	0.0	5371.0	1.0			
GCF_000484195.3__GCF_006165245.1	1.0	0.0	0.0	0.0	0.0	0.0	5371.0	1.0			
GCF_000524595.1__GCF_000981825.1	1.0	0.0	6.0	0.00059	16.0	16.0	10144.0	1.0			
GCF_011694695.1__GCF_900459835.1	1.0	0.0	0.0	0.0	24.0	24.0	1719.0	1.0			
GCF_001975245.1__GCF_003864055.1	1.0	0.0	2.0	0.00054	22.0	22.0	3737.0	1.0			
GCF_001975245.1__GCF_003073515.1	1.0	0.0	3.0	0.00078	24.0	24.0	3833.0	1.0			
GCF_001975245.1__GCF_003031855.1	1.0	0.0	2.0	0.00053	22.0	22.0	3744.0	1.0			
GCF_001975245.1__GCF_002119485.1	1.0	0.0	3.0	0.00073	18.0	18.0	4106.0	1.0			
GCF_001975245.1__GCF_002094915.1	1.0	0.0	0.0	0.0	16.0	16.0	3456.0	1.0			
GCF_015838875.1__GCF_015839575.1	1.0	0.0	0.0	0.0	0.0	0.0	2231.0	1.0			
GCF_001975245.1__GCF_001975325.1	1.0	0.0	4.0	0.00107	26.0	26.0	3736.0	1.0			
GCF_000524595.1__GCF_001516265.1	1.0	0.0	13.0	0.00127	70.0	70.0	10208.0	1.0			
GCF_000524595.1__GCF_001516325.2	1.0	0.0	3.0	0.00029	12.0	12.0	10460.0	1.0			
GCF_000524595.1__GCF_003369755.1	1.0	0.0	10.0	0.00099	38.0	38.0	10060.0	1.0			
GCF_000484195.3__GCF_006165185.1	1.0	0.0	3.0	0.00056	6.0	6.0	5378.0	1.0			
GCF_001975305.1__GCF_015697765.1	1.0	0.0	0.0	0.0	0.0	0.0	3684.0	1.0			
GCF_001975305.1__GCF_011466595.1	1.0	0.0	3.0	0.00074	6.0	6.0	4036.0	1.0			
GCF_000524595.1__GCF_003194245.1	1.0	0.0	3.0	0.00029	12.0	12.0	10485.0	1.0			
GCF_000524595.1__GCF_003073795.1	1.0	0.0	3.0	0.00029	18.0	18.0	10479.0	1.0			
GCF_000524595.1__GCF_003052005.2	1.0	0.0	6.0	0.00059	12.0	12.0	10198.0	1.0			
GCF_000524595.1__GCF_002946935.1	1.0	0.0	8.0	0.0008	16.0	16.0	9966.0	1.0			
GCF_000524595.1__GCF_002753655.1	1.0	0.0	7.0	0.00081	20.0	20.0	8632.0	1.0			
GCF_000524595.1__GCF_002411865.3	1.0	0.0	4.0	0.00039	22.0	22.0	10247.0	1.0			
GCF_000484195.3__GCF_006165105.1	1.0	0.0	0.0	0.0	0.0	0.0	5371.0	1.0			
GCF_003994915.1__GCF_900459835.1	1.0	0.0	0.0	0.0	12.0	12.0	1678.0	1.0			
GCF_000484195.3__GCF_006165125.1	1.0	0.0	0.0	0.0	0.0	0.0	5377.0	1.0			
GCF_003994915.1__GCF_900476455.1	1.0	0.0	0.0	0.0	14.0	14.0	1681.0	1.0			
GCF_001975305.1__GCF_009184685.1	1.0	0.0	0.0	0.0	0.0	0.0	3454.0	1.0			
GCF_000484195.3__GCF_006165165.1	1.0	0.0	0.0	0.0	0.0	0.0	5371.0	1.0			
GCF_001975305.1__GCF_002946375.1	1.0	0.0	0.0	0.0	18.0	18.0	3835.0	1.0			
GCF_000524595.1__GCF_001548335.1	1.0	0.0	6.0	0.00066	24.0	24.0	9135.0	1.0			
GCF_000524595.1__GCF_001518975.1	1.0	0.0	6.0	0.00058	28.0	28.0	10327.0	1.0			
GCF_000483715.2__GCF_014840915.2	1.0	0.0	0.0	0.0	6.0	6.0	3792.0	1.0			
GCF_000483715.2__GCF_009729935.1	1.0	0.0	0.0	0.0	24.0	24.0	3491.0	1.0			
GCF_001975385.1__GCF_002761435.1	1.0	0.0	0.0	0.0	0.0	0.0	3525.0	1.0			
