query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag
NZ_CP019721.1	NZ_CACRUF010000001.1	87.3072	90.1338	0.6505	0.6469	0.21787	22	0.7726	103	2.781	0.3142	89.5418	93.6354	1.0957	0.94	AlfI:90.58,AloI:89.48,BcgI:89.72,FalI:90.34	454	22	1338	49	16.90909090909091	INCONSISTENT
NZ_CP021390.1	NZ_CP019721.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP021390.1	NZ_CP021390.1	99.9999	99.9999	0.9908	0.9908	0.25506	15	0.9877	62	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	5051	15	4947	2414	333.53333333333336	ok
NZ_CP021390.1	NZ_CP084012.1	84.6241	90.8374	0.7144	0.6372	0.12412	28	0.8641	156	1.375	0.3312	89.9402	95.5245	1.7462	5.83	AlfI:90.89,AloI:90.84,BcgI:90.57,FalI:92.31	1149	28	3630	166	36.42857142857143	INCONSISTENT
NZ_CP021390.1	NZ_CP133463.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP021390.1	NZ_CP158364.1	83.1079	90.2349	0.7330	0.7881	0.12937	22	0.8625	146	1.392	0.2959	89.3864	95.3220	1.6358	5.18	AlfI:90.33,AloI:90.71,BcgI:89.89,FalI:91.53	1063	22	3716	206	42.63636363636363	INCONSISTENT
NZ_CP021390.1	NZ_CM126634.1	98.5803	98.9809	0.8318	0.8653	0.02955	47	0.9668	130	0.355	0.9375	98.3832	99.1811	0.0904	0.13	AlfI:98.98,AloI:99.03,BcgI:98.98,FalI:98.94	3917	47	4222	292	81.55319148936171	ok
NZ_CP021390.1	NZ_CM149854.1	98.9632	99.2213	0.8778	0.9327	0.02476	33	0.9854	61	0.321	0.9525	98.7688	99.3576	0.2184	2.63	AlfI:99.25,AloI:99.29,BcgI:99.17,FalI:99.39	4172	33	4445	788	125.54545454545455	ok
NZ_CP021390.1	NZ_CP165971.1	84.4264	91.0057	0.6951	0.6666	0.12404	28	0.8651	155	1.260	0.3416	90.0987	95.6215	1.7959	10.53	AlfI:90.97,AloI:92.36,BcgI:90.56,FalI:92.36	1150	28	3531	189	36.5	INCONSISTENT
NZ_CP021390.1	NZ_LT906445.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP021390.1	NZ_LR134375.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP021390.1	NZ_CACRUF010000001.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP084012.1	NZ_CP019721.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP084012.1	NZ_CP021390.1	85.0608	90.9616	0.6440	0.7193	0.12478	28	0.8615	159	1.392	0.3392	90.0665	95.5049	1.8025	7.20	AlfI:91.35,AloI:90.85,BcgI:90.57,FalI:92.37	1149	28	3513	166	36.32142857142857	INCONSISTENT
NZ_CP084012.1	NZ_CP084012.1	99.9999	99.9999	0.9989	0.9989	0.24375	28	0.9705	168	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	5694	28	5425	5053	198.28571428571428	ok
NZ_CP084012.1	NZ_CP133463.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP084012.1	NZ_CP158364.1	98.8401	99.2470	0.7555	0.9014	0.02512	42	0.9678	128	0.208	0.9541	98.6879	99.4156	0.0717	0.19	AlfI:99.24,AloI:99.24,BcgI:99.24,FalI:99.31	3975	42	4206	387	92.57142857142857	ok
NZ_CP084012.1	NZ_CM126634.1	84.0532	91.1414	0.6918	0.7609	0.11857	32	0.8284	225	1.174	0.3504	90.1342	95.9093	1.0877	2.39	AlfI:91.21,AloI:91.07,BcgI:90.97,FalI:92.06	1313	32	3796	192	34.9375	INCONSISTENT
NZ_CP084012.1	NZ_CM149854.1	84.6864	90.7259	0.6531	0.7600	0.12632	31	0.8387	185	1.434	0.3248	89.8589	95.3915	1.9113	7.95	AlfI:91.08,AloI:91.15,BcgI:90.26,FalI:92.17	1148	31	3571	153	32.03225806451613	INCONSISTENT
NZ_CP084012.1	NZ_CP165971.1	98.6556	99.2102	0.8409	0.9216	0.02465	44	0.9648	156	0.183	0.9518	98.5274	99.4219	0.1191	0.64	AlfI:99.17,AloI:99.26,BcgI:99.21,FalI:99.29	4428	44	4648	635	98.04545454545455	ok
NZ_CP084012.1	NZ_LT906445.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP084012.1	NZ_LR134375.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP084012.1	NZ_CACRUF010000001.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP133463.1	NZ_CP019721.1	96.0247	97.3299	0.9068	0.9521	0.08126	11	0.9497	73	0.613	0.8280	96.2160	98.1170	0.5328	1.74	AlfI:96.93,AloI:97.14,BcgI:97.39,FalI:97.46	1452	11	1859	277	126.27272727272727	INCONSISTENT
NZ_CP133463.1	NZ_CP021390.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP133463.1	NZ_CP084012.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP133463.1	NZ_CP133463.1	99.9999	99.9999	0.9987	0.9987	0.41037	1	0.9632	77	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	2095	1	2018	2018	2018	ok
NZ_CP133463.1	NZ_CP158364.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP133463.1	NZ_CM126634.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP133463.1	NZ_CM149854.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP133463.1	NZ_CP165971.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP133463.1	NZ_LT906445.1	95.1559	96.4632	0.9086	0.9498	0.09562	11	0.9452	73	0.973	0.7643	95.3437	97.5556	0.2009	0.28	AlfI:96.47,AloI:96.48,BcgI:96.35,FalI:96.55	1334	11	1871	251	115.54545454545455	INCONSISTENT
NZ_CP133463.1	NZ_LR134375.1	84.5477	89.3795	0.8202	0.8510	0.21019	5	0.8120	88	2.086	0.2753	88.6654	94.0587	1.1514	1.27	AlfI:90.03,AloI:88.88,BcgI:88.92,FalI:89.53	469	5	1656	150	77	INCONSISTENT
NZ_CP133463.1	NZ_CACRUF010000001.1	88.2521	90.4638	0.5793	0.5910	0.22166	26	0.7444	115	3.165	0.3336	89.9200	93.5224	1.2341	0.96	AlfI:90.30,AloI:89.62,BcgI:90.16,FalI:90.86	451	26	1217	45	13.884615384615385	INCONSISTENT
NZ_CP158364.1	NZ_CP019721.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP158364.1	NZ_CP021390.1	83.4724	90.2717	0.7733	0.7677	0.12950	22	0.8644	144	1.434	0.2987	89.4239	95.2768	1.4441	5.45	AlfI:90.76,AloI:90.41,BcgI:89.84,FalI:91.28	1063	22	3686	206	42.72727272727273	INCONSISTENT
NZ_CP158364.1	NZ_CP084012.1	99.0073	99.2868	0.8536	0.8173	0.02452	41	0.9680	127	0.244	0.9566	98.8662	99.4103	0.1547	1.03	AlfI:99.22,AloI:99.30,BcgI:99.30,FalI:99.38	3975	41	4125	360	94.82926829268293	ok
NZ_CP158364.1	NZ_CP133463.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP158364.1	NZ_CP158364.1	99.9999	99.9999	0.9888	0.9902	0.26220	21	0.9805	94	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	4826	21	4690	1313	226.28571428571428	ok
NZ_CP158364.1	NZ_CM126634.1	81.6435	89.8909	0.8221	0.7562	0.13007	31	0.8242	199	1.336	0.2776	89.0172	95.3746	1.2814	2.97	AlfI:90.02,AloI:89.75,BcgI:89.67,FalI:90.95	1133	31	3923	197	31.096774193548388	INCONSISTENT
NZ_CP158364.1	NZ_CM149854.1	82.4991	89.7241	0.7969	0.8089	0.13326	20	0.8454	158	1.520	0.2687	88.9275	95.0472	1.5190	4.33	AlfI:89.88,AloI:90.13,BcgI:89.38,FalI:90.90	1023	20	3831	197	44.2	INCONSISTENT
NZ_CP158364.1	NZ_CP165971.1	99.0939	99.3116	0.8699	0.8549	0.02389	30	0.9705	118	0.294	0.9581	98.9175	99.4260	0.0936	0.46	AlfI:99.29,AloI:99.38,BcgI:99.31,FalI:99.35	4006	30	4177	370	130.56666666666666	ok
NZ_CP158364.1	NZ_LT906445.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP158364.1	NZ_LR134375.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP158364.1	NZ_CACRUF010000001.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CM126634.1	NZ_CP019721.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CM126634.1	NZ_CP021390.1	98.4552	98.9361	0.8367	0.9249	0.03018	36	0.9714	112	0.335	0.9347	98.2550	99.1691	0.3895	3.26	AlfI:99.00,AloI:98.84,BcgI:98.96,FalI:98.61	3917	36	4270	569	106.63888888888889	ok
NZ_CM126634.1	NZ_CP084012.1	85.7971	91.7024	0.6752	0.6547	0.11852	38	0.8177	239	1.189	0.3869	90.7034	95.9240	0.9402	2.05	AlfI:91.62,AloI:92.50,BcgI:91.56,FalI:92.13	1313	38	3423	105	29.210526315789473	INCONSISTENT
NZ_CM126634.1	NZ_CP133463.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CM126634.1	NZ_CP158364.1	83.2976	90.4401	0.7186	0.8133	0.12827	33	0.8285	194	1.336	0.3082	89.5558	95.4426	0.9431	2.26	AlfI:90.17,AloI:91.12,BcgI:90.34,FalI:91.11	1133	33	3651	131	29.393939393939394	INCONSISTENT
NZ_CM126634.1	NZ_CM126634.1	99.9999	99.9999	0.9971	0.9971	0.25293	31	0.9682	170	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	5342	31	5036	5025	167.74193548387098	ok
NZ_CM126634.1	NZ_CM149854.1	98.7689	99.0941	0.8274	0.9303	0.02751	39	0.9744	102	0.335	0.9446	98.5895	99.2538	0.2664	1.46	AlfI:99.13,AloI:99.21,BcgI:99.08,FalI:98.95	3984	39	4254	607	100.48717948717949	ok
NZ_CM126634.1	NZ_CP165971.1	85.5571	91.8201	0.6956	0.7206	0.11523	42	0.8523	198	1.107	0.3948	90.7808	96.0900	1.4890	5.36	AlfI:91.76,AloI:93.06,BcgI:91.57,FalI:92.36	1344	42	3558	106	28.214285714285715	INCONSISTENT
NZ_CM126634.1	NZ_LT906445.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CM126634.1	NZ_LR134375.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CM126634.1	NZ_CACRUF010000001.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CM149854.1	NZ_CP019721.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CM149854.1	NZ_CP021390.1	99.0797	99.2560	0.9259	0.9429	0.02416	23	0.9873	53	0.387	0.9547	98.9177	99.3554	0.1180	1.38	AlfI:99.31,AloI:99.27,BcgI:99.21,FalI:99.33	4172	23	4405	817	180.04347826086956	ok
NZ_CM149854.1	NZ_CP084012.1	85.5780	90.9889	0.7194	0.6387	0.12586	34	0.8439	179	1.476	0.3411	90.1289	95.3708	1.4026	4.48	AlfI:91.12,AloI:91.56,BcgI:90.65,FalI:92.06	1148	34	3425	119	29.470588235294116	INCONSISTENT
NZ_CM149854.1	NZ_CP133463.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CM149854.1	NZ_CP158364.1	83.7626	90.0931	0.7500	0.7790	0.13312	23	0.8493	154	1.565	0.2884	89.3042	95.0288	1.2786	3.70	AlfI:89.94,AloI:90.79,BcgI:89.87,FalI:91.15	1023	23	3585	117	38.73913043478261	INCONSISTENT
NZ_CM149854.1	NZ_CM126634.1	98.8790	99.1280	0.8763	0.8848	0.02709	39	0.9739	104	0.376	0.9467	98.7224	99.2535	0.0542	0.09	AlfI:99.14,AloI:99.17,BcgI:99.12,FalI:99.11	3984	39	4176	719	100.46153846153847	ok
NZ_CM149854.1	NZ_CM149854.1	99.9999	99.9999	0.9990	0.9990	0.26141	10	0.9927	35	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	4784	10	4714	4714	475.8	ok
NZ_CM149854.1	NZ_CP165971.1	85.6709	91.2158	0.7063	0.6493	0.12473	37	0.8568	163	1.375	0.3555	90.3244	95.5558	2.1725	11.28	AlfI:91.12,AloI:92.97,BcgI:90.80,FalI:92.10	1139	37	3358	138	27.35135135135135	INCONSISTENT
NZ_CM149854.1	NZ_LT906445.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CM149854.1	NZ_LR134375.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CM149854.1	NZ_CACRUF010000001.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP165971.1	NZ_CP019721.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP165971.1	NZ_CP021390.1	84.2181	90.9377	0.6747	0.7161	0.12418	27	0.8642	156	1.260	0.3380	90.0186	95.6223	1.6453	8.16	AlfI:91.30,AloI:91.78,BcgI:90.43,FalI:92.08	1150	27	3574	189	37.77777777777778	INCONSISTENT
NZ_CP165971.1	NZ_CP084012.1	98.7458	99.2288	0.8647	0.8667	0.02431	51	0.9623	167	0.194	0.9530	98.5997	99.4216	0.1683	1.47	AlfI:99.19,AloI:99.30,BcgI:99.22,FalI:99.36	4428	51	4638	511	84.50980392156863	ok
NZ_CP165971.1	NZ_CP133463.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP165971.1	NZ_CP158364.1	98.9284	99.2643	0.7933	0.9082	0.02474	32	0.9700	120	0.244	0.9552	98.7270	99.4252	0.0877	0.44	AlfI:99.27,AloI:99.33,BcgI:99.25,FalI:99.30	4006	32	4227	386	122.40625	ok
NZ_CP165971.1	NZ_CM126634.1	83.7032	91.2979	0.7360	0.7443	0.11553	39	0.8597	188	1.075	0.3606	90.2521	96.0555	1.1872	3.42	AlfI:91.50,AloI:91.50,BcgI:91.02,FalI:92.21	1344	39	3903	190	30.53846153846154	INCONSISTENT
NZ_CP165971.1	NZ_CM149854.1	83.3892	90.6520	0.6926	0.7532	0.12527	33	0.8568	163	1.260	0.3208	89.7392	95.5940	1.8008	9.20	AlfI:90.86,AloI:91.95,BcgI:90.15,FalI:91.65	1139	33	3698	207	30.545454545454547	INCONSISTENT
NZ_CP165971.1	NZ_CP165971.1	99.9999	99.9999	0.9985	0.9985	0.24773	35	0.9747	140	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	5538	35	5252	5208	155.0857142857143	ok
NZ_CP165971.1	NZ_LT906445.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP165971.1	NZ_LR134375.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_CP165971.1	NZ_CACRUF010000001.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LT906445.1	NZ_CP019721.1	94.6309	96.4051	0.9722	0.9828	0.09696	5	0.9429	75	0.783	0.7598	95.1041	97.7161	0.5405	1.23	AlfI:96.21,AloI:96.75,BcgI:96.25,FalI:96.57	1314	5	1894	612	248.6	INCONSISTENT
NZ_LT906445.1	NZ_CP021390.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LT906445.1	NZ_CP084012.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LT906445.1	NZ_CP133463.1	95.1204	96.4431	0.9572	0.9512	0.09584	8	0.9475	70	0.973	0.7627	95.3128	97.5635	0.4689	0.88	AlfI:96.27,AloI:96.74,BcgI:96.31,FalI:96.58	1334	8	1878	629	158.875	INCONSISTENT
NZ_LT906445.1	NZ_CP158364.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LT906445.1	NZ_CM126634.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LT906445.1	NZ_CM149854.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LT906445.1	NZ_CP165971.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LT906445.1	NZ_LT906445.1	99.9999	99.9999	0.9993	0.9993	0.41745	1	0.9658	69	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	2016	1	1947	1947	1947	ok
NZ_LT906445.1	NZ_LR134375.1	83.4329	89.2896	0.8416	0.8651	0.21367	6	0.8164	83	1.833	0.2698	88.5058	94.3902	1.5073	2.14	AlfI:90.26,AloI:88.82,BcgI:88.75,FalI:89.34	453	6	1633	172	62.5	INCONSISTENT
NZ_LT906445.1	NZ_CACRUF010000001.1	87.4801	90.4351	0.5999	0.6075	0.22711	24	0.7396	113	2.516	0.3311	89.7992	94.0075	1.4520	2.76	AlfI:90.92,AloI:90.66,BcgI:89.47,FalI:90.92	435	24	1173	44	14.375	INCONSISTENT
NZ_LR134375.1	NZ_CP019721.1	84.2065	89.8653	0.8020	0.7856	0.20853	7	0.7979	98	1.680	0.3002	89.0484	94.6520	1.1684	1.69	AlfI:90.23,AloI:89.07,BcgI:89.28,FalI:90.23	486	7	1559	108	56.285714285714285	INCONSISTENT
NZ_LR134375.1	NZ_CP021390.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LR134375.1	NZ_CP084012.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LR134375.1	NZ_CP133463.1	84.9074	89.4701	0.8339	0.8202	0.20988	6	0.8141	87	2.148	0.2790	88.7747	94.0363	0.8095	0.91	AlfI:89.78,AloI:89.41,BcgI:88.97,FalI:89.72	469	6	1632	150	64.5	INCONSISTENT
NZ_LR134375.1	NZ_CP158364.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LR134375.1	NZ_CM126634.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LR134375.1	NZ_CM149854.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LR134375.1	NZ_CP165971.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
NZ_LR134375.1	NZ_LT906445.1	82.7659	89.1057	0.8651	0.8416	0.21364	6	0.8164	83	1.781	0.2611	88.3115	94.3923	1.7716	1.79	AlfI:90.00,AloI:88.23,BcgI:88.74,FalI:89.11	453	6	1688	172	62.5	INCONSISTENT
NZ_LR134375.1	NZ_LR134375.1	99.9999	99.9999	0.9992	0.9992	0.41585	1	0.9692	62	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	2014	1	1961	1952	1952	ok
NZ_LR134375.1	NZ_CACRUF010000001.1	93.2788	95.0212	0.8285	0.8167	0.12396	33	0.8989	103	1.260	0.6529	93.9941	96.6654	1.6319	3.87	AlfI:95.30,AloI:93.71,BcgI:94.67,FalI:95.34	1020	33	1660	94	28.757575757575758	INCONSISTENT
NZ_CACRUF010000001.1	NZ_CP019721.1	87.7542	90.2873	0.6469	0.6505	0.21917	22	0.8393	67	2.948	0.3238	89.7077	93.5737	1.0944	0.47	AlfI:90.52,AloI:89.42,BcgI:90.12,FalI:90.42	454	22	1287	49	16.90909090909091	INCONSISTENT
NZ_CACRUF010000001.1	NZ_CP021390.1	NaN	NaN	0.0000	0.0000	NaN	0	0.0000	0	NaN	NaN	NaN	NaN	0.0000	NaN	-	0	0	0	0	0	BELOW_DETECTION
