query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count
Ecoli_K12_MG1655	Klebsiella_pneumoniae_MGH78578	77.5930	87.5640	0.1522	0.1352	0.32376	12	0.3394	216
Ecoli_K12_MG1655	Salmonella_Typhi_CT18	82.0423	88.0259	0.1794	0.1753	0.29043	15	0.2664	435
Ecoli_K12_MG1655	Salmonella_Typhimurium_LT2	78.4053	87.7147	0.2394	0.2363	0.25777	15	0.2625	503
Ecoli_K12_MG1655	Shigella_flexneri_301	98.1162	98.6187	0.8365	0.8898	0.03120	61	0.8570	755
Ecoli_K12_MG1655	Shigella_sonnei_Ss046	98.3264	98.8108	0.8573	0.9101	0.02826	48	0.8711	700
Ecoli_K12_W3110	Citrobacter_rodentium	80.0058	87.2804	0.3425	0.2999	0.22354	23	0.5141	242
Ecoli_K12_W3110	Ecoli_BL21_DE3	99.0330	99.3577	0.9266	0.9656	0.01951	26	0.8745	766
Ecoli_K12_W3110	Ecoli_CFT073	96.8611	97.5199	0.9020	0.8236	0.04284	35	0.8843	562
Ecoli_K12_W3110	Ecoli_K12_MG1655	99.9859	99.9859	0.9971	0.9971	0.00270	3	0.8867	776
Ecoli_K12_W3110	Ecoli_K12_W3110	99.9999	99.9999	0.9996	0.9996	0.22754	1	0.8870	774
Ecoli_K12_W3110	Ecoli_O157H7_Sakai	98.0925	98.5023	0.9081	0.8332	0.03140	35	0.8462	884
Ecoli_K12_W3110	Ecoli_UTI89	96.8786	97.5018	0.9041	0.8783	0.04292	34	0.9040	459
Ecoli_K12_W3110	Enterobacter_cloacae_13047	83.4969	88.2139	0.1363	0.1191	0.32791	14	0.3687	214
Ecoli_K12_W3110	Escherichia_fergusonii	91.0476	94.3685	0.6620	0.6896	0.08335	52	0.7891	526
Ecoli_K12_W3110	GCA_001075925	98.0042	98.1801	0.6685	0.3496	0.03766	354	0.6947	1671
Ecoli_K12_W3110	Klebsiella_pneumoniae_MGH78578	79.2676	87.8849	0.1269	0.1136	0.34165	13	0.3272	220
Ecoli_K12_W3110	Salmonella_Typhi_CT18	82.5606	87.9770	0.1868	0.1825	0.28552	14	0.2664	435
Ecoli_K12_W3110	Salmonella_Typhimurium_LT2	80.1687	87.9365	0.2176	0.2146	0.26434	16	0.2610	504
Ecoli_K12_W3110	Shigella_flexneri_301	98.1111	98.6159	0.8333	0.8860	0.03126	63	0.8564	758
Ecoli_K12_W3110	Shigella_sonnei_Ss046	98.3182	98.8066	0.8519	0.9073	0.02834	51	0.8700	706
Ecoli_O157H7_Sakai	Citrobacter_rodentium	77.9043	87.6513	0.2489	0.2566	0.23364	26	0.4519	296
Ecoli_O157H7_Sakai	Ecoli_BL21_DE3	98.0485	98.4994	0.7559	0.9155	0.03166	47	0.8438	886
Ecoli_O157H7_Sakai	Ecoli_CFT073	96.7023	97.4340	0.7720	0.8225	0.04348	61	0.8551	731
Ecoli_O157H7_Sakai	Ecoli_K12_MG1655	98.0535	98.4973	0.7688	0.9117	0.03147	46	0.8440	897
Ecoli_O157H7_Sakai	Ecoli_K12_W3110	98.0501	98.4945	0.7669	0.9091	0.03152	48	0.8434	900
Ecoli_O157H7_Sakai	Ecoli_O157H7_Sakai	99.9999	99.9999	0.9903	0.9903	0.21443	40	0.8518	1239
Ecoli_O157H7_Sakai	Ecoli_UTI89	96.5715	97.3728	0.7838	0.8583	0.04397	57	0.8776	602
Ecoli_O157H7_Sakai	Enterobacter_cloacae_13047	81.6930	87.6843	0.1204	0.1225	0.33290	12	0.3548	220
Ecoli_O157H7_Sakai	Escherichia_fergusonii	91.5858	94.3300	0.5460	0.6616	0.08414	62	0.7645	595
Ecoli_O157H7_Sakai	GCA_001075925	97.9467	98.1401	0.5831	0.3578	0.03770	368	0.6805	1822
Ecoli_O157H7_Sakai	Klebsiella_pneumoniae_MGH78578	80.5949	88.1153	0.1059	0.1095	0.33846	12	0.3463	202
Ecoli_O157H7_Sakai	Salmonella_Typhi_CT18	81.3876	87.5140	0.1796	0.2080	0.28071	14	0.2655	451
Ecoli_O157H7_Sakai	Salmonella_Typhimurium_LT2	80.5518	87.8783	0.2042	0.2380	0.25144	14	0.2632	529
Ecoli_O157H7_Sakai	Shigella_flexneri_301	97.8158	98.3098	0.7057	0.8763	0.03504	74	0.8346	871
Ecoli_O157H7_Sakai	Shigella_sonnei_Ss046	97.8706	98.3601	0.7301	0.8909	0.03375	63	0.8424	862
Ecoli_UTI89	Citrobacter_rodentium	82.0065	88.7415	0.2227	0.2120	0.23214	26	0.4625	287
Ecoli_UTI89	Ecoli_BL21_DE3	96.7540	97.4505	0.8325	0.9597	0.04341	37	0.9039	457
Ecoli_UTI89	Ecoli_CFT073	99.0212	99.3367	0.9175	0.9258	0.01910	44	0.9393	378
Ecoli_UTI89	Ecoli_K12_MG1655	96.9212	97.5185	0.8226	0.9507	0.04279	34	0.9029	464
Ecoli_UTI89	Ecoli_K12_W3110	96.9294	97.5228	0.8212	0.9471	0.04276	37	0.9031	463
Ecoli_UTI89	Ecoli_O157H7_Sakai	96.8410	97.4769	0.8249	0.8209	0.04317	54	0.8782	599
Ecoli_UTI89	Ecoli_UTI89	99.9999	99.9999	0.9994	0.9994	0.21925	12	0.9619	265
Ecoli_UTI89	Enterobacter_cloacae_13047	84.4383	88.6805	0.1112	0.1062	0.33381	16	0.3735	203
Ecoli_UTI89	Escherichia_fergusonii	91.5115	94.4448	0.6068	0.6903	0.08216	64	0.8417	382
Ecoli_UTI89	GCA_001075925	97.7786	97.9974	0.6123	0.3494	0.04014	357	0.7085	1512
Ecoli_UTI89	Klebsiella_pneumoniae_MGH78578	82.1084	88.4636	0.0953	0.0926	0.35807	12	0.3323	209
Ecoli_UTI89	Salmonella_Typhi_CT18	79.6718	88.0226	0.1415	0.1508	0.30813	14	0.2680	355
Ecoli_UTI89	Salmonella_Typhimurium_LT2	79.1689	87.7000	0.2006	0.2152	0.26362	18	0.3043	391
Ecoli_UTI89	Shigella_flexneri_301	96.6335	97.3297	0.7485	0.8726	0.04642	64	0.8849	508
Ecoli_UTI89	Shigella_sonnei_Ss046	96.8046	97.4593	0.7522	0.8915	0.04485	57	0.8937	476
Enterobacter_cloacae_13047	Citrobacter_rodentium	80.7025	87.2057	0.1555	0.1572	0.29740	14	0.3575	266
Enterobacter_cloacae_13047	Ecoli_BL21_DE3	81.2899	87.5124	0.1148	0.1363	0.33110	13	0.3440	225
Enterobacter_cloacae_13047	Ecoli_CFT073	82.0625	87.6128	0.1053	0.1059	0.34249	15	0.3485	215
Enterobacter_cloacae_13047	Ecoli_K12_MG1655	80.2781	87.0738	0.1471	0.1674	0.30781	14	0.3923	206
Enterobacter_cloacae_13047	Ecoli_K12_W3110	81.9763	87.5728	0.1191	0.1363	0.32558	14	0.3687	214
Enterobacter_cloacae_13047	Ecoli_O157H7_Sakai	80.5942	87.2015	0.1225	0.1204	0.33136	12	0.3548	220
Enterobacter_cloacae_13047	Ecoli_UTI89	83.0468	87.9903	0.1062	0.1112	0.33096	16	0.3735	203
Enterobacter_cloacae_13047	Enterobacter_cloacae_13047	99.9999	99.9999	0.9998	0.9998	0.20447	3	0.9915	66
Enterobacter_cloacae_13047	Escherichia_fergusonii	79.9559	87.4066	0.0928	0.1068	0.36590	12	0.3185	199
Enterobacter_cloacae_13047	GCA_001075925	98.4375	98.4375	0.0010	0.0006	0.58594	3	0.0194	557
Enterobacter_cloacae_13047	Klebsiella_pneumoniae_MGH78578	81.6972	87.5518	0.1697	0.1737	0.27323	19	0.4262	237
Enterobacter_cloacae_13047	Salmonella_Typhi_CT18	82.3175	89.2919	0.0696	0.0789	0.36396	10	0.3355	208
Enterobacter_cloacae_13047	Salmonella_Typhimurium_LT2	80.5903	88.0789	0.0818	0.0933	0.38062	9	0.3059	211
Enterobacter_cloacae_13047	Shigella_flexneri_301	79.6925	87.5240	0.0931	0.1093	0.36756	9	0.3016	220
Enterobacter_cloacae_13047	Shigella_sonnei_Ss046	84.9757	89.1056	0.0689	0.0781	0.35867	13	0.3206	231
Escherichia_fergusonii	Citrobacter_rodentium	81.6093	88.7317	0.1471	0.1260	0.29467	18	0.3061	331
Escherichia_fergusonii	Ecoli_BL21_DE3	91.4640	94.4751	0.6691	0.6698	0.08357	54	0.7872	525
Escherichia_fergusonii	Ecoli_CFT073	92.0617	94.6505	0.6419	0.5702	0.08295	60	0.8163	438
Escherichia_fergusonii	Ecoli_K12_MG1655	91.5561	94.5256	0.6779	0.6689	0.08298	51	0.7879	529
Escherichia_fergusonii	Ecoli_K12_W3110	91.5861	94.5402	0.6731	0.6618	0.08315	52	0.7855	535
Escherichia_fergusonii	Ecoli_O157H7_Sakai	91.9924	94.5094	0.6589	0.5591	0.08372	63	0.7645	595
Escherichia_fergusonii	Ecoli_UTI89	92.1539	94.7055	0.6590	0.6096	0.08156	68	0.8367	394
Escherichia_fergusonii	Enterobacter_cloacae_13047	83.0922	88.3899	0.1068	0.0928	0.36567	12	0.3185	199
Escherichia_fergusonii	Escherichia_fergusonii	99.9999	99.9999	0.9998	0.9998	0.23382	3	0.9546	280
Escherichia_fergusonii	GCA_001075925	95.9897	96.4004	0.2816	0.1428	0.08709	188	0.4873	1337
Escherichia_fergusonii	Klebsiella_pneumoniae_MGH78578	77.6775	87.8684	0.1174	0.1044	0.36008	10	0.3540	177
Escherichia_fergusonii	Salmonella_Typhi_CT18	80.7076	87.9435	0.1551	0.1508	0.30834	15	0.2713	360
Escherichia_fergusonii	Salmonella_Typhimurium_LT2	81.0422	87.8398	0.2099	0.2048	0.27184	17	0.3071	388
Escherichia_fergusonii	Shigella_flexneri_301	92.0535	94.5342	0.6092	0.6097	0.08615	59	0.7820	507
Escherichia_fergusonii	Shigella_sonnei_Ss046	92.3918	94.7734	0.5899	0.5847	0.08490	65	0.7837	503
GCA_001075925	Citrobacter_rodentium	96.4668	96.4668	0.0046	0.0098	0.47508	7	0.2069	207
GCA_001075925	Ecoli_BL21_DE3	97.9565	98.1779	0.3436	0.6792	0.03784	350	0.8186	838
GCA_001075925	Ecoli_CFT073	97.7357	98.0030	0.3433	0.5919	0.04006	372	0.8279	765
GCA_001075925	Ecoli_K12_MG1655	97.9250	98.1427	0.3476	0.6724	0.03808	355	0.8152	862
GCA_001075925	Ecoli_K12_W3110	97.9194	98.1436	0.3474	0.6735	0.03809	355	0.8149	863
GCA_001075925	Ecoli_O157H7_Sakai	97.9462	98.1441	0.3566	0.5916	0.03765	367	0.7993	976
GCA_001075925	Ecoli_UTI89	97.6757	97.9523	0.3457	0.6136	0.04062	359	0.8435	681
GCA_001075925	Enterobacter_cloacae_13047	98.4375	98.4375	0.0006	0.0010	0.58594	3	0.0786	129
GCA_001075925	Escherichia_fergusonii	95.6019	96.1993	0.1431	0.2851	0.08891	186	0.6567	664
GCA_001075925	GCA_001075925	99.9999	99.9999	0.3966	0.3966	0.24676	363	0.8202	927
GCA_001075925	Klebsiella_pneumoniae_MGH78578	99.6140	99.6139	0.0094	0.0162	0.05294	97	0.2060	1307
GCA_001075925	Salmonella_Typhi_CT18	90.1499	90.1499	0.0029	0.0052	1.16254	2	0.0373	284
GCA_001075925	Salmonella_Typhimurium_LT2	89.0006	89.0006	0.0047	0.0091	1.00269	3	0.0389	346
GCA_001075925	Shigella_flexneri_301	97.7830	98.0097	0.3023	0.6058	0.04215	332	0.7865	897
GCA_001075925	Shigella_sonnei_Ss046	97.9400	98.1111	0.3133	0.6050	0.03970	352	0.8086	838
Klebsiella_pneumoniae_MGH78578	Citrobacter_rodentium	83.8899	87.2487	0.1722	0.1759	0.27674	17	0.4014	258
Klebsiella_pneumoniae_MGH78578	Ecoli_BL21_DE3	75.6692	87.0867	0.1117	0.1264	0.34763	13	0.3323	213
Klebsiella_pneumoniae_MGH78578	Ecoli_CFT073	75.5714	87.2196	0.1189	0.1227	0.33815	12	0.3355	204
Klebsiella_pneumoniae_MGH78578	Ecoli_K12_MG1655	75.7018	86.9882	0.1352	0.1522	0.32000	12	0.3394	216
Klebsiella_pneumoniae_MGH78578	Ecoli_K12_W3110	77.5250	87.3068	0.1136	0.1269	0.33799	13	0.3272	220
Klebsiella_pneumoniae_MGH78578	Ecoli_O157H7_Sakai	78.8418	87.5938	0.1095	0.1059	0.33539	12	0.3463	202
Klebsiella_pneumoniae_MGH78578	Ecoli_UTI89	80.0625	87.7730	0.0926	0.0953	0.35337	12	0.3323	209
Klebsiella_pneumoniae_MGH78578	Enterobacter_cloacae_13047	81.5673	87.5033	0.1737	0.1697	0.27115	19	0.4262	237
Klebsiella_pneumoniae_MGH78578	Escherichia_fergusonii	74.8689	87.1736	0.1044	0.1174	0.35512	10	0.3540	177
Klebsiella_pneumoniae_MGH78578	GCA_001075925	99.5947	99.5994	0.0162	0.0094	0.05393	97	0.0719	4373
Klebsiella_pneumoniae_MGH78578	Klebsiella_pneumoniae_MGH78578	99.9999	99.9999	0.9998	0.9998	0.20157	7	0.9811	152
Klebsiella_pneumoniae_MGH78578	Salmonella_Typhi_CT18	80.4312	87.3565	0.1237	0.1375	0.32392	11	0.3679	201
Klebsiella_pneumoniae_MGH78578	Salmonella_Typhimurium_LT2	80.0455	87.9041	0.1160	0.1303	0.31680	11	0.3448	228
Klebsiella_pneumoniae_MGH78578	Shigella_flexneri_301	75.9179	87.1838	0.1039	0.1199	0.36054	10	0.3102	209
Klebsiella_pneumoniae_MGH78578	Shigella_sonnei_Ss046	77.5750	87.8244	0.0793	0.0865	0.37866	9	0.2745	222
Salmonella_Typhi_CT18	Citrobacter_rodentium	82.9670	87.6465	0.2724	0.2420	0.23763	23	0.4593	279
Salmonella_Typhi_CT18	Ecoli_BL21_DE3	82.1177	87.9660	0.2139	0.2230	0.26869	18	0.2967	429
Salmonella_Typhi_CT18	Ecoli_CFT073	79.7814	88.5335	0.1712	0.1508	0.28468	17	0.3002	373
Salmonella_Typhi_CT18	Ecoli_K12_MG1655	82.3918	88.0823	0.1753	0.1794	0.29198	15	0.2664	435
Salmonella_Typhi_CT18	Ecoli_K12_W3110	82.8145	88.0504	0.1825	0.1868	0.28697	14	0.2664	435
Salmonella_Typhi_CT18	Ecoli_O157H7_Sakai	81.6876	87.5475	0.2080	0.1796	0.28201	14	0.2655	451
Salmonella_Typhi_CT18	Ecoli_UTI89	80.2640	88.0810	0.1508	0.1415	0.30988	14	0.2680	355
Salmonella_Typhi_CT18	Enterobacter_cloacae_13047	83.6632	89.7165	0.0789	0.0696	0.36577	10	0.3355	208
Salmonella_Typhi_CT18	Escherichia_fergusonii	81.4919	88.1526	0.1508	0.1551	0.31154	15	0.2713	360
Salmonella_Typhi_CT18	GCA_001075925	90.6005	90.6005	0.0052	0.0029	1.17372	2	0.0156	694
Salmonella_Typhi_CT18	Klebsiella_pneumoniae_MGH78578	82.3041	87.9528	0.1375	0.1237	0.32956	11	0.3679	201
Salmonella_Typhi_CT18	Salmonella_Typhi_CT18	99.9999	99.9999	0.9993	0.9993	0.23668	8	0.9640	215
Salmonella_Typhi_CT18	Salmonella_Typhimurium_LT2	98.4802	98.7368	0.9039	0.9521	0.02950	25	0.9524	236
Salmonella_Typhi_CT18	Shigella_flexneri_301	83.0854	88.0236	0.1509	0.1579	0.31257	13	0.2390	433
Salmonella_Typhi_CT18	Shigella_sonnei_Ss046	84.3472	88.1534	0.1690	0.1718	0.29736	15	0.2724	414
Salmonella_Typhimurium_LT2	Citrobacter_rodentium	82.8892	87.8166	0.3229	0.2910	0.21582	21	0.5173	265
Salmonella_Typhimurium_LT2	Ecoli_BL21_DE3	80.0940	88.1855	0.2206	0.2275	0.25814	16	0.2604	517
Salmonella_Typhimurium_LT2	Ecoli_CFT073	82.2207	88.6473	0.1594	0.1420	0.28619	15	0.2598	436
Salmonella_Typhimurium_LT2	Ecoli_K12_MG1655	78.8072	87.8465	0.2363	0.2394	0.25857	15	0.2625	503
Salmonella_Typhimurium_LT2	Ecoli_K12_W3110	80.4262	88.0301	0.2146	0.2176	0.26495	16	0.2610	504
Salmonella_Typhimurium_LT2	Ecoli_O157H7_Sakai	80.6674	87.9194	0.2380	0.2042	0.25129	14	0.2632	529
Salmonella_Typhimurium_LT2	Ecoli_UTI89	79.8185	87.9294	0.2152	0.2006	0.26426	18	0.3043	391
Salmonella_Typhimurium_LT2	Enterobacter_cloacae_13047	81.9812	88.6206	0.0933	0.0818	0.38072	9	0.3059	211
Salmonella_Typhimurium_LT2	Escherichia_fergusonii	79.3694	87.4448	0.2202	0.2260	0.27168	17	0.3125	385
Salmonella_Typhimurium_LT2	GCA_001075925	88.3988	88.3988	0.0091	0.0047	0.99144	3	0.0178	772
Salmonella_Typhimurium_LT2	Klebsiella_pneumoniae_MGH78578	82.4005	88.6150	0.1301	0.1160	0.32017	11	0.3448	228
Salmonella_Typhimurium_LT2	Salmonella_Typhi_CT18	98.4368	98.7178	0.9000	0.9196	0.02972	40	0.9501	247
Salmonella_Typhimurium_LT2	Salmonella_Typhimurium_LT2	99.9999	99.9999	0.9993	0.9993	0.23457	7	0.9562	269
Salmonella_Typhimurium_LT2	Shigella_flexneri_301	79.6593	87.7586	0.2035	0.2056	0.27537	10	0.2377	494
Salmonella_Typhimurium_LT2	Shigella_sonnei_Ss046	80.7927	87.7722	0.2287	0.2285	0.26013	15	0.2737	475
Shigella_flexneri_301	Citrobacter_rodentium	78.5324	87.9881	0.1863	0.1601	0.29027	15	0.3176	318
Shigella_flexneri_301	Ecoli_BL21_DE3	98.1166	98.6372	0.8608	0.8847	0.03120	45	0.8658	694
Shigella_flexneri_301	Ecoli_CFT073	96.5640	97.3582	0.8790	0.7988	0.04582	58	0.8753	566
Shigella_flexneri_301	Ecoli_K12_MG1655	98.0962	98.6193	0.8726	0.8880	0.03118	48	0.8602	738
Shigella_flexneri_301	Ecoli_K12_W3110	98.0868	98.6141	0.8704	0.8850	0.03128	50	0.8596	741
Shigella_flexneri_301	Ecoli_O157H7_Sakai	97.8552	98.3212	0.8719	0.7723	0.03484	57	0.8397	844
Shigella_flexneri_301	Ecoli_UTI89	96.6517	97.3401	0.8564	0.8083	0.04628	60	0.8872	498
Shigella_flexneri_301	Enterobacter_cloacae_13047	81.3731	88.2773	0.1093	0.0931	0.36717	9	0.2984	221
Shigella_flexneri_301	Escherichia_fergusonii	91.7557	94.4104	0.6254	0.6471	0.08627	53	0.7885	492
Shigella_flexneri_301	GCA_001075925	97.7896	98.0098	0.6102	0.3072	0.04207	328	0.6667	1660
Shigella_flexneri_301	Klebsiella_pneumoniae_MGH78578	77.2363	87.7010	0.1199	0.1039	0.36202	10	0.3102	209
Shigella_flexneri_301	Salmonella_Typhi_CT18	83.6148	88.5794	0.1356	0.1318	0.31959	13	0.2250	441
Shigella_flexneri_301	Salmonella_Typhimurium_LT2	79.5564	87.8325	0.2056	0.2035	0.27551	10	0.2377	494
Shigella_flexneri_301	Shigella_flexneri_301	99.9999	99.9999	0.9994	0.9994	0.23343	5	0.8907	699
Shigella_flexneri_301	Shigella_sonnei_Ss046	98.2717	98.8095	0.8452	0.8807	0.02898	71	0.8683	681
Shigella_sonnei_Ss046	Citrobacter_rodentium	81.3536	88.0919	0.2334	0.2111	0.25095	25	0.4189	283
Shigella_sonnei_Ss046	Ecoli_BL21_DE3	98.2421	98.8138	0.8559	0.9164	0.02824	48	0.8765	667
Shigella_sonnei_Ss046	Ecoli_CFT073	96.5006	97.3971	0.8517	0.7877	0.04535	52	0.8746	574
Shigella_sonnei_Ss046	Ecoli_K12_MG1655	98.1493	98.7645	0.8664	0.9020	0.02884	45	0.8709	701
Shigella_sonnei_Ss046	Ecoli_K12_W3110	98.1442	98.7616	0.8641	0.8988	0.02890	47	0.8700	706
Shigella_sonnei_Ss046	Ecoli_O157H7_Sakai	97.7700	98.3281	0.8703	0.7896	0.03407	53	0.8446	850
Shigella_sonnei_Ss046	Ecoli_UTI89	96.4372	97.3249	0.8586	0.8167	0.04601	50	0.8946	472
Shigella_sonnei_Ss046	Enterobacter_cloacae_13047	84.7350	89.1769	0.0950	0.0842	0.35069	14	0.3265	229
Shigella_sonnei_Ss046	Escherichia_fergusonii	92.4444	94.7614	0.5570	0.5984	0.08501	68	0.7816	508
Shigella_sonnei_Ss046	GCA_001075925	97.9555	98.1152	0.6020	0.3136	0.03962	352	0.6837	1638
Shigella_sonnei_Ss046	Klebsiella_pneumoniae_MGH78578	79.5811	88.4526	0.0865	0.0793	0.38341	9	0.2745	222
Shigella_sonnei_Ss046	Salmonella_Typhi_CT18	83.9770	88.1061	0.1718	0.1690	0.29623	15	0.2724	414
Shigella_sonnei_Ss046	Salmonella_Typhimurium_LT2	80.6184	87.7557	0.2285	0.2287	0.25976	15	0.2737	475
Shigella_sonnei_Ss046	Shigella_flexneri_301	98.1574	98.7793	0.8147	0.8620	0.02944	79	0.8644	701
Shigella_sonnei_Ss046	Shigella_sonnei_Ss046	99.9999	99.9999	0.9968	0.9968	0.22869	4	0.8954	689
