query	reference	band	group	band_by_ani	query_path	ref_path
GCF_001592045.1	GCF_001517975.1	0.8-0.85	p__Actinobacteriota	0.8434	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001592045.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001517975.1.fna
GCF_016918015.1	GCF_003933745.1	0.8-0.85	p__Actinobacteriota	0.8489	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_016918015.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003933745.1.fna
GCF_004025965.2	GCF_011383005.1	0.8-0.85	p__Actinobacteriota	0.8402	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_004025965.2.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_011383005.1.fna
GCF_014694315.1	GCF_001428005.1	0.8-0.85	p__Actinobacteriota	0.8330	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014694315.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001428005.1.fna
GCA_001914705.1	GCA_005888315.1	0.8-0.85	p__Actinobacteriota	0.8397	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001914705.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_005888315.1.fna
GCF_004078655.1	GCF_003990045.1	0.8-0.85	p__Actinobacteriota	0.8266	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_004078655.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003990045.1.fna
GCF_009733845.1	GCF_009733815.1	0.8-0.85	p__Actinobacteriota	0.8395	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_009733845.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_009733815.1.fna
GCF_008040105.1	GCA_003454135.1	0.8-0.85	p__Actinobacteriota	0.8482	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_008040105.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003454135.1.fna
GCF_003003175.1	GCF_019173455.1	0.8-0.85	p__Actinobacteriota	0.8341	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003003175.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_019173455.1.fna
GCF_900112815.1	GCF_016612865.1	0.8-0.85	p__Actinobacteriota	0.8348	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900112815.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_016612865.1.fna
GCF_003610585.1	GCF_002936985.1	0.8-0.85	p__Actinobacteriota	0.8497	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003610585.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002936985.1.fna
GCF_003751785.1	GCF_003755185.1	0.8-0.85	p__Actinobacteriota	0.8344	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003751785.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003755185.1.fna
GCF_006716305.1	GCF_001657475.1	0.8-0.85	p__Actinobacteriota	0.8318	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_006716305.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001657475.1.fna
GCF_009742705.1	GCF_900101785.1	0.8-0.85	p__Actinobacteriota	0.8411	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_009742705.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900101785.1.fna
GCA_000620545.1	GCF_006717025.1	0.8-0.85	p__Actinobacteriota	0.8423	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_000620545.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_006717025.1.fna
GCF_003121705.1	GCF_004786095.1	0.8-0.85	p__Actinobacteriota	0.8393	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003121705.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_004786095.1.fna
GCF_900104895.1	GCF_004217495.1	0.8-0.85	p__Actinobacteriota	0.8461	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900104895.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_004217495.1.fna
GCF_011751745.2	GCF_011751765.2	0.8-0.85	p__Actinobacteriota	0.8485	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_011751745.2.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_011751765.2.fna
GCF_004323735.1	GCF_000826685.1	0.8-0.85	p__Actinobacteriota	0.8472	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_004323735.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000826685.1.fna
GCF_900108175.1	GCF_006363815.1	0.8-0.85	p__Actinobacteriota	0.8432	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900108175.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_006363815.1.fna
GCF_001592045.1	GCF_001660385.1	0.8-0.85	p__Actinobacteriota	0.8348	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001592045.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001660385.1.fna
GCA_009702325.1	GCA_900299235.1	0.8-0.85	p__Actinobacteriota	0.8401	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009702325.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_900299235.1.fna
GCF_014200305.1	GCF_014201135.1	0.8-0.85	p__Actinobacteriota	0.8492	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014200305.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014201135.1.fna
GCA_002296525.1	GCA_002448715.1	0.8-0.85	p__Actinobacteriota	0.8402	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002296525.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002448715.1.fna
GCA_014360645.1	GCA_015711825.1	0.8-0.85	p__Actinobacteriota	0.8423	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014360645.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_015711825.1.fna
GCF_003096675.1	GCF_004363095.1	0.8-0.85	p__Actinobacteriota	0.8461	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003096675.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_004363095.1.fna
GCF_015690345.1	GCF_016862935.1	0.8-0.85	p__Actinobacteriota	0.8491	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_015690345.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_016862935.1.fna
GCF_000482865.1	GCF_900111175.1	0.8-0.85	p__Actinobacteriota	0.8414	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000482865.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900111175.1.fna
GCF_000224415.1	GCF_005877055.1	0.8-0.85	p__Actinobacteriota	0.8447	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000224415.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_005877055.1.fna
GCF_001591405.1	GCA_019116945.1	0.8-0.85	p__Actinobacteriota	0.8454	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001591405.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_019116945.1.fna
GCF_008001015.1	GCF_008386315.1	0.8-0.85	p__Actinobacteriota	0.8393	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_008001015.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_008386315.1.fna
GCF_001422285.1	GCF_000878135.1	0.8-0.85	p__Actinobacteriota	0.8350	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001422285.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000878135.1.fna
GCA_016463095.1	GCA_000428345.2	0.8-0.85	p__Actinobacteriota	0.8451	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016463095.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_000428345.2.fna
GCF_000152705.1	GCF_000768675.1	0.8-0.85	p__Actinobacteriota	0.8348	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000152705.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000768675.1.fna
GCA_018260615.1	GCA_018260755.1	0.8-0.85	p__Altiarchaeota	0.8480	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018260615.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018260755.1.fna
GCA_016839265.1	GCA_001940665.1	0.8-0.85	p__Asgardarchaeota	0.8114	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016839265.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001940665.1.fna
GCA_002897695.1	GCA_013151915.1	0.8-0.85	p__BMS3Abin14	0.8349	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002897695.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013151915.1.fna
GCF_014252255.1	GCF_014252115.1	0.8-0.85	p__Bacteroidota	0.8400	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014252255.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014252115.1.fna
GCF_017355785.1	GCF_017355835.1	0.8-0.85	p__Bacteroidota	0.8400	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_017355785.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_017355835.1.fna
GCA_903821715.1	GCA_005786915.1	0.8-0.85	p__Bacteroidota	0.8346	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_903821715.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_005786915.1.fna
GCF_001735745.1	GCA_018673215.1	0.8-0.85	p__Bacteroidota	0.8462	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001735745.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018673215.1.fna
GCA_018608725.1	GCA_018673215.1	0.8-0.85	p__Bacteroidota	0.8374	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018608725.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018673215.1.fna
GCA_002400885.1	GCA_016764435.1	0.8-0.85	p__Bacteroidota	0.8317	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002400885.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016764435.1.fna
GCF_015330165.1	GCF_015330125.1	0.8-0.85	p__Bacteroidota	0.8377	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_015330165.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_015330125.1.fna
GCF_014251575.1	GCF_011290385.1	0.8-0.85	p__Bacteroidota	0.8483	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014251575.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_011290385.1.fna
GCF_008180195.1	GCF_014692515.1	0.8-0.85	p__Bacteroidota	0.8427	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_008180195.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014692515.1.fna
GCF_900168045.1	GCF_000745315.1	0.8-0.85	p__Bacteroidota	0.8370	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900168045.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000745315.1.fna
GCA_003158475.1	GCA_003161955.1	0.8-0.85	p__Bacteroidota	0.8367	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003158475.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003161955.1.fna
GCF_000799235.1	GCF_002835665.1	0.8-0.85	p__Bacteroidota	0.8301	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000799235.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002835665.1.fna
GCA_017651425.1	GCA_002311645.1	0.8-0.85	p__Bacteroidota	0.8387	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017651425.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002311645.1.fna
GCF_015476655.1	GCF_900176595.1	0.8-0.85	p__Bacteroidota	0.8438	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_015476655.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900176595.1.fna
GCF_007827275.1	GCF_000258765.1	0.8-0.85	p__Bacteroidota	0.8281	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_007827275.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000258765.1.fna
GCA_016866355.1	GCA_016868475.1	0.8-0.85	p__Bacteroidota	0.8136	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016866355.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016868475.1.fna
GCF_011762155.1	GCF_011927765.1	0.8-0.85	p__Bacteroidota	0.8434	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_011762155.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_011927765.1.fna
GCF_004364165.1	GCF_900155985.1	0.8-0.85	p__Bacteroidota	0.8324	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_004364165.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900155985.1.fna
GCF_000745315.1	GCF_900142975.1	0.8-0.85	p__Bacteroidota	0.8473	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000745315.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900142975.1.fna
GCA_013287545.1	GCA_013288015.1	0.8-0.85	p__Bacteroidota	0.8440	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013287545.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013288015.1.fna
GCF_001577755.1	GCF_009913235.1	0.8-0.85	p__Bacteroidota	0.8478	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001577755.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_009913235.1.fna
GCF_003014695.1	GCF_000023125.1	0.8-0.85	p__Bacteroidota	0.8404	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003014695.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000023125.1.fna
GCF_014692515.1	GCF_014692525.1	0.8-0.85	p__Bacteroidota	0.8335	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014692515.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014692525.1.fna
GCF_000382125.1	GCA_905479615.1	0.8-0.85	p__Bacteroidota	0.8329	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000382125.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_905479615.1.fna
GCA_900539915.1	GCA_001689515.1	0.8-0.85	p__Bacteroidota	0.8462	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_900539915.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001689515.1.fna
GCF_005047595.1	GCF_011777505.1	0.8-0.85	p__Bacteroidota	0.8278	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_005047595.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_011777505.1.fna
GCF_000023465.1	GCF_900112105.1	0.8-0.85	p__Bacteroidota	0.8351	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000023465.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900112105.1.fna
GCA_002715445.1	GCA_002170235.1	0.8-0.85	p__Bacteroidota	0.8442	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002715445.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002170235.1.fna
GCA_002440975.1	GCA_015709215.1	0.8-0.85	p__Bacteroidota	0.8363	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002440975.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_015709215.1.fna
GCA_903907915.1	GCA_002479785.1	0.8-0.85	p__Bacteroidota	0.8434	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_903907915.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002479785.1.fna
GCF_007197735.1	GCF_001439665.1	0.8-0.85	p__Bacteroidota	0.8378	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_007197735.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001439665.1.fna
GCA_017464285.1	GCA_017446025.1	0.8-0.85	p__Bacteroidota	0.8437	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017464285.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017446025.1.fna
GCF_000943555.1	GCF_000943565.1	0.8-0.85	p__Bacteroidota	0.8307	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000943555.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000943565.1.fna
GCA_016868875.1	GCA_005799025.1	0.8-0.85	p__Bacteroidota	0.8405	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016868875.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_005799025.1.fna
GCA_002381125.1	GCA_002305015.1	0.8-0.85	p__Bacteroidota	0.8315	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002381125.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002305015.1.fna
GCA_009926405.1	GCA_903856555.1	0.8-0.85	p__Bacteroidota	0.8483	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009926405.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_903856555.1.fna
GCA_002389465.1	GCA_003648625.1	0.8-0.85	p__Bacteroidota	0.8447	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002389465.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003648625.1.fna
GCA_002366675.1	GCF_003148645.1	0.8-0.85	p__Bacteroidota	0.8470	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002366675.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003148645.1.fna
GCA_002171975.2	GCA_002696965.1	0.8-0.85	p__Bacteroidota	0.8225	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002171975.2.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002696965.1.fna
GCF_004115975.1	GCF_014062315.1	0.8-0.85	p__Bacteroidota	0.8219	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_004115975.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014062315.1.fna
GCA_014376445.1	GCA_014378525.1	0.8-0.85	p__Bdellovibrionota	0.8499	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014376445.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014378525.1.fna
GCA_001770015.1	GCA_001769975.1	0.8-0.85	p__Bdellovibrionota	0.8305	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001770015.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001769975.1.fna
GCA_002715375.1	GCA_002474345.1	0.8-0.85	p__Bdellovibrionota	0.8366	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002715375.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002474345.1.fna
GCA_903871855.1	GCF_003570935.1	0.8-0.85	p__Caldisericota	0.8470	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_903871855.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003570935.1.fna
GCA_004116455.1	GCF_004116625.1	0.8-0.85	p__Campylobacterota	0.8460	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_004116455.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_004116625.1.fna
GCF_000277405.1	GCF_000259275.1	0.8-0.85	p__Campylobacterota	0.8231	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000277405.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000259275.1.fna
GCF_000024885.1	GCF_000265295.1	0.8-0.85	p__Campylobacterota	0.8314	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000024885.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000265295.1.fna
GCF_000259275.1	GCF_900461455.1	0.8-0.85	p__Campylobacterota	0.8244	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000259275.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900461455.1.fna
GCF_003544935.1	GCF_003544855.1	0.8-0.85	p__Campylobacterota	0.8282	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003544935.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003544855.1.fna
GCF_002272925.1	GCF_002272875.1	0.8-0.85	p__Campylobacterota	0.8399	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002272925.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002272875.1.fna
GCF_013177675.1	GCF_013201935.1	0.8-0.85	p__Campylobacterota	0.8288	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_013177675.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_013201935.1.fna
